No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
50,Salem Abdul-Wahab,LS,SO,6-1,255,"Fontana, CA",Summit HS (Northern Colorado)
23,Anthony Adkins,RB,JR,6-2,245,"Hodgenville, KY",LaRue County HS (Army West Point)
0,Jordan Anderson,DB,SR,5-11,200,"Detroit, MI",Harper Woods HS (Bowling Green)
41,Devin Aupiu,DL,JR,6-5,270,"Oxnard, CA",Pacifica HS (Notre Dame)
57,Peter Bario,DL,FR,6-3,250,"Sherman Oaks, CA",Campbell Hall
45,Chase Barry,P,FR,6-4,205,"San Juan Capistrano, CA",JSerra Catholic HS
0,Kam Brown,WR,SR,6-1,190,"Colleyville, TX",Colleyville Heritage HS (Texas A&M)
9,Choé Bryant-Strother,DL,JR,6-3,235,"Atlanta, GA",Greater Atlanta Christian School
88,Grant Buckey,DL,FR,6-5,275,"Bakersfield, CA",Liberty HS
54,Josh Carlin,OL,SR,6-5,310,"Westlake Village, CA",Sierra Canyon School
27,Isaiah Carlson,RB,FR,6-1,225,"Ferndale, WA",Ferndale HS
23,Kenny Churchwell III,DB,SR,6-2,205,"Casa Grande, AZ",Mountain Pointe HS
89,Michael Churich,TE,SR,6-6,243,"Burlingame, CA",Junipero Serra HS
35,Kanye Clark,DB,FR,6-0,175,"Sacramento, CA",Capital Christian School
61,Jack Clarke,OL,FR,6-4,300,"Manhattan Beach, CA",Mira Costa HS
62,Duke Clemens,OL,SR,6-4,300,"Kailua, HI",Punahou School
10,Ryan Cragun,WR,SR,6-1,190,"Dana Point, CA",St. Margaret's Episcopal School (Pennsylvania)
24,Jaylin Davies,DB,SO,6-0,180,"Rancho Cucamonga, CA",Mater Dei HS (Oregon)
65,Devin Delgado,OL,SO,6-3,285,"Madera, CA",Madera South HS (West Hills College Coalinga)
72,Garrett DiGiorgio,OL,SO,6-6,310,"Oak Hills, CA",Serrano HS
35,Devanti Dillard,WR,JR,6-0,200,"Fontana, CA",Etiwanda HS
37,Joshua Dixon,DB,FR,6-0,190,"Van Nuys, CA",Harvard-Westlake School
12,Luke Duncan,QB,FR,6-6,205,"Orinda, CA",Miramonte HS
44,Larry Edwards III,LB,FR,6-1,240,"Chula Vista, CA",Mater Dei Catholic HS
75,Bruno Fina,OL,JR,6-5,300,"Tucson, AZ",Salpointe Catholic HS
97,Joseph Firebaugh Jr.,K,SO,6-2,195,"San Diego, CA",Otay Ranch HS (Southwestern College)
19,Kyle Ford,WR,SR,6-3,220,"Corona, CA",Orange Lutheran HS (USC)
55,A.J. Fuimaono,DL,FR,6-4,310,"Las Vegas, NV",Liberty HS
4,Ethan Garbers,QB,JR,6-3,210,"Newport Beach, CA",Corona del Mar HS (Washington)
60,Beau Gardner,LS,JR,6-4,245,"San Francisco, CA",St. Ignatius College Preparatory
39,Blake Glessner,K,JR,6-3,195,"Woodinville, WA",Woodinville HS (Montana State)
28,Josiah Gonzales,DB,SO,5-11,200,"Turlock, CA",Turlock HS
85,Grant Gray,WR,FR,6-3,195,"Norco, CA",Norco HS
11,Chase Griffin,QB,SR,5-10,195,"Round Rock, TX",Hutto HS
81,Hudson Habermehl,TE,SR,6-7,250,"Roseville, CA",Woodcreek HS
25,T.J. Harden,RB,SO,6-2,215,"Los Angeles, CA",Inglewood HS
30,Jaxon Harley,DB,FR,5-10,160,"Long Beach, CA",St. John Bosco HS
95,Sitiveni Havili Kaufusi,DL,SR,6-3,295,"Waimanalo, HI",Punahou School
51,Jake Heimlicher,DL,SR,6-4,255,"Aurora, CO",Regis Jesuit HS (Pennsylvania)
74,Spencer Holstege,OL,JR,6-5,310,"Grand Rapids, MI",South Christian HS (Purdue)
6,John Humphrey,DB,SR,6-2,205,"Pasadena, CA",John Muir HS
77,Jaylan Jeffers,OL,JR,6-5,310,"Phoenix, AZ",Saguaro HS (Oregon)
36,Alex Johnson,DB,SR,6-1,190,"Carson, CA",Loyola HS
99,Kalen Jones,K,FR,5-9,165,"San Diego, CA",Eastlake HS
22,Keegan Jones,WR,SR,5-10,185,"Cleveland, TN",Cleveland HS
40,R.J. Jones,DB,FR,6-0,200,"Pasadena, CA",St. John Bosco HS
4,Carl Jones Jr.,DL,SR,6-2,230,"Bakersfield, CA",Bakersfield HS
19,D.J. Justice,DB,SO,6-0,205,"San Diego, CA",Bishop Alemany HS
1,Ale Kaho,LB,SR,6-2,230,"Reno, NV",Reno HS (Alabama)
3,Devin Kirkwood,DB,JR,6-3,205,"Inglewood, CA",Junipero Serra HS
