No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
56,Ka'eo Akana,DE,FR,6-3,230,"Honolulu, HI",Roosevelt HS
75,Roger Alderman,OL,FR,6-4,275,"Sonora, CA",Sonora HS
18,Briton Allen,S,JR,6-0,190,"Orlando, FL",USC
16,Bryson Barnes,QB,JR,6-1,209,"Milford, UT",Milford HS
20,Lander Barton,LB,SO,6-4,242,"Cottonwood Heights, UT",Brighton HS
1,Miles Battle,CB,SR,6-4,205,"Houston, TX",Ole Miss
36,Cole Becker,K,JR,6-3,232,"Roseville, CA",Colorado
89,Noah Bennee,TE,SO,6-4,235,"Holladay, UT",Olympus HS
91,Jori Benson,DT,SO,6-4,285,"New York City, NY",UConn
88,Dallen Bentley,TE,SO,6-4,262,"Taylorsville, UT",Snow College
2,Micah Bernard,RB,JR,6-0,201,"Long Beach, CA",Gahr HS
83,Brandon Bethel,WR,FR,6-1,170,"Mountain Home, ID",Mountain Home HS
51,Keaton Bills,OL,JR,6-4,316,"Draper, UT",Corner Canyon HS
8,Cole Bishop,S,JR,6-2,207,"Peachtree City, GA",Starr's Mill HS
16,CJ Blocker,CB,FR,6-0,175,"Houston, TX",New Caney HS
34,Jack Bouwmeester,P,SO,6-2,202,"Bendigo, Australia",Michigan State
4,JaTravis Broughton,CB,SR,5-11,190,"Tulsa, OK",Union HS
50,Justice Brusatto,SN,SO,6-4,222,"West Jordan, UT",Idaho State
19,Luca Caldarella,WR,JR,6-3,202,"Cerritos, CA",Cerritos College
14,Josh Calvert,LB,JR,6-2,223,"Westlake Village, CA",Washington
67,Chase Carter,K,SR,6-2,193,"Knoxville, IA",Morningside University
65,Logan Castor,SN,FR,6-5,227,"Cottonwood Heights, UT",Brighton HS
54,Owen Chambliss,LB,FR,6-3,230,"Corona, CA",Centennial HS
97,Joey Cheek,K,FR,5-11,202,"San Diego, CA",Cathedral Catholic HS
85,Cody Christensen,TE,FR,6-3,236,"Draper, UT",Corner Canyon HS
45,Spencer Clegg,LB,FR,6-1,230,"American Fork, UT",American Fork HS
11,Makai Cope,WR,SO,6-3,200,"Culver City, CA",Culver City HS
63,Tanner Cragun,K,SO,6-2,199,"Frisco, TX",Wakeland HS
24,Chris Curry,RB,SR,5-11,220,"Fort Myers, FL",LSU
3,Levani Damuni,LB,JR,6-2,241,"Providence, UT",Stanford
9,Elijah Davis,CB,FR,6-1,175,"Winter Haven, FL",Auburndale Senior HS
66,Hunter Deuel,OL,FR,6-5,305,"American Fork, UT",American Fork HS
30,Ben Durham,S,FR,6-0,200,"Rancho Santa Margarita, CA",Santa Margarita Catholic HS
64,Jacob Edmonds,OL,FR,6-3,303,"Vacaville, CA",Vacaville HS
83,Jonah Elliss,DE,JR,6-2,246,"Moscow, ID",Moscow Senior HS
46,Hayden Erickson,TE,SO,6-2,246,"Lehi, UT",Lehi HS
61,Kolinu'u Faaiu,OL,SO,6-3,326,"Edmonds, WA",North Creek HS
0,Logan Fano,DE,FR,6-4,246,"Spanish Fork, UT",BYU
55,Spencer Fano,OL,FR,6-5,300,"Spanish Fork, UT",Timpview HS
7,Van Fillinger,DE,JR,6-4,260,"Draper, UT",Corner Canyon HS
12,Sione Fotu,LB,FR,6-0,226,"West Jordan, UT",Bingham HS
99,Tevita Fotu,DT,SO,6-5,300,"Herriman, UT",Herriman HS
44,Hayden Furey,LB,SR,6-2,232,"Saratoga Springs, UT",Westlake HS
1,Jaylon Glover,RB,SO,5-8,205,"Lakeland, FL",Lake Gibson HS
57,JT Greep,SN,JR,6-0,227,"Glendora, CA",Glendora HS
29,Johnathan Hall,S,FR,6-0,217,"Katy, TX",Katy HS
45,Kaimana Hanohano,WR,FR,6-2,197,"Mesa, AZ",Highland HS
79,Alex Harrison,OL,JR,6-4,307,"Bountiful, UT",Viewmont HS
9,Mack Howard,QB,FR,6-2,189,"Columbus, MS",Oxford HS
25,Nick Howe,CB,SO,5-11,176,"North Salt Lake, UT",Woods Cross HS
3,Ja'Quinden Jackson,RB,SO,6-2,228,"Dallas, TX",Texas
86,CJ Jacobsen,TE,FR,6-4,228,"Meridian, ID",Rocky Mountain HS
13,Nate Johnson,QB,FR,6-1,195,"Clovis, CA",Clovis HS
15,Tao Johnson,CB,FR,6-1,192,"Idaho Falls, ID",Thunder Ridge HS
59,Falcon Kaumatule,OL,JR,6-8,304,"Las Vegas, NV",Bishop Gorman HS
29,Austin Keetch,S,FR,6-2,195,"San Juan Capistrano, CA",San Juan Hills HS
13,Chase Kennedy,DE,FR,6-3,235,"Dallas, TX",The Episcopal School of Dallas
82,Landen King,TE,SO,6-5,225,"Beaumont, TX",Auburn
80,Brant Kuithe,TE,SR,6-2,229,"Katy, TX",Cinco Ranch HS
68,Jaren Kump,OL,SO,6-5,308,"Riverton, UT",Herriman HS
50,Austin LaRue,DT,FR,6-2,260,"Houston, TX",Stratford HS
78,Sataoa Laumea,OL,JR,6-4,311,"Rialto, CA",Eisenhower HS
2,Kenzel Lawler,CB,SO,6-0,184,"Corona, CA",Eleanor Roosevelt HS
92,James LeBaron,DT,FR,6-3,279,"Draper, UT",Corner Canyon HS
91,Jonah Lea'ea,DE,FR,6-5,240,"San Mateo, CA",Bishop Gorman HS
71,Caleb Lomu,OL,FR,6-5,290,"Gilbert, AZ",Highland HS
53,Johnny Maea,OL,SR,6-4,310,"Salt Lake City, UT",East HS
33,Jocelyn Malaska,CB,FR,6-1,178,"Bethany, OK",Bethany HS
60,Shintaro Mann,OL,JR,5-11,296,"Provo, UT",Timpview HS
23,Faybian Marks,CB,JR,5-10,191,"Richmond, TX",George Ranch HS
0,Mikey Matthews,WR,FR,5-8,180,"Irvine, CA",Mission Viejo HS
84,Sidney Mbanasor,WR,FR,6-5,214,"Pflugerville, TX",Pflugerville HS
4,Munir McClain,WR,JR,6-4,217,"Atlanta, GA",USC
6,Justin Medlock,LB,FR,6-0,220,"Missouri City, TX",Manvel HS
20,Jett Meine,WR,FR,6-0,212,"Draper, UT",Corner Canyon HS
21,Mike Mitchell,RB,FR,6-0,202,"Orange Park, FL",Middleburg HS
62,Solatoa Moea'i,OL,FR,6-5,338,"Laie, HI",Punahou School
52,Michael Mokofisi,OL,SO,6-4,320,"Woods Cross, UT",Woods Cross HS
43,Gavin Nawahine,DE,SO,6-2,245,"Meridian, ID",Rocky Mountain HS
38,Brock Nowatzke,S,FR,6-0,199,"Santa Clara, UT",Snow Canyon HS
54,Shay O'Kelly,LB,FR,6-1,218,"Atherton, CA",Sacred Heart Prep
81,Connor O'Toole,DE,JR,6-4,251,"Albuquerque, NM",La Cueva HS
32,Helaman Ofahengaue,DE,FR,6-2,221,"Lehi, UT",Lehi HS
74,Keith Olson,OL,FR,6-6,312,"Napavine, WA",Napavine HS
10,Money Parks,WR,JR,5-10,175,"Aledo, TX",Aledo HS
39,Jadon Pearson,S,JR,6-3,208,"Gilbert, AZ",Reedley College
77,Simote Pepa,DT,SO,6-3,330,"South Jordan, UT",Bingham HS
52,Bobby Piland,DT,FR,6-1,302,"Rocklin, CA",Rocklin HS
5,Mycah Pittman,WR,SR,6-0,214,"Tampa, FL",Florida State
40,Nathan Price,P,SO,6-1,180,"Danville, CA",Northern Arizona
25,John Randle Jr.,RB,FR,6-0,176,"Wichita, KS",Heights HS
19,Bryson Reeves,S,JR,6-1,205,"Montrose, CA",St. Francis HS
21,Karene Reid,LB,JR,6-0,227,"American Fork, UT",Timpview HS
37,Peyton Rice,WR,FR,5-9,172,"Salt Lake City, UT",Olympus HS
7,Cameron Rising,QB,SR,6-2,220,"Ventura, CA",Texas
31,Nate Ritchie,S,FR,6-2,205,"Cedar Hills, UT",Lone Peak HS
8,Brandon Rose,QB,FR,6-2,210,"Temecula, CA",Murrieta Valley HS
33,Hunter Schroeder,RB,FR,5-9,205,"Mendon, UT",Mountain Crest HS
49,Jason Siaosi,LB,SR,6-0,227,"Carlsbad, CA",Southern Virginia
18,Emery Simmons,WR,SR,6-1,182,"Parkton, NC",Indiana
0,Steve Smedley,QB,FR,6-1,185,"Conroe, TX",Oak Ridge HS
17,Smith Snowden,CB,FR,5-10,180,"Lehi, UT",Skyridge HS
30,Dijon Stanley,RB,FR,6-0,175,"Granada Hills, CA",Granada Hills Charter HS
24,Darrien Stewart,S,SO,6-0,202,"Las Vegas, NV",Desert Pines HS
47,Miki Suguturaga,TE,JR,6-4,256,"Kaneohe, HI",Punahou School
58,Junior Tafuna,DT,JR,6-3,310,"Taylorsville, UT",Bingham HS
57,Keanu Tanuvasa,DT,FR,6-4,295,"Mission Viejo, CA",Mission Viejo HS
90,Vili Taufatofua,DE,SO,6-3,255,"Mt. Roskill, New Zealand",New Mexico Military Institute
72,Isaia Thompson,OL,FR,6-4,301,"Layton, UT",Layton HS
73,Tanoa Togiai,OL,SO,6-6,316,"Rigby, ID",Rigby HS
94,Nifai Tonga,DT,FR,6-3,260,"Salt Lake City, UT",Snow College
48,Luke Tucker,TE,FR,6-5,202,"Highland, UT",Lone Peak HS
34,Xane Uipi,CB,FR,6-0,182,"Millcreek, UT",Santa Ana College
28,Sione Vaki,S,SO,6-0,208,"Antioch, CA",Liberty HS
5,Zemaiah Vaughn,CB,JR,6-2,185,"Beaumont, TX",Beaumont United HS
17,Devaughn Vele,WR,JR,6-5,210,"San Diego, CA",Rancho Bernardo HS
95,Aliki Vimahi,DT,JR,6-4,310,"Kahuku, HI",Kahuku HS
26,Charlie Vincent,RB,JR,5-10,200,"Salt Lake City, UT",East HS
76,Zereoue Williams,OL,SO,6-8,310,"Phoenix, AZ",Mountain Pointe HS
27,Daniel Wood,RB,FR,5-9,206,"Gilbert, AZ",Highland HS
87,Thomas Yassmin,TE,SR,6-5,251,"Sydney, Australia",The Scots College
6,Daidren Zipperer,WR,FR,6-0,175,"Lakeland, FL",Lakeland Senior HS
