No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
11,Darren Agu,DE,SO,6-6,242,"London, United Kingdom",Rabun Gap-Nacoochee (Ga.)
28,Sedrick Alexander,RB,FR,5-9,199,"Austin, TX",LBJ
26,BJ Anderson,CB,SR,6-1,195,"Andalusia, AL",Andalusia
50,Bradley Ashmore,OL,SR,6-6,303,"Neptune Beach, FL",Fletcher Senior
81,Hutch Baird,WR,JR,6-1,197,"Concord, OH",Mentor
84,Justin Ball,TE,SR,6-6,247,"Glenn Dale, MD",Gonzaga College High School
96,Brayden Bapst,DL,SR,6-8,275,"Washington, DC",St. John's College
32,Ethan Barr,LB,SR,6-3,245,"Flower Mound, TX",Marcus
59,Ty Bartholomew,ANC,FR,6-1,198,"Nashville, TN",Montgomery Bell Academy
35,Deago Benson,RB,FR,5-11,204,"Midlothian, TX",Midlothian
30,Trudell Berry,CB,SO,6-1,184,"Baytown, TX",Lee
25,Dylan Betts-Pauley,RB,JR,5-11,234,"Hoover, AL",Hoover
97,Jacob Borcila,K,SR,6-1,191,"Westerville, OH",Westerville Central
49,Chris Boyle,TE,SR,6-3,239,"Columbus, OH",Columbus Academy
56,Alex Brown,STA,SR,6-2,257,"San Antonio, TX",Claudia Taylor Johnson
29,Miles Capers,STA,JR,6-4,227,"Sumter, SC",Sumter
17,Gamarion Carter,WR,JR,6-2,190,"Toccoa, GA",Stephens County
58,Carson Casteel,LB,JR,6-2,222,"Florence, AL",Florence
64,Delfin Xavier Castillo,OL,JR,6-5,361,"Kissimmee, FL",Osceola
73,Charlie Clark,OL,JR,6-7,309,"Madison, WI",Edgewood
15,Nate Clifton,DE,SR,6-5,280,"La Vergne, TN",Brentwood Academy
22,Bryce Cowan,LB,SO,6-4,225,"Tallahassee, FL",Amos P. Godby
44,Ethan Crisp,ANC,FR,6-3,220,"Mount Juliet, TN",Mount Juliet
35,Payne Daniel,S,FR,5-11,170,"Nashville, TN",Montgomery Bell Academy
46,Mustafa Dannett,CB,SO,6-0,175,"New London, CT",New London
9,Daevion Davis,DL,SR,6-2,288,"Madison, AL",James Clemens
0,Aeneas DiCosmo,STA,SR,6-3,247,"Montclair, NJ",Bergen Catholic
33,BJ Diakite,STA,SO,6-4,222,"Pinson, AL",Pinson Valley
7,Drew Dickey,QB,SO,6-1,215,"Austin, TX",Regents School
38,Will Faris,K,JR,6-1,160,"Dallas, TX",Lake Highlands
94,Gabe Fisher,FB,FR,6-1,230,"Nashville, TN",Montgomery Bell Academy
47,Isaiah Fontan,RB,SO,5-7,190,"Hartford, CT",Capital Prep
34,Quantaves Gaskins,CB,SO,6-1,190,"Atlanta, GA",Hapeville Charter
51,Daniel Gaw,STA,JR,6-2,230,"Nashville, TN",Montgomery Bell Academy
17,Jalen Gilbert,S,FR,6-0,181,"Round Rock, TX",Round Rock
13,Chase Gillespie,RB,SO,5-10,197,"Tallahassee, FL",Amos P. Godby
90,Ted Gregoire,DL,FR,6-3,311,"Jersey City, NJ",Hudson Catholic
55,Gunnar Hansen,OL,JR,6-5,321,"Boca Raton, FL",St. Thomas Aquinas
72,Levi Harber,OL,SO,6-4,283,"Montrose, MI",Hill-McCloy
45,Matthew Hayball,P,SR,6-1,187,"West Adelaide, Australia",Sacred Heart
39,Jackson Heis,WR,FR,6-2,194,"Dallas, TX",Highland Park
62,Julian Hernandez,OL,SR,6-4,310,"Davie, FL",St. Thomas Aquinas
94,Evan Herrmann,STA,FR,6-6,200,"Sussex, WI",Hamilton
25,Martel Hight,CB,FR,6-0,175,"Rome, GA",Rome
15,Richie Hoskins,WR,JR,6-1,196,"Lake Forest, IL",Lake Forest
27,John Howse IV,S,JR,6-1,195,"Nashville, TN",Brentwood
83,London Humphreys,WR,FR,6-3,186,"Nashville, TN",Christ Presbyterian Academy
91,Christian James,DL,SR,6-4,290,"Memphis, TN",Christian Brothers
48,Kamrean Johnson,TE,FR,6-5,221,"Theodore, AL",Theodore
63,Jacob Katona,DL,SR,6-5,264,"Birmingham, AL",Oak Mountain
33,Derek Kee,WR,FR,6-4,190,"Trenton, TN",Peabody
45,Dante Kelly,ANC,FR,6-3,201,"Itta Bena, MS",Leflore County
56,Jake Ketschek,OL,JR,6-5,320,"Absecon, NJ",St. Augustine Prep
20,Prince Kollie,LB,JR,6-1,221,"Jonesborough, TN",David Crockett
18,Logan Kyle,TE,SR,6-3,224,"Cypress, TX",Tomball Memorial
99,Devin Lee,DL,JR,6-2,290,"McDonough, GA",Ola
80,Wilson Long,WR,SR,6-1,198,"Austin, TX",Regents School of Austin
54,Bryan Longwell,LB,FR,6-1,227,"Nashville, TN",Lipscomb Academy
65,Jacob Lurie,K,SR,5-9,175,"Blue Point, NY",Bayport-Blue Point
60,Duncan MacDonald,OL,SO,6-5,295,"Newbury, MA",Milton Academy
68,Barrett Maddox,OL,FR,6-6,281,"Clinton, TN",Clinton
23,Jaylen Mahoney,DB,SR,5-11,200,"Rock Hill, SC",South Pointe
94,Bradley Mann,DL,SO,6-6,281,"Jacksonville, FL",The Bolles School
88,Ezra McAllister,WR,JR,6-0,183,"Marshall, MI",Marshall
6,Jayden McGowan,WR,SO,5-8,181,"Laurens, SC",Laurens District 55
66,Anthony Miles,OL,FR,6-5,318,"Birmingham, AL",Ramsay
76,Grayson Morgan,OL,SO,6-5,280,"Nashville, TN",Montgomery Bell Academy
18,Hayden Moses,QB,SO,5-9,163,"Hollis, NH",Brighton Academy
89,Shawn Naim,WR,SR,6-3,205,"Brecksville, OH",Lutheran West
57,Leyton Nelson,OL,SO,6-6,308,"Orlando, FL",Boone
46,AJ Newberry,RB,FR,6-1,197,"Grand Prairie, TX",South Grand Prairie
5,Yilanan Ouattara,DL,SO,6-7,305,"Cologne, Germany",Cologne Crocodiles
86,Josh Palmer,TE,FR,6-4,192,"Selma, AL",Montgomery Catholic
19,Kane Patterson,LB,SR,6-1,221,"Nashville, TN",Christ Presbyterian Academy
10,Langston Patterson,LB,SO,6-1,230,"Nashville, TN",Christ Presbyterian Academy
71,Gage Pitchford,OL,JR,6-6,315,"Newnan, GA",East Coweta
43,Dominic Rezac,LB,SO,6-1,190,"Omaha, NE",Westside
21,Savion Riley,S,SO,6-2,202,"Acworth, GA",Kennesaw Mountain
24,Nicholas Rinaldi,LB,SO,6-3,232,"Dover, MA",Dover-Sherborn
40,Mason Rohmiller,K,SO,6-1,195,"Cincinnati, OH",St. Xavier
40,Jacob Rolen,CB,SR,5-11,155,"Stockbridge, GA",Eagles Landing Christian Academy
8,Tyson Russell,CB,JR,5-11,185,"Plantation, FL",St. Thomas Aquinas
37,Jailen Ruth,DE,FR,6-3,200,"Hawthorne, FL",Hawthorne
75,Misael Sandoval,OL,FR,6-6,337,"Chula Vista, CA",St. Augustine
41,Steven Sannieniola,S,SO,6-2,205,"Bowie, MD",Quince Orchard
47,Wesley Schelling,LS,SR,6-4,243,"Nashville, TN",Pearl-Cohn
8,Ken Seals,QB,SR,6-3,220,"Azle, TX",Weatherford
7,Marlen Sewell,S,JR,6-1,193,"Birmingham, AL",Shades Valley
14,Will Sheppard,WR,SR,6-3,198,"Mandeville, LA",Mandeville
85,Junior Sherrill,WR,FR,5-11,172,"Nashville, TN",Lipscomb Academy
70,David Siegel,OL,SO,6-6,293,"New Canaan, CT",Hun School (N.J.)
3,"Quincy Skinner, Jr.",WR,JR,6-2,205,"Pompano Beach, FL",St. Thomas Aquinas
4,Patrick Smith,RB,JR,5-9,189,"Egg Harbor Township, NJ",Holy Spirit
16,Cole Spence,TE,SO,6-7,243,"Roswell, GA",Mount Pisgah Christian
31,Michael Spencer,DL,SR,6-4,323,"Union, KY",The Taft School
69,Cooper Starks,OL,FR,6-5,329,"Girard, IL",North Mac
12,Brennan Storer,QB,FR,5-11,198,"Dallas, TX",Highland Park
5,AJ Swann,QB,SO,6-3,228,"White, GA",Cherokee
88,Brock Taylor,K,FR,6-1,156,"Knoxville, TN",Knoxville Catholic
1,CJ Taylor,ANC,JR,6-1,201,"McMinnville, TN",Warren County
