No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
34,Jackson Acker,RB,SO,6-1,235,"Madison, WI",Verona
0,Braelon Allen,RB,JR,6-2,245,"Fond du Lac, WI",Fond du Lac
28,Christian Alliegro,LB,FR,6-4,228,"Darien, CT",Avon Old Farms
27,Haakon Anderson,WR,JR,6-1,210,"Verona, WI",Verona
86,Vinny Anthony II,WR,SO,6-0,183,"Louisville, KY",Male
18,Owen Arnett,S,SO,5-11,208,"Delafield, WI",Arrowhead
22,Jace Arnold,CB,FR,5-9,186,"Marietta, GA",Marietta
38,Tucker Ashcraft,TE,FR,6-5,245,"Seattle, WA",O'Dea
68,Ben Barten,DE,JR,6-5,303,"Stratford, WI",Stratford
11,Skyler Bell,WR,SO,6-0,195,"Bronx, NY",The Taft School
67,JP Benzschawel,OL,SO,6-6,312,"Grafton, WI",Grafton
49,Atticus Bertrams,P,FR,6-3,225,"Sydney, Australia",Newington College
26,Travian Blaylock,S,SR,5-11,208,"Humble, TX",Atascocita
3,T.J. Bollers,OLB,SO,6-2,270,"Tiffin, IA",Clear Creek Amana
63,Tanor Bortolini,OL,JR,6-4,310,"Kewaunee, WI",Kewaunee
43,Grover Bortolotti,RB,SO,5-9,193,"Whitefish Bay, WI",Whitefish Bay
47,Peter Bowden,LS,SR,6-2,242,"San Diego, CA",Francis Parker
84,Chris Brooks Jr.,WR,FR,6-2,225,"St. Louis, MO",St. Louis University School
9,Austin Brown,S,SO,6-1,210,"Johnston City, IL",Johnston City
56,Joe Brunner,OL,FR,6-5,318,"Whitefish Bay, WI",Whitefish Bay
76,Tommy Brunner,DE,SR,6-3,250,"Milwaukee, WI",Whitefish Bay / Northern Illinois
16,Myles Burkett,QB,FR,6-0,202,"Franklin, WI",Franklin
5,Quincy Burroughs,WR,FR,6-3,208,"Jacksonville, FL",Raines / Cincinnati
37,Bryce Carey,S,JR,6-1,195,"Middleton, WI",Middleton / Northern Illinois
82,Michael Cerniglia Jr.,TE,JR,6-3,240,"Madison, WI",Memorial / Illinois
36,Jake Chaney,ILB,JR,5-11,235,"Cape Coral, FL",Lehigh
76,John Clifford,OL,FR,6-5,304,"Watertown, WI",Watertown
48,Cole Dakovich,TE,JR,6-5,255,"Waukesha, WI",Catholic Memorial
13,Chimere Dike,WR,SR,6-1,200,"Waukesha, WI",North
21,Jonas Duclona,CB,FR,5-10,188,"Naples, FL",Naples
65,James Durand,OL,FR,6-5,303,"Gilbert, AZ",Basha
7,Nick Evers,QB,FR,6-3,196,"Flower Mound, TX",Flower Mound / Oklahoma
21,Cam Fane,WR,FR,6-1,184,"Arlington, TX",Madison Edgewood (Wis.)
10,Nyzier Fourqurean,CB,JR,6-1,190,"Mentor, OH",Mentor
74,Michael Furtney,OL,SR,6-5,316,"Milan, MI",Milan
53,Ross Gengler,OLB,JR,6-2,230,"Delavan, WI",Delavan-Darien
44,Zach Gloudeman,RB,FR,6-2,226,"Spring Green, WI",River Valley
98,C.J. Goetz,OLB,SR,6-3,240,"Muskego, WI",Catholic Memorial
39,Tatum Grass,ILB,SR,6-2,234,"Holmen, WI",Holmen
9,Bryson Green,WR,JR,6-0,215,"Allen, TX",Allen / Oklahoma State
2,Ricardo Hallman,CB,SO,5-10,185,"Miami, FL",University School
91,Jamel Howard,DL,FR,6-2,318,"Chicago, IL",Marist
60,Joe Huber,OL,JR,6-5,311,"Dublin, OH",Jerome / Cincinnati
27,Tyler Jansey,ILB,FR,6-0,230,"Batavia, IL",Batavia
34,Charlie Jarvis,S,FR,6-1,205,"Hartland, WI",Catholic Memorial
97,Mike Jarvis,DE,SO,6-4,288,"Medford, NJ",Shawnee
52,Kaden Johnson,OLB,JR,6-2,248,"St. Paul, MN",Minnehaha Academy
56,Rodas Johnson,DE,SR,6-2,295,"Columbus, OH",St. Francis DeSales
12,Trech Kekahuna,WR,FR,5-10,180,"Honolulu, HI",Bishop Gorman
58,Gabe Kirschke,DL,FR,6-5,250,"Lone Tree, CO",Valor Christian
73,Kerry Kodanko,OL,JR,6-2,315,"Green Bay, WI",West DePere
