No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
40,Maurice Adika,RB,SO,5-8,220,"Kettering, OH",Kettering Fairmont
26,Hassan Belton,LB,JR,6-1,206,"Columbia, SC",Blythewood/Butler CC
44,Caleb Biggers,DB,FR,5-11,184,"Prince Frederick, MD",Calvert Hall College
69,Tim Blair,OL,SO,6-6,285,"West Chester, OH",Lakota West
13,Jamari Bozeman,DB,JR,6-2,174,"West Palm Beach, FL",Suncoast Community
55,Caleb Bright,OL,SO,6-4,306,"Urbandale, IA",Urbandale
17,Karl Brooks,DL,FR,6-4,235,"Lansing, MI",Lansing Sexton
18,Evan Brown,DB,FR,5-10,202,"Maumee, OH",Anthony Wayne
86,Keije Brown,WR,FR,6-2,201,"Cleveland, OH",Cleveland Central Catholic
48,James Carolan,LS,SO,5-11,203,"Anthem, AZ",Boulder Creek
99,Kordell Chaney,DL,JR,6-0,235,"Sandusky, OH",Perkins/Findlay
34,Colin Christman,LB,FR,5-11,190,"Lexington, OH",Lexington/Jireh Prep
1,Andrew Clair,RB,SO,5-10,200,"St. Louis, MO",St. Louis University
55,Kholbe Coleman,LB,SO,6-0,216,"Hoover, AL",Hoover
97,Josh Croslen,DL,SO,6-2,270,"Cibolo, TX",Steele
5,Sy Dabney,DB,FR,6-0,186,"Orchard Lake, MI",St. Mary's Prep
16,Colin DeBord,WR,FR,6-1,189,"Centerville, OH",Centerville
7,Bryson Denley,RB,SO,5-10,180,"Cibolo, TX",Steele
95,Coleman Dennis,DL,JR,6-1,273,"Wolfforth, TX",Frenship/UTSA/Navarro CC
2,Jarret Doege,QB,SO,6-3,205,"Lubbock, TX",Cooper
72,Derek Downs,OL,FR,6-8,298,"Westerville, OH",Westerville North
71,Zach Dziengelewski,OL,FR,6-4,270,"Swanton, OH",Swanton
52,DeAndre Fitz-Henley,LB,FR,6-0,235,"Clearwater, FL",Clearwater Central Catholic
28,Rico Frye,RB,FR,5-9,217,"Cartersville, GA",Cartersville
4,Fred Garth,DB,SR,6-4,186,"Amory, MS",Amory/NW Mississippi CC
6,Montre Gregory,DB,SR,6-2,188,"Baltimore, MD",Baltimore Poly/Monroe CC
35,DeMontae Haigler,DL,SO,6-1,275,"Montgomery, AL",Carver/Phoenix College
56,Walter Haire,DL,FR,6-3,256,"Indianapolis, IN",North Central
19,Ben Hale,DB,SR,6-3,195,"Columbus, OH",St. Charles
25,Kareem Hall,RB,FR,5-9,190,"Jeannette, PA",Jeannette
10,Torrian Hampton,DB,SO,6-4,209,"Lakeland, FL",Lakeland
