No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
1,Delrick Abrams Jr.,DB,JR,6-3,185,"Angie, LA",Varnado
95,Israel Antwine,DL,FR,6-4,315,"Oklahoma City, OK",Millwood
22,Daniel Arias,WR,FR,6-4,200,"Mill Creek, WA",Henry M. Jackson
84,Clayton Baca,WR,FR,6-1,190,"Fort Collins, CO",Rocky Mountain
63,J.T. Bale,LS,JR,6-2,210,"La Mirada, CA",La Mirada
97,Mo Bandi,DL,JR,6-5,270,"Longmont, CO",Niwot
13,Maurice Bell,WR,FR,6-0,180,"Murrieta, CA",Murrieta Valley
35,Beau Bisharat,TB,JR,6-2,225,"Sacramento, CA",Jesuit
25,Mekhi Blackmon,CB,SO,6-0,160,"East Palo Alto, CA",Menlo-Atherton
2,Ronnie Blackmon,DB,SO,5-10,180,"Atlanta, GA",Westlake
44,Chris Bounds,TE,JR,6-4,250,"Thousand Oaks, CA",Chaminade College Prep
23,Jarek Broussard,TB,FR,5-9,175,"Dallas, TX",Bishop Lynch
18,Tony Brown,WR,JR,6-1,190,"La Mirada, CA",La Mirada
44,Jacob Callier,OLB,SO,6-2,230,"Downey, CA",St. John Bosco
6,Curtis Chiaverini,WR,FR,6-1,195,"Boulder, CO",Valor Christian
80,Derek Coleman,TE,SO,6-5,235,"Broomfield, CO",Legacy
87,Vincent Colodny,TE,FR,6-3,240,"Los Altos, CA",Los Altos
37,Lucas Cooper,DB,JR,5-10,185,"Palos Verdes, CA",Palos Verdes
57,John Deitchman,OL,FR,6-0,240,"Alamo, CA",De La Salle
47,Nick Edridge,OLB,FR,6-3,215,"Fort Collins, CO",Fossil Ridge
33,Javier Edwards,NT,SR,6-3,325,"Houston, TX",Aldine Davis
62,Justin Eggers,OL,JR,6-5,305,"Marshall, WI",Marshall
17,Kabion Ento,WR,SR,6-3,190,"Pine Bluff, AR",Dollarway
21,Kyle Evans,TB,SR,5-7,180,"San Jose, CA",Archbishop Mitty
42,Nu'umotu Falo Jr.,OLB,JR,6-2,240,"Sacramento, CA",Inderkum
76,Frank Fillip,OL,FR,6-7,280,"Houston, TX",Clear Lake
96,Melekiola Finau,DL,FR,6-3,260,"Sacramento, CA",Luther Burbank
7,Nick Fisher,DB,SR,6-0,190,"Temecula, CA",Great Oak
8,Alex Fontenot,RB,FR,6-0,195,"Richmond, TX",George Ranch
81,Griffin Foulk,DB,JR,6-1,200,"Erie, CO",Broomfield
93,Tyler Francis,PK,FR,5-11,170,"Carlsbad, CA",Carlsbad
56,Jase Franke,DL,SR,6-3,280,"Camarillo, CA",St. Bonaventure
32,Rick Gamboa,ILB,SR,6-0,230,"Sylmar, CA",Chaminade College Prep
27,Kevin George,DB,SO,6-3,180,"Lafayette, LA",Carenco
17,Josh Goldin,QB,SO,6-2,185,"Highlands Ranch, CO",Rock Canyon
82,Jake Groth,WR,FR,6-4,200,"Centennial, CO",Arapahoe
64,Aaron Haigler,OL,JR,6-7,295,"Northridge, CA",Notre Dame
13,Shamar Hamilton,OLB,JR,6-5,230,"Lantana, FL",Santaluces
29,Uryan Hudson,DB,SO,5-9,155,"Manvel, TX",Manvel
91,Seren Hughes-Ford,P,FR,6-2,175,"Fort Collins, CO",Rocky Mountain
12,Hasaan Hypolite,DB,FR,5-11,200,"Fresno, TX",Hightower
10,Jaylon Jackson,WR,FR,5-10,180,"Cedar Hill, TX",Cedar Hill
26,Dustin Johnson,DB,FR,6-1,195,"Denver, CO",Cherry Creek
34,Mustafa Johnson,DL,SO,6-2,290,"Turlock, CA",Turlock
36,Akil Jones,ILB,SO,6-0,230,"San Jose, CA",Valley Christian
88,Darrion Jones,TE,JR,6-6,250,"Compton, CA",Carson
52,Joshua Jynes,OL,FR,6-3,310,"Cedar Hill, TX",DeSoto
75,Josh Kaiser,OL,SR,6-6,300,"Mission Viejo, CA",Mission Viejo
59,Colby Keiter,ILB,FR,6-1,225,"Westminster, CO",Ralston Valley
89,Alex Kinney,P,SR,6-1,195,"Fort Collins, CO",Rocky Mountain
58,Kary Kutsch,OL,SO,6-4,300,"Redding, CA",Shasta
53,Nate Landman,ILB,SO,6-3,235,"Danville, CA",Monte Vista
92,Bailey Landwehr,P,SR,5-10,170,"Kersey, CO",Platte Valley
54,Terrance Lang,DE,FR,6-7,275,"Pomona, CA",Maranatha
83,Erik Lawson,WR,SO,6-4,205,"Boulder, CO",Monarch
1,Donovan Lee,TB,SR,5-10,190,"West Hills, CA",Chaminade College Prep
20,Drew Lewis,ILB,SR,6-2,225,"Sammamish, WA",Eastlake
23,Isaiah Lewis,DB,FR,6-0,200,"Granite Bay, CA",Granite Bay
95,Sam Loy,P,JR,6-1,190,"San Clemente, CA",Santa Margarita Catholic
30,Noa Lukela,TB,FR,5-11,200,"Westminster, CO",Mountain Range
