No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
96,James Atkins,DL,SR,6-4,275,"Saugus, MA",Blair Academy (N.J.)
16,Malik Banks,LB,FR,6-1,193,"Hockessin, DE",Howard HS of Technology
38,Lavarey Banton,RB,FR,5-10,215,"Hartford, CT",Hartford Public
2,Tyraiq Beals,WR,SR,6-0,190,"East Orange, NJ",East Orange
43,Darrian Beavers,LB,SO,6-3,235,"Cincinnati, OH",Colerain
12,Brandon Bisack,QB,JR,6-5,215,"Fairfield, CT",Warde
28,Dante Black,RB,FR,5-10,200,"Lilburn, GA",Brookwood
60,Ben Bonvicini,OL,JR,6-1,314,"Torrington, CT",Torrington
79,Noel Brouse,OL,SO,6-4,277,"Slatington, PA",Parkland
47,Justin Bryant,LB,FR,5-11,231,"Bridgewater, NJ",Bridgewater-Raritan
3,Garrison Burnett,WR,FR,5-10,179,"Washington, DC",Maret School
11,Kyle Buss,WR,SR,5-9,185,"New Berlin, NY",Milford
78,Ian Campbell,OL,JR,6-5,295,"Pompton Plains, NJ",Pequannock
39,Ryan Carroll,DB,FR,6-1,180,"Temple Hills, MD",Potomac
73,Brendan Casey,OL,FR,6-5,261,"Fairfield, CT",St. Lukes
67,Brian Cespedes,OL,JR,6-6,299,"New London, CT",New London
35,Jarrell Chaney,DB,FR,6-1,190,"Albany, NY",Albany
25,Tyler Coyle,DB,SO,6-1,205,"Windsor, CT",Windsor
63,Ryan Crozier,OL,SR,6-4,294,"Plantation, FL",St. Thomas Aquinas
9,Tyler Davis,TE,JR,6-4,243,"North Bellmore, NY",Mepham
70,Cam DeGeorge,OL,SO,6-4,290,"Lynnfield, MA",Lynnfield
93,Pierce DeVaughn,DL,FR,6-4,230,"Plano, TX",Prestonwood Christian
23,Keyion Dixon,WR,SO,6-3,190,"Glastonbury, CT",Glastonbury
82,Mason Donaldson,WR,SO,6-2,203,"Allentown, PA",Salisbury Township
8,Jalon Ferrell,DB,FR,6-2,177,"Miami, FL",Miami Killian Senior
69,Ryan Fines,DL,JR,6-3,330,"Bradenton, FL",IMG Academy
27,Omar Fortt,LB,SO,6-0,190,"Stamford, CT",St. Luke's High School
88,Connor Freeborn,DL,JR,6-5,265,"Wilmington, DE",Salesianum School
89,Michael Freeman,WR,FR,5-9,180,"Baltimore, MD",Milford Mill
5,Terrence Ganyi,DB,FR,6-2,197,"Montreal, Canada",Dalbe Viau
42,T.J. Gardner,LB,FR,6-2,236,"Windsor, CT",Windsor
46,AJ Garson,DL,SO,6-4,240,"Palm Beach Gardens, FL",Oxbridge Academy
36,Khyon Gillespie,RB,FR,5-11,175,"Hartford, CT",Capital Prep Magnet School
45,Ryan Gilmartin,LB,SO,5-11,225,"Weddington, NC",Charlotte Christian Academy
81,Brett Graham,P,SO,6-3,200,"State College, PA",State College Area
6,Eddie Hahn,LB,SO,6-3,214,"Port Monmouth, NJ",Red Bank Catholic
87,Cameron Hairston,WR,FR,6-2,175,"Lee's Summit, MO",Lee's Summit North
49,Clayton Harris,K,FR,6-0,170,"Havre de Grace, MD",Havre de Grace
64,Christian Haynes,OL,FR,6-4,295,"Bowie, MD",Bowie
14,Tahj Herring-Wilson,DB,SO,6-1,190,"Hartford, CT",Suffield Academy
90,Zordan Holman,TE,JR,6-5,251,"Portland, ME",Cheverus
54,Robert Holmes,OL,FR,6-3,316,"West Palm Beach, FL",Oxbridge Academy
55,Stanley Hubbard III,OL,FR,6-3,292,"Chevy Chase, DC",St. John's College
92,Noah Iden,K,FR,6-2,205,"North Kingstown, RI",North Kingstown
84,Elijah Jeffreys,WR,FR,6-4,190,"Somerville, MA",Somerville
48,Kevon Jones,LB,FR,6-2,250,"East Hartford, CT",East Hartford
57,Travis Jones,DL,FR,6-4,350,"New Haven, CT",Wilbur Cross
53,Brian Keating,LS,SO,6-0,220,"Darien, CT",Darien
20,Robert P. King III,DB,FR,6-0,182,"Philadelphia, PA",Father Judge
4,Steven Krajewski,QB,FR,6-4,205,"Moultrie, GA",Colquitt County
32,Shamel Lazarus,DB,FR,6-2,170,"Jamaica, NY",Erasmus Hall
56,Nino Leone,OL,SO,6-4,310,"Middleton, MA",Pingree School
-,Stanley Little,RB,SR,5-9,-,"Waterbury, CT",Kennedy High School
