No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
12,Holton Ahlers,QB,FR,6-3,236,"Greenville , NC",D.H. Conley
75,Sean Bailey,OL,SO,6-6,328,"Cumming, GA",Lambert
41,Tony Baird,DE,JR,6-3,225,"Virginia Beach, VA",Ocean Lakes
22,Khalil Barrett,DB,FR,5-11,200,"Havelock , NC",Havelock
34,Myles Berry,DB,FR,6-1,213,"Greensboro , NC",Dudley
25,Da'Andre Beverly,DB,FR,5-11,186,"Ahoskie , NC",Hertford County
38,Bruce Bivens,LB,SO,6-0,230,"Houston, TX",Davis
95,Bennett Boateng,DT,SR,6-1,290,"Charlotte , NC",Independence
84,Johnny Bogle,TE,FR,6-2,252,"Ponte Vedra Beach, FL",Nease
88,Trevon Brown,WR,SR,6-2,215,"Wilmington , NC",New Hanover
31,Keyshawn Canady,DB,SO,6-0,189,"Wallace , NC",Wallace-Rose Hill
27,Daniel Charles,DB,FR,6-1,180,"Marietta, GA",Marietta
32,Trace Christian,RB,FR,6-0,217,"Longwood, FL",Lake Brantley
34,Cam Coleman,RB,SR,5-6,192,"Mocksville , NC",Davie
8,Tahj Deans,WR,SO,6-2,184,"Bailey , NC",Southern Nash
28,Maceo Donald,-,-,5-8,170,-,-
68,Jack Doyle,OL,SO,6-4,280,"Wake Forest , NC",Heritage
49,Damir Faison,DE,FR,6-2,246,"Charlotte , NC",Vance
1,Deondre Farrier,WR,JR,6-1,184,"Orlando, FL",Lake Nona
63,Jaison Fournet,OL,SO,6-1,292,"Cornelius , NC",Hough
61,Fernando Frye,OL,JR,6-3,286,"Erie, PA",McDowell/Mercyhurst
89,Duce Fuller,WR,FR,5-10,167,"Greenville , NC",D.H. Conley
44,Kendall Futrell,DE,JR,6-2,230,"Winterville , NC",South Central
4,Cannon Gibbs,LB,SR,6-2,228,"Brandon, MS",Northwest Rankin/Jones JC
26,Colby Gore,DB,JR,5-11,173,"Little River, SC",North Myrtle Beach
15,Terrell Green,WR,SR,6-4,200,"Charleston, SC",Hanahan
17,Zach Gwynn,QB,FR,-,-,"Wilmington, DE",Salesiaanum
90,Dorian Hardy,DL,FR,6-4,246,"Elizabeth, NJ",North Brunswick Township
39,Delvontae Harris,LB,FR,6-0,221,"Newnan, GA",Newnan
40,Nate Harvey,DE,SR,6-1,225,"Knightdale , NC",Knightdale/Georgia Military
98,Brandon Henderson,DL,SR,6-5,272,"Greenwood, SC",Greenwood/Georgia Military
69,Noah Henderson,OL,FR,6-5,310,"Bennettsville, SC",Marlboro County
10,Leroy Henley,WR,FR,6-1,196,"Pompano Beach, FL",Deerfield Beach
70,Cortez Herrin,OL,JR,6-4,328,"Saluda, SC",Saluda
9,Reid Herring,QB,SO,6-3,197,"Raleigh , NC",Millbrook
59,Chandon Hickerson,DE,SO,6-3,231,"Vacherie, LA",St. James
23,Damel Hickman,DB,FR,6-0,166,"Charlotte , NC",Butler
6,"Marcus Holton, Jr.",DB,SR,6-0,170,"Tallahassee, FL",Godby/Georgia Military
6,Hussein Howe,RB,JR,5-9,180,"Jacksonville, FL",University Christian
2,Kingsley Ifedi,QB,FR,6-3,222,"Charlotte , NC",Vance
1,Tim Irvin,DB,JR,5-9,197,"Miami, FL",Westminster Christian/Auburn
50,Shaun James,DT,SR,6-4,263,"Virginia Beach, VA",Green Run
85,Jonathan Johnson,WR,SO,6-3,196,"Baltimore, MD",Milford Mill/Morgan State
77,Jordan Johnson,OL,SO,6-4,311,"Lansdowne, PA",Penn Wood/Garden City CC
20,Nolan Johnson,DB,FR,6-2,196,"High Point , NC",Southwest Guilford
60,Erik Lawson,DS,JR,6-5,310,"Elizabeth City , NC",Northeastern/Georgia Military
92,Trey Love,DL,FR,6-3,246,"Greensboro , NC",Southeast Guilford
83,Cam Marshmon,WR,JR,5-9,159,"Raleigh , NC",Southeast Raleigh
55,Garrett McGhin,OL,SR,6-6,302,"Tallahasse, FL",-
96,D'Angelo McKinnie,TE,FR,6-4,235,"Kenansville , NC",Southwest Onslow
78,Chandler Medeiros,DL,FR,6-3,275,"Statesville , NC",South Iredell
12,Rowe Mellott,DB,JR,6-0,212,"Chapel Hill , NC",Carrboro
76,Dalton Montgomery,TE,JR,6-5,278,"Corinth, TX",Lake Dallas
82,Juwan Moody,WR,FR,5-10,165,"Conway, SC",Conway
73,Matt Morgan,OL,FR,6-5,288,"Clayton , NC",Corinth Holders
48,Cole Nigro,LB,JR,6-1,233,"Raleigh , NC",Sanderson/Louisburg CC
79,Donovan Noel,OL,FR,6-3,295,"Raleigh , NC",Millbrook
14,Caiden Norman,QB,FR,6-1,199,"Clayton , NC",Cleveland
31,Jeff Onyegbule,RB,FR,-,-,"Raleigh , NC",Southeast Raleigh
86,Will Partin,WR,FR,-,-,"Balsam Grove , NC",Rosman
81,Andre Pegues,TE,FR,6-3,202,"Raeford , NC",Hoke County
54,Branden Pena,OL,SR,6-2,288,"Salinas, CA",North Salinas/Hartnell
7,Darius Pinnix,RB,SO,6-0,227,"Elon , NC",Western Alamance
91,Caleb Pratt,PK,SR,6-3,197,"Roanoke Rapids , NC",Roanoke Rapids
93,Jalen Price,DT,JR,6-2,297,"Williamston , NC",Riverside
11,Blake Proehl,WR,FR,6-1,180,"Charlotte , NC",Providence
46,Chance Purvis,DE,SO,6-4,232,"Meridian, MS",Lamar School
89,Raequan Purvis,DT,SO,6-2,301,"Plymouth , NC",Plymouth
33,Jaren Rainey,DB,FR,6-2,195,"High Point , NC",Southwest Guilford
51,Aaron Ramseur,LB,SO,6-1,206,"Shelby , NC",Crest
47,Anthony Ratliff,DS,JR,6-0,231,"Suwanee, GA",Lambert
13,Davondre Robinson,DB,SO,6-0,201,"Holly Hill, SC",Lake Marion
17,Warren Saba,DB,SO,5-10,186,"Cleveland, OH",Benedictine/Garden City CC
97,Jaray Sampson,TE,JR,6-4,243,"Fayetteville , NC",E.E. Smith/Johnson C. Smith
3,Anthony Scott,RB,SR,5-9,200,"Virginia Beach, VA",Green Run
5,Corey Seargent,DB,SR,6-0,179,"Rock Hill, SC",Northwestern
52,Dqmarcus Shaw,OL,SR,6-4,303,"Batesville, MS",South Panola/Itawamba CC
67,D'Ante Smith,OL,JR,6-4,295,"Augusta, GA",Grovetown
37,Xavier Smith,LB,FR,6-0,239,"Stafford, VA",Brooke Point
22,Tyler Snead,WR,FR,5-7,166,"Raleigh , NC",Millbrook
58,John Spellacy,OL,SO,6-1,290,"Westlake, OH",St. Ignatius
30,Gerard Stringer,LB,FR,6-2,188,"Suffolk, VA",Nansemond River
42,Devon Sutton,DB,SR,5-11,198,"Charlotte , NC",North Mecklenburg
24,Michael Swift,DE,SR,6-3,246,"Apex , NC",-
