No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
79,Kai Absheer,OL,SR,6-5,310,"Oakland Park, FL",Saint Thomas Aquinas
8,Christian Alexander,QB,JR,6-3,225,"Lakeland, FL",Lakeland Christian
1,Maurice Alexander,WR,JR,5-11,180,"Florida City, FL",Booker T. Washington
26,Jamal Anderson,DB,FR,6-2,180,"Homestead, FL",South Dade HS
80,Zach Armour,TE,SO,6-3,220,"Cocoa, FL",Cocoa
37,Jordan Atkins,RB,FR,5-9,188,"Miami, FL",North Miami Beach
15,Quentin Bessent Jr.,DB,JR,5-10,156,"Titusville, FL",Merritt Island/Huntingdon College (AL)
67,John Bolding,OL,FR,6-3,315,"Spring, TX",Klein Oak HS
30,Jose Borregales,K,SO,5-10,206,"Miami, FL",Booker T. Washington
68,Tahj Brighthaupt,OL,SO,6-7,374,"Miami, FL",Miami Central
37,Romelo Brooks,LB,SO,5-10,200,"Miami, FL",Miami Killian
4,Isaiah Brown,CB,JR,6-1,185,"Tampa, FL",Tampa Bay Tech
66,Jordan Budwig,OG,SR,6-4,311,"Ft. Lauderdale, FL",University School
78,Kameron Burns,OL,FR,6-4,270,"Crawfordville, FL",Wakulla HS
75,Rashad Colson,DL,FR,6-5,310,"Miami, FL",Miami Norland
57,Josh Colston,LB,FR,6-2,239,"Crystal Beach, FL",East Ridge
60,Dallas Connell,OL,JR,6-3,283,"Jacksonville, FL",First Coast
61,Doug Connell,-,-,-,-,-,-
90,Noah Curtis,DL,SO,6-5,248,"Delray Beach, FL",American Heritage
10,Olin Cushion III,DB,JR,5-8,176,"Miami, FL",Miami Central
38,Richard Dames,DB,SO,5-11,185,"Miami, FL",Booker T. Washington
35,Rishard Dames,DB,SO,5-11,165,"Miami, FL",Booker T. Washington
63,Jaylen Daphnis,OL,FR,6-0,287,"Miami, FL",Miami Norland
77,D'Antne Demery,OL,SO,6-5,320,"Brunswick, GA",-
87,Maurquel Dillard,WR,FR,6-0,185,"Fort Lauderdale, FL",Stranahan HS
25,Aris Duffey,DB,SO,5-11,178,"St.Augustine, FL",Nease/App.State
71,Deion Eakins,OG,SO,6-4,310,"Jacksonville, FL",Trinity Christian Academy
5,Edwin Freeman,LB,SR,6-1,250,"Arlington, TX",Bowie/Texas
16,Tony Gaiter IV,WR,JR,5-9,185,"Richmond Heights, FL",Westminster Christian
44,Cadarius Gaskin,WR,FR,6-3,218,"Delray Beach, FL",Atlantic
59,Jamal Gates,LB,SO,6-2,225,"Palm Beach Gardens, FL",Dwyer
86,Carson Genal,TE,FR,6-4,220,"Naples, FL",Gulf Coast
52,Donovan Georges,LB,FR,6-1,240,"Hialeah, FL",Champagnat Catholic
49,Ulice Gillard III,S,SO,6-1,198,"Orlando, FL",Lake Nona
36,Dorian Hall,S,FR,6-4,190,"Hollywood, FL",South Broward
96,Alec Hallman,K,FR,6-1,214,"Lithia, FL",Newsome HS/Oregon
23,Isaiah Hill,S,JR,5-11,195,"Tallahassee, FL",Florida State High
73,Lyndell Hudson Jr.,OL,FR,6-6,300,"Brooksviille, FL",Central HS
97,Tayland Humphrey,DL,JR,6-5,350,"Spring, TX",Klein Oak HS/Hutchinson CC (KS)
43,Christian Irving,DB,JR,5-11,197,"Lauderdale Lakes, FL",American Heritage/Wyoming
17,Lewlin Irving Jr.,DB,SR,5-9,193,"Tarmac, FL",JP Taravelle/Bethune-Cookman
54,Kaliq Jacas,DL,JR,6-2,230,"Port Lucie, FL",St. Lucie West Centennial/ASA College
40,Daniel Jackson,S,SO,6-2,200,"Apex, NC",Middle Creek
45,Rocky Jacques-Louis,LB,FR,6-3,205,"Fort Myers, FL",Dunbar
70,Jason Jean,OL,JR,6-4,290,"Miami, FL",Miami Central
91,Anthony Johnson,DL,SR,6-3,291,"Kingsland, GA",Camden County
31,Tyree Johnson,DB,JR,5-9,185,"Miami Gardens, FL",Miami Carol City
2,Anthony Jones,RB,JR,5-11,215,"Miami, FL",Miami Central
53,Tevin Jones,LB,FR,6-4,220,"Miami, FL",Miami Norland
46,Milord Juste,DL,SR,6-1,285,"Palm Beach Gardens, FL",Palm Beach Gardens
97,Thomas Leo,K,FR,6-4,222,"Winter Garden, FL",East Ridge
3,Sage Lewis,LB,JR,6-1,240,"Opa-Locka, FL",Monsignor Pace
96,Josh Little,DL,JR,6-4,260,"Oklahoma City, OK",Trinity Christian/Kansas State
42,JoJo Louis,S,SO,5-11,196,"Bradenton, FL",Braden River
20,Emmanuel Lubin,DB,SR,6-1,190,"Miami, FL",North Miami Beach
17,Caleb Lynum,QB,FR,6-2,195,"Miami, FL",East Ridge HS
15,Austin Maloney,WR,JR,5-11,190,"Miami, FL",Miami Christopher Columbus
76,Neal Mars,OG,SR,6-3,305,"Orange Park, FL",Fleming Island
23,Napoleon Maxwell,RB,SR,6-0,215,"St. Petersburg, FL",Admiral Farragut Academy
27,Benny McCray,CB,FR,6-2,185,"Clermont, FL",East Ridge
34,Trent McGhee,DB,SO,6-0,198,"Jacksonville, FL",Bolles/St. Petersburg College
55,Shane McGough,C,SO,6-2,302,"Tampa, FL",Gaither
92,Jason Mercier,DL,FR,6-3,262,"Boynton Beach, FL",Atlantic
62,Mershawn Miller,OL,FR,6-2,313,"Miami, FL",Miami Central
12,James Morgan,QB,JR,6-4,213,"Green Bay, WI",Ashwaubenon HS/Bowling Green
