No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
77,Nick Abbs,OL,JR,6-5,293,"Portland, OR",Gresham HS/Fresno City College
79,Nick Aibuedefe,OL,JR,6-4,274,"Sacramento, CA",Capital Christian HS
25,Austin Alexander,TE,FR,6-5,228,"Sacramento, CA",Capital Christian
13,Justin Allen,WR,SR,5-11,192,"Los Angeles, CA",Mater Dei HS
9,Jeff Allison,LB,JR,6-0,235,"Miami, FL",Langston Hughes HS
81,Ricardo Arias,WR,FR,6-1,205,"Fresno, CA",Clovis West
90,Kevin Atkins,DT,SO,6-2,300,"Murrieta, CA",Vista Murrieta HS
7,James Bailey,LB,SR,6-1,225,"Austin, TX",Lake Travis HS
4,Mike Bell,DB,JR,6-3,203,"Moreno Valley, CA",Citrus Hill HS
94,Patrick Belony,DT,SR,6-1,305,"N. Miami Beach, FL",N. Miami Beach HS/Antelope Valley College
71,Marc-David Bien-Aime,OL,FR,6-5,350,"Montreal, Canada",Montmorency College
26,Matt Boateng,DB,SR,6-0,175,"Toronto, Canada",IMG Academy/Arizona Western College
56,Joseph Bonner IV,OL,FR,6-3,310,"Hanford, CA",Hanford East HS
51,Markus Boyer,OL,SR,6-1,300,"Huntington Beach, CA",Edison HS/Saddleback JC/UCLA
85,Erik Brooks,WR,FR,5-7,162,"Corona, CA",Roosevelt HS
35,Chris Brown,DB,FR,5-11,188,"Modesto, CA",Modesto Christian HS
14,Jaron Bryant,DB,JR,6-1,176,"Fort Worth, TX",Duncanville HS
72,Dontae Bull,OL,FR,6-6,324,"Victoria, Canada",Belmont Secondary
26,Brian Burt,WR,SR,5-11,194,"East Wenatchee, WA",Eastmont HS/Ventura College
42,Richard Cage,LB,SO,6-1,220,"Corona, CA",Eleanor Roosevelt HS
97,Shane Ciucci,K,FR,5-8,170,"Livonia, MI",Divine Child HS
8,Chris Coleman,WR,FR,5-11,183,"Bakersfield, CA",Garces Memorial HS
25,Sherman Coleman Jr.,DB,SR,5-9,170,"Houston, TX",Westside HS/Cisco College
17,Steven Comstock,QB,FR,6-0,195,"Glendora, CA",Northview
58,Christian Cronk,OL,SR,6-5,305,"Oceanside, CA",Oceanside HS/Riverside City College
51,Alex Cruz,DE,FR,6-2,235,"Concord, CA",Concord HS
47,Blake Cusick,P,JR,6-2,185,"Monrovia, CA",Monrovia HS
19,Frank Dalena,WR,JR,5-8,154,"Fresno, CA",San Joaquin Memorial HS
1,Damien DeGruy,DE,SO,6-3,246,"New Orleans, LA",McDonogh 35 HS
10,Shawn Dourseau,DB,FR,5-10,170,"Perris, CA",Citrus Hill HS
43,Alex Dumais,DL,FR,6-3,259,"Montreal, Canada",Saint Paul-CA HS
4,Emoryie Edwards,WR,FR,5-11,187,"Tulare, CA",Tulare Union
5,Patrick Elima-Jeune,WR,FR,6-0,190,"Inglewood, CA",Morningside HS
16,Rian Fields,LB,FR,6-5,185,"Irvine, CA",Irvine HS
50,Tainoa Foster,LB,SO,6-2,195,"Honolulu, HI",Kamehameha HS
8,Wylan Free,DB,FR,6-2,178,"Compton, CA",Lynwood HS
57,Jace Fuamatu,OL,FR,6-3,330,"Bellflower, CA",St. John Bosco
37,Asa Fuller,K,FR,6-2,227,"Fountain Valley, CA",Servite HS
28,Kenny Gagnon,DB,SO,5-11,185,"La Quinta, CA",Desert Christian Academy
2,Chris Gaston,DB,FR,6-1,181,"La Puente, CA",Bishop Amat HS
84,Anthony Grayson Jr.,WR,SR,6-1,170,"Redlands, CA",Redlands East Valley HS
7,Derrion Grim,WR,JR,6-1,194,"Stockton, CA",Delta JC
82,Delvon Hardaway,WR,SR,6-1,197,"Los Angeles, CA",Dorsey HS
32,Romello Harris,RB,SO,5-11,188,"Tulare, CA",Tulare Union HS/Washington State
93,Jasad Haynes,DT,JR,6-1,283,"Fresno, CA",Clovis North HS
34,George Helmuth,LB,SR,6-1,225,"Fresno, CA",Clovis North HS
41,Dorrzel Hicks,LB,JR,5-10,221,"Sacramento, CA",Grant HS/College of San Mateo
33,Josh Hokit,RB,JR,6-1,220,"Clovis, CA",Clovis HS
23,Juju Hughes,DB,JR,5-11,182,"Hanford, CA",Hanford HS
62,Logan Hughes,OL,SR,6-4,285,"Las Vegas, NV",Green Valley HS/Victor Valley College
98,Keiti Iakopo,DT,JR,5-11,295,"Huntington Beach, CA",Fountain Valley HS/Golden West College
80,Gunner Javernick,TE,SR,6-6,253,"Canon City, CO",Canon City HS/Ventura Junior College
96,Kevin Jeanniton,DE,SO,6-2,245,"Fresno, CA",Edison HS
18,Isaiah Johnson,DL,FR,6-3,228,"Modesto, CA",Downey HS
3,KeeSean Johnson,WR,SR,6-2,199,"East Palo Alto, CA",Palo Alto HS
24,Saevion Johnson,RB,SO,6-0,200,"Pearland, TX",Pearland Dawson HS
33,Kwami Jones,DE,JR,6-2,250,"San Mateo, CA",Serra HS/College of San Mateo
1,Jamire Jordan,WR,SR,5-11,170,"Lancaster, CA",Highland HS
6,Anthoula Kelly,DB,SR,5-10,183,"Galena Park, TX",Galena Park HS
45,Carson King,P,FR,6-0,182,"Livermore, CA",Foothill HS
11,Sherwin King Jr.,LB,FR,5-11,227,"Fresno, CA",Sunnyside
92,Matt Kjeldgaard,DL,FR,6-2,285,"Oakdale, CA",Oakdale
60,Matt Lawson,DL,FR,6-0,295,"Ontario, CA",Colony
20,Kilifi Leaaetoa,LB,FR,6-2,219,"Menlo Park, CA",Menlo-Atherton
13,Kesomi Mafi,LB,SR,5-11,228,"Oakland, CA",Oakland HS/Laney College
38,Maamaloa Mafi,DB,SR,5-11,193,"Oakland, CA",Oakland HS/Laney College
99,Ricky McCoy,DL,JR,6-2,300,"Fresno, CA",Roosevelt HS/Washington
6,Marcus McMaryion,QB,SR,6-2,203,"Dinuba, CA",Dinuba HS/Oregon State
27,Ka'Lonn Milton,DB,JR,6-0,185,"Fresno, CA",Buchanan HS/Fresno City College
22,Jordan Mims,RB,SO,5-11,192,"East Palo Alto, CA",Menlo-Atherton HS
15,Daniel Moraga,TE,FR,6-3,240,"Oxnard, CA",Pacifica HS
15,Arron Mosby,DB,SO,6-4,218,"Sanger, CA",Sanger HS
52,Netane Muti,OL,SO,6-3,310,"Wahiawa, HI",Leilehua HS
5,Emeka Ndoh,DE,SR,6-0,250,"Hanford, CA",Immanuel HS/De Anza College
11,Dejonte O'Neal,RB,SR,5-7,175,"Fresno, CA",Bullard HS
28,Bryson Oglesby,DB,JR,5-11,195,"Sugar Land, TX",Fort Bend Austin HS
23,Kevin Parker,WR,SO,5-6,150,"Oakland, CA",Skyline HS
87,Namani Parker,WR,SR,6-4,198,"Roseville, CA",Oakmont HS/American River
55,Leonard Payne,DL,FR,6-2,260,"Downey, CA",St. Pius X-St. Matthias
17,Deonte Perry,DB,SO,6-0,183,"Canoga Park, CA",Canoga Park HS
27,Zane Pope,WR,FR,6-2,191,"Moorpark, CA",Moorpark HS
55,Cody Pound,OL,JR,6-4,295,"Durham, CA",Duham HS/Butte College
2,Michiah Quick,WR,SR,5-11,180,"Fresno, CA",Central East HS/Oklahoma
18,Hunter Raquet,QB,SO,6-3,200,"Santa Cruz, CA",San Benito/Peninsula College
10,Jorge Reyna,QB,JR,6-0,215,"Downey, CA",Pasadena HS/West Los Angeles College
16,Jared Rice,TE,JR,6-5,230,"Modesto, CA",Central Catholic HS
29,Justin Rice,LB,JR,6-2,225,"Modesto, CA",Central Catholic HS
89,Kyle Riddering,TE,SR,6-6,235,"Fresno, CA",Clovis North HS
20,Ronnie Rivers,RB,SO,5-8,175,"Brentwood, CA",Freedom HS
67,Chantz Russell,OL,FR,6-6,270,"Petaluma, CA",Marin Catholic HS
50,Tyrone Sampson Jr.,OL,FR,6-2,320,"East Pointe, MI",East English Village Prep
59,Matt Smith,OL,SO,5-11,280,"Long Beach, CA",St. John Bosco HS
22,Trent Soechting,LB,SR,6-3,225,"Katy, TX",Cinco Ranch HS/Blinn College
73,Micah St. Andrew,OL,SR,6-3,348,"Rialto, CA",Eisenhower HS
36,Cam Sutton,TE,JR,6-6,222,"Moreno Valley, CA",Norco HS/Riverside City College
88,David Tangipa,TE,SR,6-5,240,"Sacramento, CA",Foothill HS
46,David Tate Jr.,LB,SO,6-2,220,"Fresno, CA",Edison HS/UNLV
44,Leevel Tatum III,DT,SO,6-0,250,"Fresno, CA",Edison HS/UNLV
39,Mateo Thompson,K,JR,5-7,155,"Murrieta, CA",Murrieta Mesa HS/Saddleback JC
86,Jared Torres,TE,FR,6-5,240,"Visalia, CA",El Diamante HS
65,Syrus Tuitele,OL,SO,6-6,305,"Chico, CA",Pleasant Valley HS
75,Zelan Tupuola,OL,FR,6-2,295,"Carson, CA",JSerra Catholic HS
30,Messiah Tyler,LB,JR,5-8,225,"Murrieta, CA",Vista Murrieta HS/University of La Verne
3,Mykal Walker,DE,JR,6-3,220,"Vacaville, CA",Vacaville HS/Azusa Pacific
53,Jacob Westberry,LS,SO,6-3,248,"Bradenton, FL",Saint Stephen's Episcopal
30,Khai Williams,RB,JR,5-10,209,"Decatur, GA",Edison HS (Calif.)/Fresno City College
54,"Patrick Williams, Jr.",LS,SO,6-3,205,"Vacaville, CA",Vacaville HS
66,Quireo Woodley,OL,SO,6-4,295,"Murrieta, CA",Murrieta Valley HS
6,Ben Wooldridge,QB,FR,6-2,205,"Pleasanton, CA",Foothill
31,Andrew Wright,DE,SO,6-2,237,"Buena Park, CA",Buena Park HS
