No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
91,Samiuela Akoteu,DL,JR,6-2,280,"Inglewood, CA",Junipero Serra HS
34,Nino Alibegic,PK,JR,5-9,165,"Meridian, ID",Rocky Mountain HS/Independence (Kan.) College
85,Marcus Armstrong-Brown,WR,SR,6-3,210,"Napa, CA",Justin-Siena HS/Diablo Valley College
82,Justice Augafa,RB,JR,5-11,210,"Anchorage, AK",South Anchorage HS/LA Harbor College
76,Ramsey Aviu,OL,FR,6-2,300,"'Aiea, HI",'Aiea HS
45,Payton Awaya,LB,SO,6-0,210,"Honolulu, HI",Kalani HS
71,Stephan Bernal-Wendt,OL,SO,6-4,310,"Honolulu, HI",Salesian HS
13,Khoury Bethley,DB,FR,5-10,200,"Chino, CA",Don Lugo HS
30,Kamuela Borden,DL,FR,6-4,250,"Pearl City, HI",‘Iolani School
1,Noah Borden,LS,SR,6-1,220,"Pearl City, HI",Kamehameha Schools-Kapalama
52,Michael Boyle,PK,FR,6-1,175,"Washougal, WA",Camas HS
38,Keliam Brunn,WR,FR,6-0,185,"Wahiawa, HI",Saint Louis School
6,Cedric Byrd,WR,JR,5-9,170,"Los Angeles, CA",Narbonne HS/Long Beach City College
15,Kolney Cassel,QB,SR,6-2,200,"Yakima, WA",Eisenhower HS/Sacramento State
59,Andrew Choi,LB,FR,6-0,200,"Honolulu, HI",Kaiser HS
99,Zeno Choi,DL,SR,6-3,280,"Honolulu, HI",Kaiser HS
54,Kaiwi Chung,OL,SR,6-0,275,"Honolulu, HI",Kamehameha Schools-Kapalama
12,Chevan Cordeiro,QB,FR,6-1,190,"Honolulu, HI",Saint Louis School
28,Elijah Dale,RB,SR,5-10,200,"San Francisco, CA",St. Ignatius HS/City College of San Francisco
29,Donovan Dalton,DB,FR,6-4,200,"Apple Valley, MN",Saguaro HS
16,Tanner Darling,WR,JR,6-1,190,"Simi Valley, CA",Simi Valley HS/Moorpark College
3,Mel Davis,RB,SR,6-2,235,"Compton, CA",Nathaniel Narbonne HS/Santa Monica College
11,Jay Dominique,DB,SO,6-2,190,"Montréal, Canada",Old Montréal Cégep
43,Tevarua Eldridge,DL,SR,6-2,270,"Wailuku, HI",Baldwin HS
68,Ra Elkington,OL,FR,6-5,350,"Laie, HI",Kahuku HS
