No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
48,Bo Alexander,TE,JR,6-4,285,"Orlando, FL",Arizona Western
2,Deontay Anderson,DB,SO,6-2,217,"Houston, TX",Ole Miss
12,David Anenih,LB,SO,6-3,237,"Arlington, TX",-
71,Max Banes,OL,FR,6-5,301,"Houston, TX",-
64,Dennis Bardwell,OL,SO,6-7,305,"Huffman, TX",-
70,Jordan Boatman,OL,FR,6-6,325,"The Woodlands, TX",-
81,Tre'von Bradley,WR,FR,6-1,195,"Cleburne, TX",-
82,Romello Brooker,TE,SR,6-5,253,"Houston, TX",-
20,Roman Brown,LB,SR,6-2,230,"DeSoto, TX",-
91,Tahj Brown,DE,FR,6-3,270,"Donaldsonville, LA",-
28,Josh Burrell,RB,JR,5-11,235,"Missouri City, TX",-
44,Anthony Cantu,LS,JR,5-10,220,"Pasadena, TX",Navarro CC
34,Mulbah Car,RB,JR,6-0,215,"Austin, TX",-
40,Jordan Carmouche,LB,SO,6-2,255,"Manvel, TX",Navarro JC
21,Patrick Carr,RB,JR,5-10,205,"The Woodlands, TX",Colorado
52,Jerard Carter,DE,SR,6-3,295,"Houston, TX",-
80,Colton Cerday,WR,JR,6-0,220,"Wimberley, TX",-
94,Isaiah Chambers,DL,SO,6-5,265,"Houston, TX",TCU
2,Keith Corbin,WR,JR,6-1,197,"Beaumont, TX",-
88,Shane Creamer,TE,FR,6-3,230,"Del Rio, TX",-
59,Jacob Daulong,LB,FR,6-1,205,"Spring, TX",-
1,Garrett Davis,DB,SR,6-2,210,"Red Oak, TX",-
72,Mason Denley,OL,SR,6-5,310,"Columbus, TX",-
12,Quinten Dormady,QB,SR,6-4,222,"Boerne, TX",Tennessee
6,Khari Dotson,DB,SR,6-2,205,"Houston, TX",-
30,Alexander Duke,LB,FR,6-2,245,"Bellaire, TX",-
8,Emeke Egbule,LB,SR,6-4,240,"Galena Park, TX",-
89,Parker Eichenberger,TE,FR,6-3,225,"Katy, TX",-
76,Kameron Eloph,OL,JR,6-4,300,"Bossier City, LA",-
50,Aymiel Fleming,DT,JR,6-3,295,"La Marque, TX",-
75,Jack Freeman,OL,FR,6-3,278,"Midlothian, TX",-
51,Tariq Freeny,DL,SO,6-2,235,"Rosenberg, TX",-
29,Darius Gilbert,DB,JR,6-3,200,"Springhill, LA",-
4,Leroy Godfrey,LB,JR,6-3,240,"Missouri City, TX",-
26,Elijah Gooden,LB,SO,6-1,230,"Boling, TX",-
43,Dekalen Goodson,LB,FR,6-2,226,"Tyler, TX",-
92,Logan Hall,DL,FR,6-6,241,"Belton, TX",-
86,Payton Haslam,TE,SR,6-2,225,"Gilbert, AZ",Black Hills State
6,Kinte Hatton,WR,SR,6-0,185,"Houston, TX",Blinn JC
36,James Homan,WR,SR,6-1,178,"Brenham, TX",Montana
14,Isaiah Johnson,CB,SR,6-4,203,"Bryan, TX",-
52,Braylon Jones,OL,JR,6-4,315,"Tyler, TX",-
74,Josh Jones,OL,JR,6-7,310,"Richmond, TX",-
80,Noah Jones,DL,FR,6-4,270,"Lancaster, TX",-
32,Kevrin Justice,RB,JR,6-0,205,"Kilgore, TX",-
4,D'Eriq King,QB,JR,5-11,195,"Manvel, TX",-
15,Zamar Kirven,LB,FR,6-3,205,"Mart, TX",-
9,Courtney Lark,WR,JR,6-2,200,"Bellaire, TX",-
46,Melvin Larkins,LB,FR,6-3,231,"Houston, TX",-
73,Kameron Lewis,OL,FR,6-4,268,"Spring, TX",-
39,Shaun Lewis,DB,FR,6-0,190,"Houston, TX",-
53,Hayden Mark,OL,SO,6-3,305,"Plano, TX",Abilene Christian
