No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
94,Abule Abadi-Fitzgerald,DT,FR,6-6,281,"Lakeland, FL",Victory Christian Academy
23,Tyrell Ajian,S,FR,6-0,187,"Mansfield, OH",Madison Comprehensive
84,Marvin Alexander,WR,FR,6-2,175,"Miami Gardens, FL",Chaminade-Madonna
82,Josh Ali,WR,SO,6-0,181,"Hollywood, FL",Chaminade-Madonna
41,Josh Allen,LB,SR,6-5,260,"Montclair, NJ",Montclair
64,George Asafo-Adjei,OT,SR,6-5,315,"West Chester, OH",Lakota West
8,"Derrick Baity, Jr.",CB,SR,6-3,188,"Tampa, FL",H.B. Plant
2,Dorian Baker,WR,SR,6-3,205,"Cleveland Heights, OH",Cleveland Heights
39,Elijah Barnett,LB,JR,6-3,238,"Lexington, KY",Henry Clay
80,Brenden Bates,TE,FR,6-4,240,"Cincinnati, OH",Archbishop Moeller
37,Tyler Beisner,WR,FR,5-9,142,"Goshen, KY",North Oldham
23,Brayden Berezowitz,WR,JR,5-9,180,"Lexington, KY",Henry Clay
27,Bryan Berezowitz,WR,JR,5-9,180,"Lexington, KY",Henry Clay
29,Zac Berezowitz,WR,FR,5-11,180,"Lexington , KY",Henry Clay
53,Blake Best,LS,JR,6-1,220,"Duluth, GA",Peachtree Ridge
95,Quinton Bohanna,NG,SO,6-4,340,"Cordova, TN",Cordova
33,David Bouvier,WR,SR,5-9,168,"Lexington, KY",Lexington Catholic
1,"Lynn Bowden, Jr.",WR,SO,6-1,195,"Youngstown, OH",Warren Harding
35,Immanuel Bowie,DB,FR,5-9,167,"Lexington, KY",Tates Creek
32,Jamari Brown,DB,FR,6-1,187,"Sunrise, FL",Blanche Ely
95,Miles Butler,K,SR,5-9,165,"Paducah, KY",Tilghman
90,T.J. Carter,DE,JR,6-4,265,"Mableton, GA",Whitefield Academy
8,Danny Clark,QB,FR,6-2,232,"Columbus, OH",Archbishop Hoban
87,C.J. Conrad,TE,SR,6-5,252,"LaGrange, OH",Keystone
29,Yusuf Corker,S,FR,6-0,185,"McDonough, GA",Woodland
62,Tyler Couch,OL,FR,6-1,243,"Paintsville, KY",Paintsville
48,Will Crum,WR,FR,6-6,195,"Louisville, KY",St. Xavier
35,John Daido,WR,SO,6-5,213,"Vienna, VA",Oakton
89,"Allen Dailey, Jr.",WR,FR,6-3,195,"Pinson, AL",Pinson Valley
56,Kash Daniel,LB,JR,6-1,242,"Paintsville, KY",Paintsville
20,Kengera Daniel,DE,SR,6-5,235,"Raleigh, NC",Millbrook
44,Jamin Davis,LB,FR,6-4,224,"Ludowici, GA",Long County
76,Sebastien Dolcine,OG,FR,6-4,318,"Hollywood, FL",Miramar
27,"Cedrick Dort, Jr.",CB,SO,5-11,176,"Palm Beach Gardens, FL",Dwyer
61,Austin Dotson,OT,FR,6-6,322,"Belfry, KY",Belfry
98,Tymere Dubose,DT,SR,6-5,315,"Youngstown, OH",Youngstown Christian
93,Max Duffy,P,SO,6-1,194,"Perth, Australia",Curtin/Kent Street
