No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
22,Yasir Abdullah,LB,FR,6-1,218,"Miramar, FL",Carol City
32,Jacob Ables,WR,FR,5-11,190,"Louisville , KY",Holy Cross
1,Chatarius Atwell,WR,FR,5-9,156,"Miami, FL",Northwestern
11,Kemari Averett,TE,SO,6-6,267,"Atlanta, GA",Grady
9,C.J. Avery,LB,SO,5-11,221,"Grenada, MS",Grenada
88,Jeffrey Banks,TE,SO,6-2,218,"Olive Branch, MS",Olive Branch
73,Mekhi Becton,OL,SO,6-7,355,"Highland Springs, VA",Highland Springs
75,Robbie Bell,OL,SO,6-5,298,"Hoschton, GA",Mill Creek
66,Cole Bentley,OL,SO,6-3,316,"Lenore, WV",Belfry
55,Micah Bland,OL,FR,6-2,290,"Louisville, KY",Male
13,P.J. Blue,LB,SO,6-3,222,"Jemison, AL",Park Crossing
13,Clay Bolin,QB,SO,6-2,202,"Lexington, KY",Bourbon County
89,Adonis Boone,OL,FR,6-5,295,"Daytona Beach, FL",Mainland
41,Michael Boykin,DL,SO,6-6,290,"Carrollton, GA",Carrollton
29,Jairus Brents,CB,FR,5-9,185,"Louisville, KY",Waggener
36,Maurice Burkley,RB,SO,6-0,218,"Naperville, IL",Metea Valley
10,Rodjay Burns,CB,SO,6-0,190,"Louisville, KY",Trinity
53,Amonte Caban,DE,JR,6-1,253,"Smiths, AL",Smiths Station
37,Ryan Chalifoux,K,FR,6-1,199,"Champaign, IL",Champaign Central
61,Caleb Chandler,OL,FR,6-4,295,"Jefferson, GA",Jefferson
12,Marlon Character,CB,SO,6-1,194,"Atlanta, GA",Grady
50,Jean-Luc Childs,OL,JR,6-5,320,"Woodbridge, VA",Forest Park
92,Malik Clark,DE,FR,6-2,272,"Milledgeville, GA",Baldwin
34,Joe Comer,DB,SO,5-10,170,"Decauter, GA",-
45,Blanton Creque,K,JR,5-11,192,"Shelbyville, KY",Collins
80,Hunter Crowe,TE,FR,6-1,228,"Louisville, KY",Butler
83,Micky Crum,TE,SR,6-4,258,"Columbus, OH",Hamilton Township
3,Malik Cunningham,QB,FR,6-1,190,"Montgomery, AL",Park Crossing
85,Jordan Davis,TE,JR,6-4,254,"Clear Lake, TX",Clear Lake
5,Seth Dawkins,WR,JR,6-3,218,"Columbus, OH",Franklin Heights
48,Colin Demetrakis,LB,FR,5-9,207,"Union, KY",Ryle
