No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
88,Jalen Alexander,DL,FR,6-4,300,"Chesapeake, VA",Western Branch
54,Spencer Anderson,OL,FR,6-5,315,"Bowie, MD",Bishop McNamara HS
6,Jesse Aniebonam,DL,SR,6-3,260,"Silver Spring, MD",Good Counsel HS
39,Steve Baca,LB,JR,6-2,225,"Mt. Airy, MD",South Carroll HS
32,Matt Barber,PK,SR,6-0,193,"Mechanicsburg, PA",Mechanicsburg Area HS
80,Noah Barnes,TE,SO,6-4,238,"Auburn, AL",Auburn HS
10,Tyler Baylor,DL,FR,6-4,248,"Olney, MD",Good Counsel HS
11,Fofie Bazzie,DB,FR,6-0,201,"Silver Spring, MD",Quince Orchard HS
24,Kenny Bennett,DB,FR,6-2,203,"Philadelphia, PA",Academy at Palumbo
21,Raymond Boone,DB,FR,6-0,203,"Greenbelt, MD",Eleanor Roosevelt HS
18,Max Bortenschlager,QB,JR,6-3,220,"Fishers, IN",Cathedral HS
57,TJ Bradley,OL,SO,6-7,293,"Leesburg, VA",Tuscarora
27,Bryce Brand,DL,SO,6-3,245,"Detroit, MI",Clayton Valley Charter
25,"Antoine Brooks, Jr.",DB,JR,5-11,210,"Lanham, MD",DuVal HS
26,Justin Brown,WR,FR,6-5,190,"Hillsborough, NJ",Hillsborough HS
49,David Brownlee,LB,FR,6-3,227,"Forestville, MD",Bishop McNamara HS
15,Legend Brumbaugh,QB,SO,6-3,217,"Auburn, AL",Trinity Christian Academy
44,Chance Campbell,LB,FR,6-2,223,"Towson, MD",Calvert Hall
14,Tahj Capehart,WR,SO,5-10,193,"Virginia Beach, VA",Bishop Sullivan Catholic
83,Carlos Carriere,WR,FR,6-4,184,"Alpharetta, GA",Alpharetta HS
70,Sean Christie,OL,SR,6-4,294,"Medford, NY",Patchogue-Medford HS
4,Brian Clarkin,QB,FR,6-0,162,"Cladwell, NJ",Caldwell HS
15,Brian Cobbs,WR,FR,6-1,203,"Alexandria, VA",Hayfield HS
10,Jayden Comma,WR,FR,6-2,210,"Roswell, GA",Roswell HS
43,Wyatt Cook,LB,SR,6-2,237,"Baltimore, MD",McDonogh School
87,Michael Cornwell,TE,SR,6-3,230,"Columbia, MD",McDonogh School
9,Byron Cowart,DL,SR,6-4,293,"Tampa, FL",Armwood
9,Jahrvis Davenport,WR,SR,5-9,190,"Tampa, FL",Robinson HS
22,Isaiah Davis,ILB,JR,6-1,245,"Temple Hills, MD",St. Stephen's & St. Agnes
2,RaVon Davis,DB,SR,5-10,178,"Fort Washington, MD",Friendly HS
75,Terrance Davis,OL,JR,6-3,310,"Temple Hills, MD",DeMatha Catholic HS
13,Tyler DeSue,QB,FR,6-1,217,"Virginia Beach, VA",Bishop Sullivan Catholic
7,Dontay Demus,WR,FR,6-4,202,"Washington, DC",Friendship Collegiate
32,Antonio DiCerbo,DL,SO,6-1,252,"Pasadena, MD",Gilman HS
71,Jaelyn Duncan,OL,FR,6-5,335,"Owings Mills, MD",St. Frances Academy
82,Avery Edwards,TE,SR,6-4,240,"Raleigh, NC",Ravenscroft HS
31,Nnamdi Egbuaba,LB,SR,6-0,235,"Baltimore, MD",St. Frances Academy
16,Ayinde Eley,LB,FR,6-3,227,"Silver Spring, MD",Good Counsel
7,Tino Ellis,DB,JR,6-1,195,"Reisterstown, MD",DeMatha Catholic HS
97,Bentley Faulkner,K,FR,6-1,160,"Greensboro, NC",Grimsley HS
8,Tayon Fleet-Davis,RB,SO,5-11,226,"Oxon Hill, MD",Potomac HS
12,Vincent Flythe,DB,FR,6-0,175,"Washington, DC",Howard D. Woodson
92,Austin Fontaine,DL,FR,6-4,335,"Hyattsville, MD",DeMatha Catholic HS
34,Jake Funk,RB,JR,5-11,202,"Gaithersburg, MD",Damascus HS
98,Brandon Gaddy,DL,FR,6-2,300,"Virginia Beach, VA",Bishop Sullivan Catholic
99,Breyon Gaddy,DL,FR,6-2,334,"Virginia Beach, VA",Bishop Sullivan Catholic
77,Cherokee Glasgow,DL,FR,6-2,240,"Mt. Vernon, NY",Mount Vernon HS
23,Fa'Najae Gotay,DB,FR,6-0,215,"North Fort Myers, FL",North Fort Myers HS
55,Derwin Gray,OL,SR,6-5,330,"Washington, DC",Friendship Collegiate
52,Evan Gregory,OL,FR,6-4,306,"Hyattsville, MD",DeMatha Catholic HS
63,Tyler Hamilton,OL,SO,6-1,300,"Bowie, MD",St. Vincent Palotti HS
2,Lorenzo Harrison III,RB,JR,5-8,198,"Hillcrest Heights, MD",DeMatha Catholic HS
16,Brayden Hawkins,QB,FR,-,220,"Charlotte, NC",Myers Park High School
11,Kasim Hill,QB,FR,6-2,234,"Washington, DC",St. John's College
59,Keiron Howard,DL,JR,6-3,290,"Fort Washington, MD",Potomac HS
67,Tyran Hunt,OL,FR,6-7,317,"Boykins, VA",Southampton HS
38,Paul Inzerillo,PK,SO,5-8,181,"Staten Island, NY",Monsignor Farrell HS
12,Taivon Jacobs,WR,SR,5-11,170,"Camp Springs, MD",Suitland HS
19,MJ Jarrell,WR,FR,6-1,188,"Orlando, FL",Timber Creek HS
24,Ty Johnson,RB,SR,5-10,212,"Cumberland, MD",Fort Hill HS
84,Chris Jones,WR,SR,6-2,190,"Baltimore, MD",DeMatha Catholic HS
21,Darryl Jones,WR,FR,6-3,181,"Virginia Beach, VA",Princess Anne HS
14,Deon Jones,DB,FR,6-0,197,"Oxon Hill, MD",Potomac HS
6,Jeshaun Jones,WR,FR,6-2,190,"Fort Myers, FL",South Fort Myers
73,Johnny Jordan,OL,SO,6-1,304,"Leesburg, VA",Gonzaga HS
3,Qwuantrezz Knight,DB,JR,6-0,200,"Quincy, FL",East Gadsden HS
96,Brett Kulka,DL,SR,6-4,259,"Edinboro, PA",General McLane HS
20,Javon Leake,RB,SO,6-0,210,"Greensboro, NC",Page HS
88,Wade Lees,P,JR,6-2,201,"Melbourne, Australia",Box Hill Senior Secondary College
8,Marcus Lewis,DB,JR,6-1,195,"District Heights, MD",Gonzaga
13,Rayshad Lewis,DB,SO,5-10,177,"Orlando, FL",Bishop Moore
40,Tanyi Makia,LB,FR,6-2,228,"Olney, MD",Randolph-Macon Academy
69,Gabriel Matthews,OL,FR,6-2,260,"Lake Mary, FL",Lake Mary HS
19,Ahmad McCullough,LB,FR,6-3,215,"Baltimore, MD",Mount Saint Joseph
5,Anthony McFarland,RB,FR,5-8,193,"Hyattsville, MD",DeMatha Catholic HS
68,Ellis McKennie,OL,JR,6-3,307,"McSherrytown, PA",McDonogh School
91,Adam McLean,DL,JR,6-2,305,"Gaithersburg, MD",Quince Orchard HS
90,B'Ahmad Miller,DL,FR,6-2,290,"Newark, DE",St. Frances Academy
32,Bruce Miller,LB,SR,6-0,235,"Chester, PA",Delcastle Tech HS
72,Marcus Minor,OL,SO,6-4,307,"Lanham, MD",DeMatha Catholic HS
38,Freddie Montgomery,DB,FR,6-0,175,"Bel Air, MD",C. Milton Wright HS
15,Ken Montgomery,DB,FR,6-2,164,"Tampa, FL",Hillsborough HS
64,Brendan Moore,OL,SR,6-3,302,"Austin, TX",Westwood HS
18,Jordan Mosley,LB,FR,6-1,203,"Havertown, PA",Haverford
30,Durell Nchami,LB,FR,6-3,240,"Burtonsville, MD",Paint Branch
85,Sean Nelson,WR,FR,6-0,180,"Fairburn, GA",Langston Hughes HS
23,Ikechukwu Ogwuegbu,RB,JR,5-9,205,"Hyattsville, MD",Northwestern HS
17,Chigoziem Okonkwo,TE,FR,6-2,235,"Powder Springs, GA",Hillgrove
48,Oladimeji Olayinka,LB,FR,6-2,222,"Ellicott City, MD",Howard HS
36,Matt Oliveira,LS,SR,6-1,211,"Watchung, NJ",Saint Peter's Prep
52,Oluwaseun Oluwatimi,DL,JR,6-1,294,"Upper Marlboro, MD",DeMatha Catholic HS
26,Chigozie Onyekwere,DB,SR,6-1,205,"Washington, DC",Friendship Academy
89,Andrew Park,TE,FR,6-4,245,"Fairfax Station, VA",Lake Braddock HS
27,Joseph Petrino,K,FR,5-11,175,"Richmond Hill, GA",Richmond Hill HS
3,Tyrrell Pigrome,QB,SO,5-11,205,"Birmingham, AL",Clay-Chalkville HS
74,Brian Plummer,OL,SO,6-6,315,"New Windsor, MD",South Carroll HS
58,Damian Prince,OL,SR,6-3,320,"Washington, DC",Bishop McNamara HS
20,Antwaine Richardson,DB,JR,6-0,195,"Delray Beach, FL",Atlantic Community HS
97,Celso Rivera,DL,SR,6-1,328,"Woodbridge, VA",Gar-Field
95,Lawtez Rogers,DL,FR,6-4,274,"Landover, MD",Eleanor Roosevelt HS
47,James Rosenberry,LS,FR,6-0,215,"Columbus, OH",Olentangy HS
45,Zack Roski,TE,SO,6-7,230,"Laurel, MD",St. Vincent Palotti HS
93,Oseh Saine,DL,JR,6-2,300,"Worcester, MA",Lincoln HS/Worcester Academy
4,"Darnell Savage, Jr.",DB,SR,5-11,200,"Newark, DE",Caravel Academy
46,Robert Schwob,TE,SO,6-6,231,"Annapolis, MD",Broadneck HS
41,Mike Shinsky,K,JR,5-9,179,"Towson, MD",McDonogh School
55,Cam Spence,DL,FR,6-3,300,"Washington, DC",St. John's College
50,Mbi Tanyi,DL,SR,6-1,290,"Houston, TX",George Bush HS
1,DJ Turner,WR,JR,5-9,203,"Glenarden, MD",DeMatha Catholic HS
