No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
15,Connor Adair,QB,FR,6-4,200,"Trussville, AL",Hewitt-Trussville HS
7,Curtis Akins,LB,SR,6-2,235,"Byhalia, MS",Byhalia HS
37,Jaylon Allen,LB,FR,6-2,223,"Humble, TX",Atascocita HS
21,Ross Anderson,DB,SR,5-10,187,"Memphis, TN",White Station HS
27,Noah Arrindell,DB,SR,5-10,161,"Germantown, TN",Houston HS
16,Nehemiah Augustus,OLB,SO,6-0,205,"Patterson, LA",Patterson HS
84,Calvin Austin III,WR,FR,5-9,160,"Memphis, TN",Harding Academy
60,Tim Belles,LS,JR,6-5,255,"Germantown, TN",Houston HS
70,Blaine Bishop,OL,FR,6-3,286,"Tallahassee, FL",North Florida Christian
41,Sanchez Blake Jr.,DB,FR,6-0,205,"Olive Branch, MS",Olive Branch HS
58,Preston Brady,LS,FR,6-0,215,"Cordova, TN",Evangelical Christian School
57,Nigel Brannon,OL,FR,6-5,333,"Oklahoma City, OK",John Marshall HS
95,Keith Brigham,DL,JR,6-3,270,"Normal, IL",West
99,Braylon Brown,DL,FR,6-4,300,"Cordova, TN",Cordova HS
3,Keith Brown Jr.,LB,JR,6-1,235,"Madison, MS",Madison Central
2,T.J. Carter,DB,SO,5-11,180,"Nashville, TN",Stratford HS
50,Chris Clark,DL,FR,6-4,239,"Sardis, MS",North Panola HS
48,Gray Clark,DB,FR,6-4,197,"Memphis, TN",Lausanne
31,Chris Claybrooks,DB,SO,6-0,170,"Nashville, TN",McGavock HS
47,Colton Cochran,DB,SO,6-0,195,"Memphis, TN",St. Benedict at Auburndale
97,Emmanuel Cooper,DL,SR,6-1,300,"Arkadelphia, AR",Arkadelphia HS
10,Damonte Coxie,WR,SO,6-3,200,"Reserve, LA",East St. John
11,Sam Craft,WR,SR,6-0,210,"Memphis, TN",Olive Branch HS
42,Xavier Cullens,LB,FR,6-1,205,"Ecru, MS",North Pontotoc HS
88,Tyce Daniel,TE,FR,6-4,238,"Paducah, KY",McCracken County HS
49,Scottie Dill,TE,JR,6-7,295,"Eads, TN",Briarcrest Christian HS
34,Jackson Dillon,LB,SR,6-6,265,"Ringling, OK",Ringling HS
94,Joseph Dorceus,DL,SO,6-0,275,"Spring, TX",Spring HS
5,Sean Dykes,TE,JR,6-2,230,"Houston, TX",Manvel HS
89,Jared Edwards,TE,FR,6-4,255,"Evensville, TN",Rhea County HS
76,Isaac Ellis,OL,FR,6-2,235,"Monroe, LA",Carroll HS
44,Steven Enis,TE,JR,6-2,240,"Fayette, AL",Fayette County HS
77,Obinna Eze,OL,FR,6-8,315,"Nashville, TN",Davidson Academy
80,Coye Fairman,WR,FR,6-3,190,"Humble, TX",Atascocita HS
57,Hayden Ferrari,LB,JR,5-11,230,"Memphis, TN",Christian Brothers HS
71,Evan Fields,OL,FR,6-5,277,"Sharpsburg, GA",East Coweta HS
17,Cameron Fleming,RB,FR,5-7,172,"Cedar Hill, TX",Cedar Hill HS
32,Jacobi Francis,DB,SO,5-10,175,"Covington, GA",Newton HS
19,Kenny Gainwell,RB,FR,5-11,183,"Yazoo City, MS",Yazoo County HS
49,Tyler Garvey,LB,FR,6-1,205,"Collierville, TN",Collierville HS
14,Antonio Gibson,WR,JR,6-2,220,"Stockbridge, GA",Eagles Landing
29,Carlito Gonzalez,DB,SO,6-1,190,"Stone Mountain, GA",Stephenson HS
1,O'Bryan Goodson,DL,SO,6-1,300,"Batesville, MS",South Panola HS
18,Tim Gordon,DB,SR,5-11,164,"St. Paul, MN",Cretin Derham Hall
25,Austin Hall,OLB,JR,6-2,215,"Collierville, TN",Collierville HS
25,Tre'Veon Hamilton,WR,JR,6-3,195,"Humble, TX",Atascocita HS
35,Tim Hart,LB,SO,6-1,235,"Memphis, TN",MUS
83,John Hassell,TE,FR,6-3,230,"Collierville, TN",Collierville HS
93,Desmond Hawkins,DL,JR,6-5,295,"Memphis, TN",Craigmont HS
8,Darrell Henderson,RB,JR,5-9,200,"Batesville, MS",South Panola HS
82,Hunter Hill,WR,SO,5-11,184,"Memphis, TN",Briarcrest HS
52,Jacoby Hill,OLB,SO,6-3,235,"Atlanta, GA",Carver HS
55,Mikhail Hill,OL,FR,6-4,325,"Harvey, LA",West Jefferson HS
