No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
91,Freedom Akinmoladun,DL,SR,6-4,295,"Grandview, MO",Grandview
30,Quayshon Alexander,OLB,SO,6-3,250,"Prospect Park, NJ",De Paul Catholic
42,Chad Alioth Jr.,WR,FR,6-2,195,"Omaha, NE",North
11,Austin Allen,TE,FR,6-8,245,"Aurora, NE",Aurora
45,David Alston,OLB,FR,6-4,225,"Saint Paul, MN",Woodbury
4,Avery Anderson,DB,JR,6-0,180,"Surprise, AZ",Pine Creek (Colorado Springs)
75,Fyn Anderson,DL,JR,6-3,285,"Lincoln, NE",Southeast
50,Jake Archer,LB,FR,6-0,210,"Omaha, NE",Skutt Catholic
98,Isaac Armstrong,P,JR,5-11,205,"Lincoln, NE",Kearney/Southwest
61,Mitchell Balenger,OL,FR,6-2,305,"Leonardtown, MD",Fork Union Military Academy/Leonardtown
51,Anthony Banderas,LB,FR,6-1,225,"Lincoln, NE",Southwest
73,Broc Bando,OL,FR,6-5,315,"Lincoln, NE",IMG Academy
36,Christian Banker,WR,FR,6-1,190,"Omaha, NE",Omaha Skutt Catholic High School
74,Jalin Barnett,OL,JR,6-4,330,"Lawton, OK",Lawton
7,Mohamed Barry,ILB,JR,6-1,230,"Grayson, GA",Grayson
25,Greg Bell,RB,JR,6-0,205,"Chula Vista, CA",Arizona Western CC/Bonita Vista
38,Brody Belt,RB,FR,5-8,185,"Omaha, NE",Millard West
23,Dicaprio Bootle,DB,SO,5-10,190,"Miami, FL",Southridge
33,Jaylin Bradley,RB,SO,6-0,210,"Bellevue, NE",Bellevue West
35,Moses Bryant,DB,FR,5-11,200,"Elkhorn, NE",South
18,Tre Bryant,RB,JR,5-11,200,"St. Louis, MO",Christian Brothers College
17,Andrew Bunch,QB,SO,6-1,210,"Thompson's Station, TN",Scottsdale CC/Independence
39,Bradley Bunner,DB,FR,6-0,190,"Clarkson, NE",Clarkson Public School
2,Tony Butler,DB,SO,6-2,205,"Lakewood, OH",St. Edward
58,Chris Cassidy,LB,FR,6-1,225,"Lincoln, NE",Pius X
45,Ty Chaffin,WR,SO,6-5,210,"Burwell, NE",Burwell
15,Braxton Clark,DB,FR,6-4,200,"Orlando, FL",Dr. Phillips
62,Cole Conrad,OL,SR,6-5,300,"Fremont, NE",Archbishop Bergan
16,Ethan Cox,DB,FR,5-10,185,"Blair, NE",Blair
95,Alec Cromer,P,SO,6-4,230,"Beatrice, NE",South Dakota State/Beatrice
93,Damion Daniels,DL,FR,6-2,340,"Dallas, TX",Bishop Dunne
22,Alex Davis,OLB,JR,6-5,255,"Riviera Beach, FL",Dwyer
96,Carlos Davis,DL,JR,6-2,325,"Blue Springs, MO",Blue Springs
94,Khalil Davis,DL,JR,6-2,310,"Blue Springs, MO",Blue Springs
19,Marquel Dismuke,DB,SO,6-2,200,"Calabasas, CA",Calabasas
34,Breon Dixon,OLB,SO,5-11,205,"Loganville, GA",Ole Miss/Grayson
13,JoJo Domann,DB,SO,6-1,225,"Colorado Springs, CO",Pine Creek
63,Tanner Farmer,OL,SR,6-4,325,"Highland, IL",Highland
71,Matt Farniok,OL,SO,6-6,330,"Sioux Falls, SD",Washington
