No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
8,Tevis Abraham,WR,FR,6-2,200,"Baton Rouge, LA",Southern Lab HS
14,Josh Adkins,QB,FR,6-2,218,"Spring Branch, TX",Smithson Valley HS
22,Eli Anderson,RB,SO,5-11,210,"La Habra, CA",La Habra HS
55,Sebastian Anderson,OL,JR,6-6,305,"Goodyear, AZ",Desert Edge HS
93,Jacob Arellano,DL,JR,6-2,325,"El Paso, TX",Socorro HS
70,David Ash,OL,FR,6-4,305,"El Paso, TX",Eastwood HS
81,Ivan Avina,WR,FR,5-9,183,"El Paso, TX",Eastlake HS
65,Tony Bello,OL,JR,6-4,290,"Denver, CO",Bear Creek HS
6,Andre Bodison,WR,JR,6-4,210,"Palm Coast, FL",Matanzas HS/New Mexico Military Institute
13,Johnathan Boone,WR,SR,6-3,190,"Orlando, FL",Freedom HS/Ellsworth (IA) CC
80,Trevor Brohard,LB,FR,6-3,232,"Los Lunas, NM",Los Lunas HS
18,Dylan Brown,K,JR,6-1,174,"Chandler, AZ",Hamilton HS/Phoenix College
18,Marcus Buckley,DL,FR,6-2,295,"Weatherford, TX",Weatherford HS
1,Ray Buford Jr.,DB,JR,6-2,202,"Detroit, MI",Southfield HS/Independence CC
7,Royce Caldwell,RB,SR,5-8,170,"Columbus, TX",Columbus HS
2,OJ Clark,WR,JR,5-7,165,"Wichita Falls, TX",Wichita Falls HS
9,Drew Dan,WR,JR,6-3,190,"Muskogee, OK",Checotah HS
24,Parker Davidson,K,SR,5-11,175,"Plano, TX",Plano West Senior HS
11,Malik Demby,DB,SR,6-2,227,"Chino, CA",Chino HS
76,Sage Doxtater,OL,JR,6-7,327,"Welland, Canada",Canada Prep Academy
51,Kris'Sean Edwards,OL,SR,6-4,295,"Tulsa, OK",Union HS/Northeastern Oklahoma A&M College
31,Mike Edwards,DL,FR,6-3,230,"Muskogee, OK",Muskogee HS
36,Alex Escobar,RB,FR,5-9,190,"Peoria, AZ",Centennial HS
49,Lui Fa'amasino,LB,SR,6-0,227,"Anchorage, AK",West HS/Los Angeles Harbor College
7,Javahn Fergurson,LB,JR,6-1,224,"Baton Rouge, LA",Southern Lab HS
26,Josh Foley,RB,FR,5-10,201,"Rio Rancho, NM",Rio Rancho HS
37,Isaac Garcia,K,FR,5-6,135,"El Paso, TX",Franklin HS
25,Christian Gibson,RB,JR,6-1,210,"Dallas, TX",Prime Prep Academy
97,Kai Golden,DL,FR,6-3,295,"Tucson, AZ",Mountain View HS
84,Brandon Gonzalez,TE,JR,6-2,230,"Fabens, TX",Fabens HS
63,Adonis Gordon-Day,OL,FR,5-10,315,"Mariettta, GA",Wheeler HS/MidAmerica Nazarene University
95,John Graves III,DL,FR,6-1,319,"Lancaster, TX",Lancaster HS
52,Jalen Guerrero,OL,SO,6-6,285,"Las Cruces, NM",Mayfield HS
30,Xzavier Guyton,DB,FR,6-0,183,"Arlington, TX",Arlington HS
2,Terrill Hanks,LB,SR,6-3,235,"Miami, FL",Immaculata LaSalle HS
86,Sky Hinojosa,WR,FR,6-0,177,"Phoenix, AZ",Mountain Pointe HS
15,Jeremy Hodge,QB,FR,6-2,216,"Plano, TX",Parish Episcopal HS
11,Shea Holebrook Jr.,WR,JR,6-5,208,"Ossining, NY",Ossining HS/Monroe College
20,Jonathan Hood,LB,SR,6-0,215,"Tyler, TX",North Crowley HS
1,Jason Huntley,RB,JR,5-9,188,"Arlington, TX",Martin HS
3,Derek Ibekwe,DL,SR,6-0,234,"Houston, TX",Lamar Consolidated HS
28,Shane Jackson,LB,JR,6-0,232,"Houston, TX",Manvel HS
12,Nick Jeanty,QB,SR,6-2,203,"Miramar, FL",Miramar HS
46,Donovan King,DL,FR,6-2,224,"Pearland, TX",Shadow Creek HS
5,Komotay Koffie,DB,JR,6-1,190,"Providence, RI",NDSCS/North Dakota State College of Science
23,Ron LaForce,DB,SR,6-1,180,"Bayou La Batre, AL",Alma Bryant HS/College of the Sequoias
94,DeShawnte Lloyd,DL,SR,6-1,333,"Baltimore, MD",College of the Sequoias
12,Tymon Locklin,DB,SR,6-2,210,"Fresno, CA",Clovis North HS
22,Shamad Lomax,DB,JR,6-0,204,"Due West, SC",Copperas Cove HS
51,Roy Lopez,DL,JR,6-2,313,"Tempe, AZ",Mesquite HS
10,Izaiah Lottie,WR,JR,6-0,198,"Denver, CO",Cherokee Trail HS
82,Brock Marlatt,TE,SO,6-2,215,"Kearney, NE",Kearney HS
5,Cameron Matthews,QB,FR,6-3,220,"Crowley, TX",Trinity Valley School
77,Isaac McClain,OL,SR,6-2,320,"Manteca, CA",Manteca HS/Santa Barbara CC
21,Rodney McGraw II,DB,FR,6-2,186,"Missouri City, TX",Elkins HS
41,Leon McQuaker,LB,SR,6-1,220,"Augusta, GA",Josey HS/Eastern Arizona College
35,Grant Miles,TE,FR,6-5,227,"Scottsdale, AZ",Horizon HS
4,Caleb Mills,WR,SO,6-5,204,"Gastonia, NC",Forestview HS/Dodge City CC
20,Naveon Mitchell,RB,FR,5-10,160,"Richmond, TX",Travis HS
54,Isaiah Mursalat,OL,FR,6-4,321,"Scottsdale, AZ",Horizon HS
21,Anthony Muse,WR,JR,6-0,165,"Pacoima, CA",Slymar HS
43,Billy Nipp,LB,SR,5-11,223,"Nashville, TN",Father Ryan HS
9,Lautoa Nomura,DB,JR,6-1,200,"Corona, CA",Centennial HS/Santa Ana College
40,Tim O'Donnell,LS,SR,5-10,241,"Queensland, Australia",Anglican Church Grammar School/North Dakota State College of Science
4,DeMarcus Owens,DB,SR,5-10,191,"McKinney, TX",Yukon HS
19,Austin Perkins,DB,JR,5-9,185,"Tucson, AZ",Tucson HS
29,Jared Phipps,DB,JR,5-9,165,"Arlington, TX",Martin HS
85,Miguel Provencio,TE,SO,6-3,245,"Chihuahua, Mexico",Socorro HS/Valley City State University
67,Eric Pulliam,OL,JR,6-5,321,"Whittier, CA",Sonora HS/Fullerton JC
17,Sol Rascon,WR,SO,6-3,185,"Farmington, NM",Farmington HS
8,Jassavia Reese,DL,SR,6-4,255,"Tyler, TX",John Tyler HS
34,Austin Reeves,LS,FR,6-0,212,"Huntersville, NC",Davidson Day School/Virginia Tech
92,Humberto Renteria,DL,SR,6-0,335,"Clint, TX",Clint HS
47,Devin Richardson,LB,FR,6-3,225,"Klein, TX",Klein HS
87,Bryce Roberts,TE,SO,6-4,268,"Yukon, OK",Mustang HS
3,Matt Romero,QB,JR,6-2,204,"Oceanside, CA",Oceanside HS/Palomar College
56,Arnold Saidov,DL,FR,6-3,225,"Keller, TX",Fossil Ridge HS
72,Justin Segura,DL,FR,6-3,252,"Scottsdale, AZ",Horizon HS
69,Billy Sharmoug,OL,SR,6-2,330,"Manteca, CA",Santa Barbara CC
13,Austin Shaw,DB,JR,6-0,175,"Frisco, TX",Frisco HS
24,Sy Slater,DB,JR,6-1,202,"Houston, TX",Katy HS
74,Jamin Smith,OL,SR,6-3,306,"Castle Rock, CO",Douglas County HS
89,Jackson Solbeck,DL,SR,6-4,283,"Houston, TX",Cypress Ranch HS
16,Gaven Swinson,WR,FR,6-4,216,"Las Cruces, NM",Mayfield HS
75,Evan Tafoya-Vallo,OL,FR,6-3,293,"Rio Rancho, NM",Rio Rancho HS
16,Payton Theisler,P,JR,5-9,145,"Phoenix, AZ",Desert Vista HS
78,Brian Trujillo,OL,JR,6-4,315,"Albuquerque, NM",Volcano Vista HS
59,Dorian Vega,DL,FR,6-2,225,"El Paso, TX",Americas HS
99,Myles Vigne,DL,SO,6-1,315,"New Orleans, LA",Warren Easton Sr. HS
