No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
71,Roy Albritton,OL,JR,6-2,325,"Pensacola, FL",Pensacola HS
64,Ryan Alexander,OL,JR,6-3,300,"Floral Park, NY",Jireh Prep
66,Brian Ankerson,OL,SO,6-1,295,"Theodore, AL",Theodore HS
15,Kawaan Baker,WR,SO,6-1,210,"Atlanta, GA",Hapeville Charter Academy
8,Bull Barge,LB,SR,5-10,225,"Moultrie, GA",Colquitt County HS
49,Jordon Beaton,DL,JR,6-1,300,"Gulfport, MS",Jones County (Miss.) JC
77,Ben Becker,OL,FR,6-4,300,"Riverside, MO",Park Hill South HS
20,Taj Bickham,CB,FR,6-0,180,"Violet, LA",Allen (Texas) HS
52,Travis Bird,OL,JR,6-4,305,"Valencia, CA",College of the Canyons (Calif.)
90,Courtney Bowman,-,-,-,-,-,-
74,Sean Brown,DL,JR,6-2,310,"Pleasant Grove, AL",Pleasant Grove HS
22,Tony Brown,RB,FR,5-8,185,"Hurley, MS",East Central HS
5,Malcolm Buggs,S,SR,5-9,205,"Opelika, AL",Opelika HS
20,Jalin Buie,RB,SO,5-8,180,"Jacksonville, FL",Trinity Christian Academy
63,Max Charite,OL,JR,6-3,290,"Homestead, FL",College of the Sequoias (Calif.)
4,Riley Cole,DE,SO,6-3,235,"Oneonta, AL",Oneonta HS
30,Charles Coleman III,DE,FR,6-2,250,"Huntsville, AL",Mae Jemison HS
38,Will Courtney,TE,FR,5-11,240,"Mobile, AL",UMS-Wright Preparatory School
85,Zac Crosby,TE,SO,6-4,235,"Yulee, FL",The Bolles School
13,DJ Daniels,S,JR,5-10,190,"Riverview, FL",Chamberlain HS
26,Carlos Davis,RB,FR,5-10,200,"Muscle Shoals, AL",Muscle Shoals HS
3,A.J. DeShazor,LB,FR,6-0,200,"Lakeland, FL",Lake Gibson HS
80,Mo Edwards Jr.,WR,FR,6-3,215,"Alabaster, AL",Thompson HS
59,Will Eiland,OL,FR,6-4,280,"Mobile, AL",St. Paul's Episcopal School
54,William Elliott,DL,JR,5-8,260,"Irvington, AL",Huntingdon (Ala.)
9,Sterrling Fisher,S,SO,6-0,210,"Long Beach, CA",James Clemens (Ala.) HS
18,Davyn Flenord,WR,FR,6-2,205,"Lineville, AL",Central Clay County HS
43,Marice Fluellen,CB,SR,5-10,190,"Dothan, AL",Jones County (Miss.) JC
1,Maaseiah Francis,TE,SR,6-2,225,"Lithonia, GA",Hutchinson (Kan.) CC
33,Keith Gallmon,S,FR,5-9,205,"Mobile, AL",Mobile Christian School
17,David Gardner,WR,JR,6-0,185,"Jacksonville, FL",Atlantic Coast HS
13,Cole Garvin,QB,SR,6-1,210,"Newnan, GA",Marshall
16,Josh Gillard,S,FR,5-10,205,"New Orleans, LA",Holy Cross School
56,Rowan Godwin,OL,JR,6-4,300,"Dothan, AL",Army
7,Sean Grayer,DE,SR,6-2,250,"Green Cove Springs, FL",Clay HS
75,Wyatt Green,OL,FR,6-4,300,"Hurley, MS",East Central HS
76,Kevin Haas,OL,JR,6-4,315,"Kiln, MS",Mississippi Gulf Coast CC
25,Tyrone Hall Jr.,S,FR,6-0,185,"Grand Bay, AL",Theodore HS
4,Sam Harris,WR,SR,5-7,180,"Spanish Fort, AL",Spanish Fort HS
46,Jake Harwell,LS,SO,5-11,220,"Semmes, AL",Mary G. Montgomery HS
48,Cameron Hatcher-Owens,LB,FR,6-1,210,"Mobile, AL",Davidson HS
31,Chris Henderson,DE,JR,6-4,230,"Hampton, GA",Lovejoy HS
36,Hunter Henson,TE,FR,6-1,225,"Clanton, AL",Chilton County HS
50,Jamall Hickbottom,LB,FR,6-2,245,"Mobile, AL",Williamson HS
19,Jackson Holladay,QB,FR,5-8,185,"Northport, AL",Walker HS
92,Konnor Houston,DL,SO,6-2,275,"Buford, GA",Army Prep
24,Shawn Jennings,LB,SO,6-0,225,"Dadeville, AL",Alabama
51,Tyler Jernigan,OL,FR,6-2,310,"Bay Minette, AL",Baldwin County HS
2,Cephus Johnson,QB,FR,6-5,225,"Mobile, AL",Davidson HS
94,Johnny Kilgo,P,FR,6-0,200,"Gadsden, AL",Gadsden City HS
37,Kade Koler,LB,FR,6-1,240,"Madison, AL",Bob Jones HS
6,Nigel Lawrence,S,SR,5-11,205,"Smiths Station, AL",Smiths Station HS
62,Caleb Lawson,OL,FR,6-1,285,"Madison, AL",Bob Jones HS
86,Tyrone Legette,WR,FR,5-9,175,"River Ridge, LA",John Curtis Christian HS
32,Kwameh Lewis,CB,SO,5-10,190,"Montgomery, AL",Park Crossing HS
42,Jeremiah Littles,DL,SO,6-2,270,"Jesup, GA",Wayne County HS
16,Parker Mason,WR,SR,5-10,205,"Orange Beach, AL",Gulf Shores HS
27,Maurice Mayo,RB,JR,5-7,175,"Homewood, AL",Homewood HS
12,Jordan McCray,WR,JR,6-5,190,"Marietta, GA",North Cobb HS
65,Josh McCulloch,OL,FR,6-3,330,"Houston, TX",Aldine Benjamin Davis HS
27,Khalil McDonald,LB,JR,5-11,225,"Madison, AL",James Clemens HS
98,Rocel McWilliams,DE,SR,6-3,250,"Pensacola, FL",Missouri
73,Hadon Merchant,OL,FR,6-3,300,"Fairhope, AL",Fairhope HS
33,John Tank Miller,RB,FR,5-9,205,"Panama City, FL",Mosley HS
21,Darian Mills,CB,SR,5-11,185,"Winter Haven, FL",Winter Haven HS
19,Chason Milner,DE,SR,6-3,250,"Spanish Fort, AL",Spanish Fort HS
