No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
6,Deangelo Antoine,DB,JR,5-10,188,"Orlando, FL",Oak Ridge HS
78,William Atterbury,OG,JR,6-4,305,"Clearwater, FL",Clearwater Central Catholic HS
93,Tyrone Barber,DT,FR,6-3,260,"Venice, FL",Venice
11,Blake Barnett,QB,JR,6-5,217,"Corona, CA",Santiago HS
1,Chris Barr,DB,SR,5-10,169,"Jacksonville, FL",Trinity Christian Academy
16,Octavious Battle,QB,FR,6-2,207,"Atlanta, GA",Carver HS
48,Andrew Beardall,LS,FR,5-8,206,"Merritt Island, FL",Merritt Island HS
22,Duran Bell Jr.,RB,FR,5-10,174,"Tampa, FL",Hillsborough HS
55,Josh Black,LB,SR,6-2,252,"Tampa, FL",Sickles HS
25,Eugene Bowman,DB,FR,6-0,169,"Jacksonville, FL",Robert E. Lee
95,Brandon Boyce,DT,JR,6-0,257,"Ft. Lauderdale, FL",St. Thomas Aquinas HS
11,Dwayne Boyles,LB,FR,6-3,210,"Miami, FL",Miami Central HS
99,Kevin Bronson,DT,SR,6-4,282,"Delray Beach, FL",Village Academy HS
6,Ryeshene Bronson,WR,SR,6-3,205,"Fort Myers, FL",Dunbar HS
56,Juwuan Brown,DE,SR,6-2,261,"Tampa, FL",Jefferson HS
88,Chris Carter,TE,FR,6-4,251,"Homestead, FL",South Dade HS
74,Brad Cecil,OL,FR,6-4,290,"Jacksonville, FL",Bartram Trail HS
13,JaJuan Cherry,S,FR,5-9,182,"Okeechobee, FL",Okeechobee HS
86,Stanley Clerveaux,WR,JR,6-3,224,"North Miami, FL",North Miami HS
38,Randal Copeland,LB,FR,6-0,207,"Havana, FL",Gadsden County HS
2,Jordan Cronkrite,RB,JR,5-11,207,"Miami, FL",Westminster Christian HS
27,Naytron Culpepper,DB,SO,6-1,186,"Miami, FL",Carol City HS
14,Vincent Davis,DB,FR,5-11,178,"Jacksonville, FL",Robert E. Lee HS
34,Yafeo Davis,WR,FR,5-11,205,"Tampa, FL",Alonso HS
49,Ian Deneen,LS,FR,5-10,225,"Winter Garder, FL",West Orange HS
43,Deric DuBose,WR,FR,6-0,191,"Sarasota, FL",Sarasota HS
18,DeVontres Dukes,S,SO,6-4,210,"Tampa, FL",Wharton HS
30,Jeffery Farrar,LB,SR,5-11,218,"Pasadena, CA",Upland HS
61,Troy Fields,OL,SO,6-4,250,"Miramar, FL",-
20,Johnny Ford,RB,FR,5-5,168,"Miami, FL",Miami HS
57,AJ Franco,LB,FR,6-0,227,"Sarasota, FL",Riverview HS
83,Johnathan Fritz,WR,FR,6-2,198,"St. Cloud, FL",St. Cloud HS
50,Christion Gainer,OL,SO,6-6,311,"Panama City, FL",Bay Senior HS
29,Samuel Gaston,DB,FR,6-1,170,"Tampa, FL",Alonso HS
65,Marlon Gonzalez,OL,JR,6-4,292,"Cape Coral, FL",North Fort Myers HS
45,Darrien Grant,DL,FR,6-4,244,"Bradenton, FL",Southeast HS
60,Blake Green,DT,SO,6-1,267,"Bradenton, FL",-
44,Antonio Grier Jr.,LB,FR,6-1,210,"Atlanta, GA",Mays HS
7,Mike Hampton,DB,SO,6-1,168,"Tampa, FL",Hillsborough HS
64,Demetris Harris,OL,FR,6-3,318,"Jacksonville, FL",Robert E. Lee HS
