No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
11,Paulson Adebo,CB,SO,6-1,189,"Mansfield, TX",Mansfield
32,Joey Alfieri,OLB,SR,6-3,239,"Portland, OR",Jesuit
3,Malik Antoine,FS,JR,5-11,192,"Baton Rouge, LA",University Laboratory
19,JJ Arcega-Whiteside,WR,SR,6-3,225,"Inman, SC",Dorman
14,Jake Bailey,P,SR,6-2,202,"Solana Beach, CA",Santa Fe Christian
27,Sean Barton,ILB,SR,6-3,224,"North Salt Lake, UT",Woods Cross
27,Charlie Beall,P,SR,6-2,206,"Newport Coast, CA",St. Margaret's Episcopal
43,Ryan Beecher,ILB,SR,6-1,245,"Fresno, CA",San Joaquin Memorial
58,Dylan Boles,DE,SO,6-4,262,"Adel, IA",Van Meter
30,Ethan Bonner,CB,FR,6-1,181,"The Woodlands, TX",The Woodlands
34,Thomas Booker,DE,FR,6-4,279,"Ellicott City, MD",Gilman
31,Mustafa Branch,ILB,SR,5-11,212,"Bellevue, WA",Bellevue
21,Isaiah Brandt-Sims,WR,SR,5-11,178,"Wenatchee, WA",Wenatchee
5,Frank Buncom,FS,SR,6-2,206,"San Diego, CA",St. Augustine
49,Lewis Burik,ILB,SR,5-10,205,"Chicago, IL",Saint Ignatius
73,Jesse Burkett,C,SR,6-4,300,"St. Augustine, FL",Bartram Trail
8,Treyjohn Butler,CB,JR,5-11,197,"Rancho Cucamonga, CA",Etiwanda
83,Cameron Buzzell,WR,SO,5-10,170,"Neah Bay, WA",Neah Bay
65,Brian Chaffin,C,SR,6-2,275,"Harrisburg, NC",Charlotte Christian
53,Jack Chapman,LS,FR,6-2,215,"Moran, WY",Boca Raton
3,K.J. Costello,QB,JR,6-5,215,"Coto de Caza, CA",Santa Margarita Catholic
51,Drew Dalman,C,SO,6-3,279,"Salinas, CA",Palma
22,Obi Eboh,CB,JR,6-2,194,"Southlake, TX",Carroll
9,Ben Edwards,SS,SR,6-0,199,"Jacksonville, FL",Trinity Christian
71,Brandon Fanaika,OG,SR,6-3,315,"Pleasant Grove, UT",Pleasant Grove
13,Simi Fehoko,WR,FR,6-4,210,"Sandy, UT",Brighton
88,Tucker Fisk,TE,SO,6-4,260,"Davis, CA",Davis Senior
6,Andres Fox,DE,FR,6-4,240,"Mobile, AL",Mobile Christian
10,Jordan Fox,OLB,JR,6-3,227,"Plainfield, NJ",St. Peter's
33,Alex Gracey,P,FR,6-3,195,"Atlanta, GA",Westminster
