No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
40,Ayodele Adeoye,LB,FR,6-1,250,"St. Louis, MO",IMG Academy [Fla.]
19,Kartik Akkihal,WR,FR,6-3,200,"Austin, TX",Vandegrift
69,Austin Allsup,OL,SR,6-3,295,"Lorena, TX",Lorena
66,Calvin Anderson,OL,SR,6-5,300,"Austin, TX",Westlake/Rice
75,Junior Angilau,OL,FR,6-5,300,"Salt Lake City, UT",East
47,Andrew Beck,TE,SR,6-3,255,"Tampa, FL",Plant
96,Tristan Bennett,DL,SO,6-2,240,"Irving, TX",Ranchview
42,Marqez Bimage,DL,SO,6-2,255,"Brenham, TX",Brenham
38,Kobe Boyce,DB,FR,6-0,175,"Corinth, TX",Lake Dallas
36,Demarco Boyd,LB,SO,6-0,240,"Gilmer, TX",Gilmer
2,Kris Boyd,DB,SR,6-0,195,"Gilmer, TX",Gilmer
80,Cade Brewer,TE,SO,6-3,250,"Austin, TX",Lake Travis
46,Luke Brockermeyer,LB,FR,6-2,215,"Fort Worth, TX",All-Saints Episcopal
15,Chris Brown,DB,SO,5-11,210,"Houston, TX",Elsik
7,Shane Buechele,QB,JR,6-1,210,"Arlington, TX",Lamar
8,Ryan Bujcevski,P,FR,6-0,185,"Sydney, Australia",Marist Catholic College Penshurst
1,John Burt,WR,SR,6-3,195,"Tallahassee, FL",Lincoln
88,Daniel Carson,DL,FR,6-4,300,"Kansas City, MO",Chrisman
30,Toneil Carter,RB,SO,5-11,210,"Houston, TX",Langham Creek
91,Jamari Chisholm,DL,SR,6-4,300,"Valdosta, GA",Valdosta/NE Oklahoma A&M
55,D'Andre Christmas-Giles,DL,JR,6-3,315,"New Orleans, LA",St. Augustine
99,Keondre Coburn,DL,FR,6-3,330,"Houston, TX",Westfield
4,Anthony Cook,DB,FR,6-0,190,"Houston, TX",Lamar
52,Samuel Cosmi,OL,FR,6-5,295,"Humble, TX",Atascocita
41,Hank Coutoumanos,DB,SO,6-0,200,"Southlake, TX",Southlake Carroll
99,Rob Cummins,TE,FR,6-5,260,"Fort Worth, TX",All-Saints Episcopal
18,Davante Davis,DB,SR,6-2,205,"Miami, FL",Booker T. Washington
17,Cameron Dicker,K,FR,6-1,205,"Austin, TX",Lake Travis
24,Jarmarquis Durst,DB,SR,6-1,200,"Conroe, TX",Oak Ridge/Tarleton State
6,Devin Duvernay,WR,JR,5-11,210,"Sachse, TX",Sachse
27,Donovan Duvernay,DB,SO,5-9,195,"Sachse, TX",Sachse
82,Brennan Eagles,WR,FR,6-3,225,"Houston, TX",Alief Taylor
11,Sam Ehlinger,QB,SO,6-3,235,"Austin, TX",Westlake
85,Malcolm Epps,TE,FR,6-5,230,"Houston, TX",Dekaney
39,Montrell Estell,DB,FR,6-1,200,"Hooks, TX",Hooks
89,Chris Fehr,TE,SR,6-3,230,"Austin, TX",McNeil
25,B.J. Foster,DB,FR,6-2,210,"Angleton, TX",Angleton
79,Matt Frost,OL,FR,6-3,265,"Folsom, CA",Folsom
38,Jack Geiger,K,FR,5-11,205,"San Jose, CA",Bellarmine
74,Rafiti Ghirmai,OL,FR,6-5,300,"Frisco, TX",Wakeland
49,Ta'Quon Graham,DL,SO,6-4,285,"Temple, TX",Temple
3,Jalen Green,DB,FR,6-0,185,"Houston, TX",Heights
44,Breckyn Hager,DL,SR,6-3,255,"Austin, TX",Westlake
52,Jackson Hanna,LB,FR,6-2,215,"Houston, TX",St. Thomas
13,Jerrod Heard,WR,SR,6-2,205,"Denton, TX",Guyer
