No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Austin Applebee,TE,SR,6-6,250,"Seneca, IL",McKendree
56,Jordan Austin,OG,SR,6-5,290,"Claremont, CA",Claremont
49,Matt Bayle,ILB,JR,6-0,215,"San Marino, CA",St. Francis
47,James Bermingham Jr.,P,SR,6-4,185,"Laguna Beach, CA",Dana Hills
99,Oluwole Betiku Jr.,OLB,JR,6-3,240,"Lagos, Nigeria",Serra HS
76,Clayton Bradley,OT,JR,6-5,295,"Orange, CA",Servite
77,Chris Brown,OG,SR,6-5,310,"Los Angeles, CA",Loyola
49,Michael Brown,PK,SO,6-1,195,"Temecula, CA",Linfield Christian
46,Reid Budrovich,P,SR,5-11,185,"Torrance, CA",St. John Bosco
7,Stephen Carr,TB,SO,6-0,205,"Gardena, CA",Summit
39,Jac Casasante,SN,FR,6-0,210,"Altadena, CA",Loyola HS
41,Chris Caulk,TE,SO,6-3,210,"San Diego, CA",Cathedral Catholic
52,Jacob Daniel,OG,JR,6-4,315,"Fresno, CA",Clovis North
18,JT Daniels,QB,FR,6-3,210,"Irvine, CA",Mater Dei
16,Dominic Davis,CB,JR,5-9,190,"Los Angeles, CA",Bishop Alemany
57,Justin Dedich,C,FR,6-2,290,"Temecula, CA",Chaparral HS
44,Malik Dorton,DL,SR,6-2,280,"Los Angeles, CA",St. John Bosco
68,Liam Douglass,OT,FR,6-5,290,"Topanga, CA",Harvard Westlake HS
37,Ben Easington,TB,FR,5-10,205,"Evanston, IL",Evanston
31,Hunter Echols,OLB,FR,6-5,240,"Los Angeles, CA",Cathedral
38,Chris Edmondson,TB,SO,5-9,195,"Cibolo, TX",Clemens
70,Chuma Edoga,OT,SR,6-4,295,"Atlanta, GA",McEachern
48,Peter Esparza,OLB,FR,6-1,205,"West Covina, CA",JSerra Catholic HS
41,Juliano Falaniko,OLB,SO,6-4,230,"Pago Pago, American Samoa",Leone
83,Josh Falo,TE,SO,6-6,230,"Sacramento, CA",Inderkum
39,Howard Felder Jr.,TB,FR,6-0,235,"West Los Angeles, CA",Cathedral HS
19,Matt Fink,QB,SO,6-3,200,"Rancho Cucamonga, CA",Glendora
15,Thomas Fitts,PK,JR,6-1,200,"Dallas, TX",Episcopal School of Dallas
59,Isaac Franco,ILB,SR,6-1,230,"Los Angeles, CA",Palisades Charter
1,Palaie Gaoteote IV,ILB,FR,6-2,250,"Las Vegas, NV",Bishop Gorman HS
52,Spencer Gilbert,ILB,FR,6-0,220,"Madison, AL",St. John Bosco
4,Olaijah Griffin,CB,FR,6-0,180,"Long Beach, CA",Mission Viejo HS
87,Randal Grimes,WR,SO,6-4,205,"Las Vegas, NV",Desert Pines
45,Porter Gustin,OLB,SR,6-5,260,"Elk Ridge, UT",Salem Hills
31,Richard Hagestad,S,SO,6-1,195,"Del Mar, CA",Bishop's School
27,Ajene Harris,CB,SR,5-10,185,"Los Angeles, CA",Crenshaw
44,Matthew Hocum,WR,JR,5-10,180,"Milwaukee, WI",Waukesha
10,John Houston Jr.,ILB,JR,6-3,220,"Carson, CA",Serra
15,Talanoa Hufanga,S,FR,6-1,215,"Corvallis, OR",Crescent Valley HS
88,Daniel Imatorbhebhe,TE,JR,6-3,240,"Suwanee, GA",Florida
17,Josh Imatorbhebhe,WR,SO,6-2,215,"Suwanee, GA",North Gwinnett
56,Jordan Iosefa,ILB,JR,6-2,230,"Waipahu, HI",St. Louis
73,Austin Jackson,OT,SO,6-6,305,"Phoenix, AZ",North Canyon
93,Liam Jimmons,DL,SO,6-4,290,"Huntington Beach, CA",Huntington Beach
59,Damon Johnson,SN,SO,6-0,205,"Glendora, CA",Citrus JC
9,Greg Johnson,CB,FR,5-11,190,"Los Angeles, CA",Hawkins
46,Grant Jones,OLB,SO,6-2,220,"Danville, CA",De La Salle HS
13,Levi Jones,ILB,SO,6-3,220,"Austin, TX",Westlake
1,Velus Jones Jr.,WR,SO,6-0,190,"Saraland, AL","Saraland, AL"
40,Quincy Jountti,TB,JR,5-10,205,"Bakersfield, CA",Liberty HS
54,Tayler Katoa,ILB,FR,6-2,230,"Layton, UT",Layton
