No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
41,Andrew Acosta,TE,FR,6-2,230,"Fort Stockton, TX",Fort Stockton HS
88,Kareem Adeniyi,WR,SO,6-5,215,"Mansfield, TX",Mansfield HS/Texas A&M-Commerce
71,Rudy Aleman Jr.,OL,FR,6-2,280,"San Antonio, TX",Warren HS
73,David Anzaldua,OG,SR,6-5,305,"Edinburg, TX",North HS
25,Carl Austin III,S,SR,6-1,195,"Austin, TX",St. Stephen's Episcopal HS
99,Baylen Baker,DE,JR,6-4,295,"Abilene, TX",Wylie HS
90,Eric Banks,DE,JR,6-5,270,"Memphis, TN",East HS
36,Samuel Barnes,S,FR,6-1,205,"Richmond, TX",George Ranch HS
43,Erik Baughman,PK,SO,6-0,175,"League City, TX",Clear Creek HS/Texas Tech
11,Liam Beard,QB,FR,6-2,195,"Round Rock, TX",Round Rock HS
49,Trumane Bell II,LB,FR,6-1,245,"Dallas, TX",Lake Highlands HS
46,Ronnie Benavidez,S,SR,5-10,200,"Edinburg, TX",Vela HS/Presentation College
37,Myles Benning,FB,JR,5-11,190,"The Colony, TX",The Colony HS/Navy
24,Deven Boston,RB,SR,5-11,235,"Buena Vista, CA",Buena Vista HS/Azusa Pacific/Santa Ana CC
22,Brenden Brady,RB,FR,5-11,200,"Cibolo, TX",Steele HS
74,Spencer Burford,OL,FR,6-4,310,"San Antonio, TX",Wagner HS
46,Logan Burke,P,FR,6-0,200,"Katy, TX",Cinco Ranch HS/Stephen F. Austin
10,Greg Campbell Jr.,WR,SR,6-1,185,"Humble, TX",Atascocita HS
53,Caleb Cantrell,DS,SO,5-11,220,"Hurst, TX",Birdville HS/Wyoming
72,Anastacio Carino,OT,SR,6-7,325,"Frederiksted, VA",Ennis HS [Texas]/Navarro
91,Jarrod Carter-McLin,DE,JR,6-2,255,"Carthage, TX",Carthage HS
68,Ke'Chawn Compton,OL,FR,6-3,250,"Beaumont, TX",Central HS
33,B.J. Daniels,RB,SO,6-2,215,"Melbourne, FL",Palm Bay HS
98,Lorenzo Dantzler,DE,SO,6-2,245,"Starkville, MS",Starkville HS/East Mississippi CC
61,Kevin Davis,C,FR,6-3,310,"Angleton, TX",Angleton HS
52,Zachary Didomenico,LB,FR,6-0,225,"Schertz, TX",Clemens HS
23,Jaylon Dukes,RB,SO,5-6,165,"San Antonio, TX",Brandeis HS
64,Josh Dunlop,OT,JR,6-7,305,"Zionsville, IN",Zionsville Community HS/Dodge City [Kan.] CC
48,Hunter Duplessis,PK,SO,5-9,205,"San Antonio, TX",Cole HS
30,Stanley Dye Jr.,CB,SR,5-10,185,"Orange Park, FL",Ridgeview HS
8,Alin Edouard,S,SO,6-2,200,"Hialeah, FL",Hialeah HS/Independence [Kan.] CC
97,Robert Fuentes,DE,FR,6-4,240,"San Antonio, TX",Southwest HS
70,Jalyn Galmore,OL,JR,6-5,305,"Batesville, MS",South Panola HS/Itawamba [Miss.] CC
13,Brandon Garza,QB,JR,5-10,200,"Harlingen, TX",Harlingen HS/Houston
