No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
72,Trey Adams,OL,SR,6-8,316,"Wenatchee, WA",Wenatchee
26,Salvon Ahmed,TB,SO,5-11,195,"Kirkland, WA",Juanita
68,M.J. Ale,OL,FR,6-5,362,"Tacoma, WA",Fife
5,Andre Baccellia,WR,JR,5-10,173,"Thousand Oaks, CA",Westlake
66,Henry Bainivalu,OL,FR,6-5,321,"Sammamish, WA",Skyline
17,Tevis Bartlett,LB,SR,6-3,233,"Cheyenne, WY",East
15,DJ Beavers,LB,JR,6-1,219,"Culver City, CA",Crespi Carmelite
47,Ian Biddle,WR,SR,6-0,183,"Woodinville, WA",Woodinville
55,Ryan Bowman,OLB,SO,6-0,263,"Bellevue, WA",IMG Academy (Fla.)
96,Shane Bowman,DL,SR,6-4,291,"Bellevue, WA",Bellevue
36,Malik Braxton,TB,JR,5-10,197,"Lynnwood, WA",Meadowdale
90,Josiah Bronson,DL,JR,6-3,280,"Kent, WA",Kentwood
38,Zechariah Brown,DB,FR,5-10,184,"Seattle, WA",Cleveland
3,Jake Browning,QB,SR,6-2,210,"Folsom, CA",Folsom
1,Hunter Bryant,TE,SO,6-2,224,"Issaquah, WA",Eastside Catholic
5,Myles Bryant,DB,JR,5-8,182,"Pasadena, CA",Loyola
77,Devin Burleson,OL,JR,6-8,333,"Palmdale, CA",Highland
25,Ben Burr-Kirven,LB,SR,6-0,221,"Menlo Park, CA",Sacred Heart Prep
36,Dustin Bush,DB,JR,5-9,178,"San Diego, CA",Mira Mesa
93,Jarryn Bush,DL,FR,6-1,252,"Lacey, WA",Timberline
59,Draco Bynum,DL,FR,6-3,257,"Wilsonville, OR",Wilsonville
28,Terrell Bynum,WR,FR,6-1,194,"Long Beach, CA",St. John Bosco
49,A.J. Carty,LS,JR,6-2,239,"Santa Ana, CA",Servite
82,Jordan Chin,WR,SO,6-0,171,"San Fernando, CA",Chaminade Prep
57,John Clark,DL,JR,6-4,275,"Marysville, WA",Marysville Getchell
15,Alex Cook,WR,FR,6-1,193,"Sacramento, CA",Sheldon
83,Devin Culp,TE,FR,6-3,232,"Spokane, WA",Gonzaga Prep
79,Victor Curne,OL,FR,6-3,319,"Houston, TX",Second Baptist
10,Jacob Eason,QB,JR,6-6,227,"Lake Stevens, WA",Lake Stevens
2,Aaron Fuller,WR,JR,5-11,186,"McKinney, TX",Lovejoy
99,Greg Gaines,DL,SR,6-2,316,"La Habra, CA",La Habra
89,John Gardner,WR,SR,6-3,193,"Woodinville, WA",Inglemoor
9,Myles Gaskin,TB,SR,5-10,193,"Lynnwood, WA",O'Dea
18,Isaiah Gilchrist,DB,SO,5-11,202,"Bellevue, WA",Bellevue
19,Kyler Gordon,DB,FR,6-0,189,"Mukilteo, WA",Archbishop Murphy
13,Jake Haener,QB,FR,6-0,196,"Danville, CA",Monte Vista
21,Dominique Hampton,DB,FR,6-2,200,"Glendale, AZ",Centenniel
56,Nick Harris,OL,JR,6-1,300,"Inglewood, CA",JSerra Catholic
73,Gage Harty,OL,FR,6-3,265,"Spokane Valley, WA",University
62,Noah Hellyer,OL,FR,6-1,260,"Vancouver, WA",Skyview
47,Peyton Henry,PK,FR,5-11,195,"Danville, CA",Monte Vista
70,Jared Hilbers,OL,JR,6-7,313,"Beaverton, OR",Beaverton
35,Ben Hines,LB,FR,5-10,228,"Snohomish, WA",Archbishop Murphy
29,Julius Irvin,DB,FR,6-1,183,"Anaheim, CA",Servite
71,Matt James,OL,SR,6-5,300,"Coeur d'Alene, ID",Coeur d'Alene
92,Jaylen Johnson,DL,SR,6-3,286,"Corona, CA",Centennial
20,Ty Jones,WR,SO,6-4,209,"Provo, UT",Provo
4,Austin Joyner,DB,JR,5-11,200,"Marysville, WA",Marysville-Pilchuck
51,Jaxson Kirkland,OL,FR,6-7,315,"Portland, OR",Jesuit
86,Jacob Kizer,TE,SO,6-4,264,"Salem, OR",West Salem
64,A.J. Kneip,OL,SO,6-2,295,"Belleuve, WA",Bellevue
78,Luke Lane,LS,SO,6-0,207,"Belleuve, WA",Bellevue
91,Tuli Letuligasenoa,DL,FR,6-1,336,"Concord, CA",De La Salle
12,Trey Lowe,WR,FR,5-8,184,"Portland, OR",Jesuit
30,Kyler Manu,LB,JR,6-1,238,"Pocatello, ID",Highland
6,Chico McClatcher,WR,JR,5-8,181,"Federal Way, WA",Federal Way
58,Kaleb McGary,OL,SR,6-8,324,"Fife, WA",Fife
25,Sean McGrew,TB,SO,5-7,174,"Torrance, CA",St. John Bosco
14,JoJo McIntosh,DB,SR,6-1,205,"Canyon Country, CA",Chaminade Prep
11,Brandon McKinney,DB,SO,6-0,201,"Orange, CA",Orange Lutheran
78,Matteo Mele,OL,FR,6-5,286,"Tucson, AZ",Salpointe Catholic
23,Jordan Miller,DB,SR,6-1,181,"Oceanside, CA",Oceanside
3,Elijah Molden,DB,SO,5-11,190,"West Linn, OR",West Linn
1,Byron Murphy,DB,SO,5-11,182,"Scottsdale, AZ",Saguaro
98,Mosiah Nasili-Liu,DL,FR,6-1,291,"Puyallup, WA",Emerald Ridge
84,Michael Neal,TE,JR,6-4,245,"Fontana, CA",Etiwanda
22,Richard Newton,TB,FR,6-0,195,"Lancaster, CA",Palmdale
52,Ariel Ngata,OLB,FR,6-2,217,"Reno, NV",Folsom
63,Cole Norgaard,OL,FR,6-4,300,"Clements, CA",St. Mary's
95,Levi Onwuzurike,DL,SO,6-3,282,"Allen, TX",Allen
18,Austin Osborne,WR,FR,6-2,194,"Rancho Santa Margarita, CA",Mission Viejo
87,Cade Otton,TE,FR,6-5,249,"Tumwater, WA",Tumwater
35,Jamyn Patu,TB,FR,5-11,203,"Seattle, WA",O'Dea
24,Kamari Pleasant,TB,SO,6-0,204,"Rialto, CA",Etiwanda
69,Will Pliska,OL,FR,6-4,288,"Kirkland, WA",Lake Washington
46,Race Porter,P,SO,6-2,185,"Seattle, WA",O'Dea
8,Benning Potoa'e,OLB,JR,6-3,277,"DuPont, WA",Lakes
21,Quinten Pounds,WR,JR,6-0,180,"Cypress, CA",Cypress
54,Matt Preston,LB,SR,6-2,218,"Corona, CA",Diamond Ranch
30,David Pritchard,WR,FR,6-0,165,"Renton, WA",Eastside Catholic
56,Jared Pulu,DL,JR,6-4,281,"Federal Way, WA",Federal Way
7,Taylor Rapp,DB,JR,6-0,200,"Bellingham, WA",Sehome
29,Josh Rasmussen,WR,JR,5-11,184,"Lake Stevens, WA",Lake Stevens
41,Myles Rice,OLB,SO,6-3,243,"Houston, TX",Bush
80,Max Richmond,WR,SR,5-10,178,"Bellevue, WA",Bellevue
59,Henry Roberts,OL,JR,6-6,303,"Bellevue, WA",Bellevue
88,Drew Sample,TE,SR,6-5,251,"Bellevue, WA",Newport
28,Angelo Sarchi,DB,FR,5-10,197,"Vancouver, WA",Skyview
97,Jason Scrempos,DL,JR,6-6,292,"Milpitas, CA",Milpitas
43,Jackson Sirmon,LB,FR,6-2,229,"Brentwood, TN",Brentwood Academy
11,Jacob Sirmon,QB,FR,6-5,221,"Bothell, WA",Bothell
67,Chase Skuza,OL,FR,6-6,306,"Sumner, WA",Sumner
42,Van Soderberg,PK,SO,6-0,195,"Olympia, WA",Capital
75,Jesse Sosebee,OL,SR,6-5,327,"Garden Grove, CA",Edison
8,Marquis Spiker,WR,FR,6-3,191,"Wildomar, CA",Murrieta Valley
85,Fatu Sua-Godinet,WR,JR,6-0,186,"Honolulu, HI",Kamehameha
50,MJ Tafisi,LB,FR,6-0,221,"West Jordan, UT",Sandy
94,Sam Taimani,DL,FR,6-1,318,"Salt Lake City, UT",East
27,Keith Taylor,DB,SO,6-2,200,"Long Beach, CA",Servite
9,Joe Tryon,OLB,FR,6-5,267,"Renton, WA",Hazen
58,Zion Tupuola-Fetui,LB,FR,6-3,253,"Pearl City, HI",Pearl City
48,Edefuan Ulofoshio,LB,FR,6-0,226,"Anchorage, AK",-
81,Sebastian Valerio,PK,JR,5-10,178,"Irvine, CA",Beckman
39,Sean Vergara,DB,SR,6-2,182,"Selah, WA",Selah
53,Jake Wambaugh,LB,SR,6-2,224,"San Diego, CA",Point Loma
45,Jusstis Warren,TE,JR,6-2,249,"Tacoma, WA",Lincoln
76,Luke Wattenberg,OL,SO,6-5,307,"Trabuco Canyon, CA",JSerra Catholic
13,Brandon Wellington,LB,JR,6-0,222,"Kent, WA",Eastside Catholic
37,Jack Westover,TE,FR,6-2,229,"Bellevue, WA",Mount Si
32,Joel Whitford,P,JR,6-3,212,"Neerim South, Australia",Warragul
16,Amandre Williams,OLB,SO,6-2,241,"Maple Valley, WA",Tahoma
