No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
90,Ken Aguirre,DL,SO,6-1,290,"Joilet, IL",Joilet Catholic Academy
45,Sean Akins,LB,FR,6-0,205,"St. Joseph, MI",St. Joseph
23,Trae Allen,RB,FR,5-9,195,"Pontiac, MI",Groves
17,Griffin Alstott,QB,FR,6-2,205,"St. Petersburg, FL",Northside Christian/Purdue
26,K.J. Anderson,DB,FR,6-0,180,"Buford, GA",Buford
15,Kwaku Appiah,CB,FR,5-11,170,"Frankfort, IL",Lincoln Way East
8,Tyron Arnett,WR,SO,6-1,185,"Belle Glade, FL",Pahokee
51,Jordan Asbury,OL,SO,6-3,285,"Warren, MI",De La Salle
33,Eric Assoua,DL,SR,6-2,240,"Silver Spring, MD",St. John's
58,Antonio Balabani,DL,JR,6-3,230,"Macomb, MI",Dakota
17,Zaire Barnes,DB,FR,6-3,205,"Mundelein, IL",Carmel Catholic
2,LeVante Bellamy,RB,JR,5-9,185,"Indianapolis, IN",Pike
32,Jamauri Bogan,RB,SR,5-7,190,"Union, NJ",Union
89,Brett Borske,TE,SO,6-6,255,"Naperville, IL",Neuqua Valley
96,Bryce Bouwens,LS,FR,5-11,215,"Grandville, MI",Grandville
97,Cameron Braaten,P,FR,6-1,200,"Littleton, CO",ThunderRidge
10,Hunter Broersma,WR,SO,6-1,190,"Mona Shores, MI",Mona Shores
60,Mark Brooks,OL,SO,6-6,300,"Portland, MI",Portland
28,Chase Brown,RB,FR,5-11,195,"Bradenton, FL",St. Stephen’s Episcopal School
88,Wade Buckman,TE,SO,6-6,235,"Holland, MI",Holland/Purdue
99,Ronnie Buford,DL,FR,6-4,205,"Chelsea, MI",Chelsea
81,DaShon Bussell,WR,FR,6-2,175,"Knoxville, TN",Knoxville Catholic
61,Mike Caliendo,OL,SO,6-4,300,"Brookfield, WI",Brookfield East
65,Trevor Campbell,OL,FR,6-5,295,"Naperville, IL",Naperville Central
30,Kmare Carey,DB,FR,6-1,175,"Belleville, MI",Belleville
5,Andre Carter,DL,FR,6-4,255,"Detroit, MI",Cass Tech
8,Dwayne Chapman II,LB,FR,6-1,225,"West Bloomfield, MI",St. Mary's Prep
21,Stefan Claiborne,DB,JR,6-2,190,"Clinton Twp., MI",Chippewa Valley
-,Steven Clark,-,SR,-,-,"Arab, AL",Brindlee Mountain/Syracuse
7,Najee Clayton,LB,JR,6-2,220,"Paterson, NJ",Paramus Catholic/Rutgers
86,Cam Cooper,WR,SO,5-10,180,"Chelsea, MI",Chelsea/Butler
14,Calin Crawford,DB,SO,5-11,195,"Canton, MI",Salem
3,Anton Curtis,DB,JR,6-0,190,"Grosse Pointe, MI",East English Village Prep
82,Jaret Curtis,WR,SO,5-11,185,"Green Bay, WI",Ashwaubenon
72,Dylan Deatherage,OL,FR,6-4,290,"Kankakee, IL",Bishop Mcnamara
63,Kevin Doster,OL,FR,6-3,255,"Troy, MI",Brother Rice
50,Jonathan Douglas,LB,FR,6-1,220,"Troy, MI",Brother Rice
11,Juwan Dowels,DB,SR,5-10,180,"Sunrise, FL",American Heritage/Syracuse
67,Curtis Doyle,OL,SR,6-5,305,"Alma, MI",Alma
5,Leo Ekwoge,RB,SR,5-11,210,"Olney, MD",Good Counsel
73,Mohamed Elazazy,OL,FR,6-5,310,"Menasha, WI",Menasha
9,Kaleb Eleby,QB,FR,6-1,205,"Maryland Heights, MO",Pattonville
7,D'Wayne Eskridge,WR,JR,5-9,185,"Bluffton, IN",Bluffton
57,Ali Fayad,DL,SO,6-2,240,"Dearborn, MI",Dearborn
91,Ken Finley,DL,SR,6-2,285,"Muskegon, MI",Muskegon
55,Braden Fiske,DL,FR,6-3,240,"Michigan City, IN",Michigan City
36,DeShawn Foster,DL,JR,5-11,260,"Detroit, MI",Mumford
31,Austin France,LB,FR,6-3,220,"Fort Wayne, IN",Snider
66,Wesley French,DL,JR,6-5,295,"Benton Harbor, MI",St. Joseph High School
9,Davontae Ginwright,DB,JR,6-2,200,"Southfield, MI",Southfield
34,Alex Grace,LB,JR,6-1,220,"Saginaw, MI",Swan Valley
37,Josh Grant,K,SO,6-0,185,"Flower Mound, TX",Flower Mound
98,Kailien Guillory,DL,SO,6-5,280,"Indianapolis, IN",Ben Davis
11,Jaylen Hall,WR,FR,6-4,170,"Macomb, MI",Dakota
6,Drake Harris,WR,SR,6-4,190,"Grand Rapids, MI",Grand Rapids Christian/Michigan
23,Treshaun Hayward,LB,SO,6-1,220,"Ypsilanti, MI",Skyline
40,Mitch Heimbuch,TE,SO,6-3,245,"Romeo, MI",Romeo
24,Brandon Hinds,WR,FR,6-0,175,"Lansing, MI",Lansing Catholic
53,Ralph Holley,DL,SO,6-2,275,"West Bloomfield, MI",St. Mary's Prep
25,Derrick Hubbard,DL,FR,6-2,215,"Ann Arbor, MI",Pioneer
18,Ginial Isma,DB,FR,6-0,170,"Fort Lauderdale, FL",Stranahan
12,Emanuel Jackson,DB,SO,5-11,185,"Novi, MI",Novi
24,Obbie Jackson,DB,JR,5-10,160,"West Bloomfield, MI",West Bloomfield
59,Luke Juriga,OL,JR,6-4,295,"Aurora, IL",Marmion Academy
70,Spencer Kanz,OL,SO,6-6,295,"Luxemburg, WI",Luxemburg-Casco
52,John Keenoy,OL,SR,6-3,300,"Kentwood, MI",East Kentwood
62,Alex Keys,OL,JR,6-1,285,"Highlands Ranch, CO",Highlands Ranch
43,Jackson Knipper,TE,FR,6-2,245,"Beavercreek, OH",Beavercreek
80,Ryan Lezzer,WR,FR,5-11,185,"Clearfield, PA",Clearfield
19,Keni-H Lovely,DB,FR,5-11,165,"Boynton Beach, FL",Atlantic
4,Patrick Lupro,DB,FR,5-10,185,"Belleville, MI",Belleville
94,Tanner Mathias,DE,FR,6-4,255,"Menominee, MI",Menominee
93,Will McCabe,DL,FR,6-3,280,"Palatine, IL",William Fremd
42,Roy McCree,LB,FR,6-2,220,"Detroit, MI",Detroit Country Day
39,Nick Mihalic,P,FR,5-11,170,"Skokie, IL",Niles North
48,Joseph Miller,LB,SO,5-11,220,"Gaylord, MI",Gaylord
38,Odell Miller,TE,SR,6-3,270,"Kalamazoo, MI",Gull Lake
35,Jake Moertl,DB,FR,6-0,180,"Palatine, IL",Palatine
56,Corvin Moment,LB,FR,6-1,245,"Vero Beach, FL",Vero Beach
76,Jaylon Moore,OL,SO,6-5,305,"Detroit, MI",Consortium College Prep
41,Tanner Motz,LB,FR,6-2,230,"St. John's, MI",St. John's
1,Alex Mussat,QB,JR,6-2,205,"Troy, MI",Athens/Illinois
75,Zach Novoselsky,OL,SR,6-5,295,"Lincolnshire, IL",Adlai E. Stevenson
64,Tom O'Mara,OL,FR,6-3,275,"Chicago, IL",Marist
12,Lee Payton,TE,FR,6-2,220,"River Rouge, MI",River Rouge
47,Gavin Peddie,K,FR,6-0,175,"Grandville, MI",Grandville
14,Wyatt Rector,QB,FR,6-3,225,"Leesburg, FL",Leesburg
87,Jayden Reed,WR,FR,6-0,170,"Aurora, IL",Naperville Central
15,Giovanni Ricci,TE,JR,6-3,220,"Loveland, OH",Loveland
4,Chris Riddle,QB,FR,6-3,205,"Jacksonville, FL",University Christian
83,Luke Sanders,WR,SO,6-4,200,"Fishers, IN",Cathedral
27,Ryan Selig,LB,FR,6-3,210,"Lake Villa, IL",Lakes Community
78,Hunter Shulfer,OL,FR,6-5,255,"Stevens Point, WI",Stevens Point Area/UW-Stevens Point
46,Brendan Siwajek,DL,FR,6-2,270,"Macomb, MI",Dakota
20,Drake Spears,LB,JR,6-1,220,"Aurora, IL",West Aurora
