No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
69,Eric Abojei,OT,FR,6-5,351,"New Hope, MN",Robbinsdale Cooper
57,Patrick Arnold,OL,FR,6-3,296,"Omaha, NE",Gretna
74,Blayne Baker,OL,FR,6-5,260,"Sheridan, WY",Sheridan HS
20,Jevon Bigelow,RB,FR,6-2,215,"Fresno, CA",Central HS
18,Keyon Blakenbaker,CB,FR,5-10,175,"Oak Park, IL",Oak Park-River Forest
31,Dauson Booker,DB,FR,6-0,190,"Modesto, CA",Central Catholic HS
76,Justis Borton,OL,SO,6-2,272,"Wheatland, WY",Wheatland
2B,Brett Brenton,-,-,-,-,-,-
95,De'Vaughn Brown,DE,FR,6-3,200,"Antioch, CA",Ygnacia Valley HS
34,Jeff Burroughs,FB,SO,6-1,241,"Yoder, WY",Southeast
92,Solomon Byrd,DE,FR,6-4,220,"Palmdale, CA",William J.P. Knight HS
87,Conner Cain,DT,SR,6-4,270,"Littleton, CO",Heritage
37,Josh Calvert,LB,SO,6-0,264,"Wheatland, WY",Wheatland
12,Sean Chambers,QB,FR,6-3,215,"Kerman, CA",Kerman HS
21,C.J. Coldon,CB,FR,6-1,183,"Belleville, IL",Althoff Catholic
25,Austin Conway,WR,JR,5-10,183,"Aurora, CO",Overland HS
26,Avante' Cox,WR,SO,5-11,171,"Rochester, IL",Rochester
88,Garrett Crall,DE,SO,6-5,242,"Hicksville, OH",Hicksville HS
8,Dontae Crow,WR,SO,5-9,178,"Sheridan, WY",Sheridan HS
75,Frank Crum,OL,FR,6-7,260,"Laramie, WY",Laramie HS
73,Keegan Cryder,OT,FR,6-4,283,"Littleton, CO",Dakota Ridge
63,Jason Davis,OL,FR,6-3,342,"Hershey, NE",Hershey
28,Theo Dawson,RB,FR,6-0,220,"Jackson, WY",Jackson Hole
40,Taylor Dodd,S,SO,6-2,197,"Laramie, WY",Laramie
88,Camron Donatlan,WR,FR,6-2,195,"Aurora, IL",West Aurora HS
90,Gavin Dunayski,DT,FR,6-6,249,"Puyallup, WA",Puyallup
19,Ayden Eberhardt,WR,SO,6-2,195,"Loveland, CO",Loveland HS
12,Ja'Lani Ellison,DB,FR,6-0,171,"Reseda, CA",Reseda HS
6,Marcus Epps,FS,SR,6-0,197,"Los Angeles, CA",Edison
22,Nico Evans,RB,SR,5-9,211,"Los Angeles, CA",Loyola
81,Austin Fort,TE,SR,6-4,244,"Gillette, WY",Campbell County
41,Ryan Galovich,K,JR,6-0,192,"Corvallis, OR",Crescent Valley
5,Esaias Gandy,S,SO,6-1,193,"Aurora, CO",Denver South
50,Ryan Gatoloai-Faupula,LB,SO,6-1,216,"Sacramento, CA",Inderkum
16,Gunner Gentry,WR,FR,6-3,208,"Aurora, CO",Grandview HS
93,Youhanna Ghaifan,DT,JR,6-4,282,"Grand Island, NE",Central Catholic
94,Cole Godbout,DT,FR,6-4,250,"Hudson, WI",Hudson HS
91,Carl Granderson,DE,SR,6-5,261,"Sacramento, CA",Grant
53,Josiah Hall,DE,JR,6-1,251,"Colorado Springs, CO",Falcon
9,Tyler Hall,LB,JR,5-10,190,"Hawthorne, CA",Junipero Serra
3,Alijah Halliburton,S,JR,6-2,190,"Aurora, CO",Overland
