No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
22,Raykwon Anderson,RB,FR,5-9,180,"Folkston, GA",-
53,Jake Appling,LS,JR,6-3,275,"Shelby, NC",-
15,David Baldwin-Griffin,QB,FR,6-4,230,"Compton, CA",-
51,Tyler Bird,ILB,SO,6-2,220,"Acworth, GA",-
95,George Blackstock,DL,SO,6-1,260,"Eden, NC",-
65,Gage Blackston,OL,SO,6-4,275,"Savannah, GA",-
28,KeSean Brown,OLB,FR,6-2,210,"Bamberg, SC",-
15,Tre Caldwell,DB,FR,5-10,185,"Greensboro, NC",-
16,Ryker Casey,K,FR,6-0,200,"New Smyrna Beach, FL",-
50,Joey Cave,OL,SR,6-4,300,"Knoxville, TN",Tennessee
96,Markell Clark,DL,JR,6-0,275,"Dacula, GA",-
27,Nakendrick Clark,RB,JR,5-9,195,"Statesville, NC",Louisburg College
45,Trey Cobb,ILB,SO,6-2,220,"Waycross, GA",-
20,Noel Cook,OLB,SR,6-0,215,"Reidsville, NC",-
58,Grant Daley,ILB,FR,6-2,210,"Wilmington, NC",-
17,Dashaun Davis,WR,FR,5-9,160,"Deerfield Beach, FL",-
24,Akeem Davis-Gaither,OLB,SR,6-2,215,"Thomasville, NC",-
91,Tommy Dawkins,DL,JR,6-2,240,"Concord, NC",-
25,Kaleb Dawson,DB,FR,5-11,190,"Moultrie, GA",-
57,Elijah Diarrassouba,DL,JR,6-1,255,"Greensboro, NC",-
40,Logan Doublin,ILB,SO,6-0,220,"Clearwater, FL",-
72,Larry Dowdy,OL,FR,6-4,265,"Belmont, NC",-
99,Jordon Earle,DL,FR,6-2,295,"West Palm Beach, FL",-
2,Willie Edwards,DB,SR,6-1,190,"Wichita, KS",Illinois State
89,Chase Eighmy,WR,FR,6-2,205,"Waxhaw, NC",Charleston Southern
37,Tanner Ellenberger,OLB,SO,6-3,225,"Brevard, NC",-
3,Darrynton Evans,RB,JR,5-11,200,"Oak Hill, FL",-
18,Mike Evans,TE,JR,6-3,240,"Jacksonville, NC",Lenoir-Rhyne
59,Jordan Fehr,ILB,SR,6-3,230,"Charlotte, NC",-
