No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
2,Brandon Aiyuk,WR,SR,6-1,206,"Reno, NV",McQueen/Sierra College
75,Alijah Bates,DL,FR,6-8,275,"Colorado Springs, CO",Doherty
50,Jarrett Bell,OL,FR,6-5,299,"Norco, CA",Norco
3,Eno Benjamin,RB,JR,5-10,210,"Wylie, TX",Wylie East
16,Trenton Bourguet,QB,FR,5-11,171,"Marana, AZ",Marana
60,Kyle Breed,OL,SO,6-7,288,"Tucson, AZ",Ironwood Ridge
81,Jared Bubak,TE,JR,6-5,242,"Lincoln, NE",Lincoln Christian
37,Darien Butler,LB,SO,5-11,242,"Harbor City, CA",Narbonne
73,Cohl Cabral,OL,SR,6-5,304,"Rancho Cucamonga, CA",Los Osos
46,Oliver Carras,LB,FR,6-3,210,"Scottsdale, AZ",Chaparral
25,A.J. Carter,RB,FR,6-0,218,"Many, LA",Many
1,Jordan Clark,DB,FR,5-10,170,"Baton Rouge, LA",University Lab
96,Anthonie Cooper,DL,FR,6-2,280,"Goodyear, AZ",Millennium
22,Darien Cornay,DB,SR,5-11,188,"Los Alamitos, CA",Los Alamitos/Cerritos College
72,Cade Cote,OL,SR,6-3,290,"Gilbert, AZ",Williams Field
16,Aashari Crosswell,S,SO,6-0,196,"Long Beach, CA",Long Beach Poly
5,Jayden Daniels,QB,FR,6-3,175,"San Bernardino, CA",Cajon
84,Frank Darby,WR,JR,6-1,200,"Jersey City, NJ",Lincoln
98,D.J. Davidson,DL,SO,6-4,313,"Mesa, AZ",Desert Ridge
26,Keith Davis,WR,FR,6-1,187,"San Diego, CA",Scripps Ranch
6,Timarcus Davis,DB,SO,6-0,177,"College, TX",College Station/Baylor
78,Roman DeWys,OL,FR,6-5,299,"Chandler, AZ",Basha
35,Jacob Desmarais,DB,FR,5-10,169,"San Antonio, TX",Johnson
93,Erik Dickerson,LS,JR,6-1,224,"Scottsdale, AZ",Chaparral/Scottsdale CC
29,Ely Doyle,LB,FR,6-0,200,"Mission Hills, CA",Bishop Alemany
4,Evan Fields,DB,JR,6-0,193,"Oklahoma City, OK",Midwest City
9,Demetrious Flowers,RB,FR,6-0,201,"Bellflower, CA",St. John Bosco
31,Isaiah Floyd,RB,JR,5-7,176,"Pleasanton, CA",Foothill/City College of San Francisco
97,Shannon Forman,DL,JR,6-2,293,"Baton Rouge, LA",Southern Lab
79,Ralph Frias,OL,FR,6-6,320,"Safford, AZ",Safford
36,Alijah Gammage,DB,FR,5-11,179,"Phoenix, AZ",Desert Vista
48,Vincenzo Granatelli,DB,JR,6-4,184,"Moorpark, CA",Oak Park/Southern Nazarene
89,Josh Hart,WR,FR,6-0,191,"Tucson, AZ",Salpointe
3,Willie Harts,DB,FR,6-0,162,"Pittsburg, CA",Pittsburg Senior
54,Case Hatch,LB,FR,6-1,226,"Gilbert, AZ",Perry
63,Roy Hemsley,OL,SR,6-6,325,"Los Angeles, CA",Winward/USC
77,LaDarius Henderson,OL,FR,6-4,285,"Waxahachie, TX",Waxahachie
86,Curtis Hodges,WR,JR,6-8,237,"Mesa, AZ",Mountain View
87,Tommy Hudson,TE,SR,6-5,255,"San Jose, CA",Archbishop Mitty
94,Parker Jacobs,DL,FR,6-4,252,"Chandler, AZ",Basha
10,K.J. Jarrell,DB,SO,6-2,186,"Scottsdale, AZ",Saguaro
99,Amiri Johnson,DL,FR,6-6,225,"Pomona, CA",Diamond Ranch
82,Andre Johnson,WR,FR,6-3,190,"Tolleson, AZ",Tolleson Union
36,Demarcus Johnson,RB,FR,5-10,190,"Redondo Beach, CA",Redondo Union
39,Nick Johnson,RB,FR,5-9,160,"Claremont, CA",The Webb School
41,Tyler Johnson,DL,SO,6-5,258,"Gilbert, AZ",Highland
21,Jack Jones,DB,JR,5-11,170,"Long Beach, CA",Long Beach Poly/USC
52,Jacob Jornadal,LB,FR,5-11,190,"Bellflower, CA",St. John Bosco
30,Elijah Juarez,LB,FR,6-4,240,"Long Beach, CA",Long Beach Poly
