No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
3,Chaz Ah You,LB,SO,6-2,206,"Saratoga Springs, UT",Westlake High School
25,Tyler Allgeier,LB,FR,5-11,220,"Fontana, CA",Kaiser High School
23,Zayne Anderson,LB,SR,6-2,222,"Stansbury Park, UT",Stansbury Park High School
24,Luc Andrada,WR,FR,5-10,175,"Pueblo, CO",Pueblo East High School
65,Ethan Atagi,OL,FR,6-5,320,"Ogden, UT",Bonneville High School
50,Sam Baldwin,LB,SR,6-3,205,"Rexburg, ID",Madison High School
56,Clark Barrington,OL,FR,6-6,302,"Spokane, WA",University High School
-,Chapman Beaird,DB,FR,6-3,200,"Franklin, TN",Franklin High School
-,Jacob Boren,WR,FR,5-9,180,"Salt Lake City, UT",Highland High School
10,Javelle Brown,DB,FR,6-1,182,"San Diego, CA",Mira Mesa High School
89,Matt Bushman,TE,JR,6-5,245,"Tucson, AZ",Sabino High School
47,Ben Bywater,LB,FR,6-3,215,"Salt Lake City, UT",Olympus High School
97,Austin Chambers,DL,JR,6-5,301,"Shawnee Mission, KS",Shawnee Mission West High School
67,Brady Christensen,OL,SO,6-6,295,"Bountiful, UT",Bountiful High School
85,Brayden Cosper,WR,FR,6-3,205,"South Jordan, UT",Bingham High School
17,Matthew Criddle,LB,SO,6-1,205,"Highland, UT",Snow College
10,Joe Critchlow,QB,SO,6-4,220,"Franklin, TN",Franklin High School
99,Zac Dawe,DL,JR,6-4,270,"Pleasant Grove, UT",Pleasant Grove High School
93,Bracken El-Bakri,DL,JR,6-3,290,"Cottonwood Heights, UT",Brighton High School
30,Keenan Ellis,DB,SO,6-0,175,"San Diego, CA",Bonita Vista High School
66,James Empey,OL,SO,6-4,300,"American Fork, UT",American Fork High School
33,Emmanuel Esukpa,RB,SR,5-11,225,"Grand Prairie, TX",Rice University
55,Lorenzo Fauatea,DL,SO,6-4,300,"West Valley, UT",Hunter High School
44,Seleti Fevaleaki,DL,FR,6-3,251,"Corona, CA",Centennial High School
35,Sione Finau,RB,FR,5-11,185,"Kearns, UT",Kearns High School
34,Kavika Fonua,LB,JR,6-0,210,"Syracuse, UT",Syracuse High School
71,Blake Freeland,OL,FR,6-8,285,"Herriman, UT",Herriman High School
48,Solofa Funa,LB,FR,6-2,245,"Spanish Fork, UT",Spanish Fork High School
34,Tavita Gagnier,DB,FR,6-2,192,"Tooele, UT",Stansbury High School
22,Dimitri Gallow,DB,JR,6-0,190,"Moreno Valley, CA",Mt. San Jacinto College
75,JT Gentry,OL,FR,6-5,287,"Littleton, CO",Columbine High School
5,Dayan Ghanwoloku,DB,SR,5-11,200,"Layton, UT",Northridge High School
42,Kyle Griffitts,TE,JR,6-3,236,"Windermere, FL",West Orange High School
82,Talmage Gunther,WR,FR,5-11,190,"Cedar Hills, UT",Lone Peak High School
3,Jaren Hall,QB,FR,6-1,205,"Spanish Fork, UT",Maple Mountain High School
22,Ammon Hannemann,DB,FR,6-1,200,"Highland, UT",Lone Peak High School
80,Koy Harris,WR,FR,6-1,175,"Henderson, NV",Coronado High School
98,Mitch Harris,DS,SR,6-4,219,"Gilbert, AZ",Perry High School
73,Caden Haws,OL,FR,6-2,300,"Little Rock, AR",Pulaski Academy
80,Nate Heaps,TE,SO,6-4,260,"American Fork, UT",American Fork High School
37,Kimball Henstrom,DB,FR,6-0,189,"Draper, UT",Alta High School
77,Chandon Herring,OL,JR,6-7,310,"Gilbert, AZ",Perry High School
11,Isaiah Herron,DB,FR,6-1,175,"Las Vegas, NV",Arbor View High School
15,Aleva Hifo,WR,SR,5-10,187,"Menifee, CA",Heritage High School
86,Keanu Hill,WR,FR,6-4,210,"Bedford, TX",Trinity High School
54,Britton Hogan,DS,FR,6-3,200,"Salt Lake City, UT",Olympus High School
69,Tristen Hoge,OL,JR,6-5,310,"Pocatello, ID",Notre Dame
84,Tevita Ika,WR,FR,5-8,186,"Provo, UT",Provo High School
46,Drew Jensen,LB,FR,6-2,215,"Salt Lake City, UT",Brighton High School
23,Batchlor Johnson IV,WR,SR,5-9,160,"Katy, TX",Utah
19,Danny Jones,P,JR,6-4,240,"Essendon, Australia",La Trobe University
24,Austin Kafentzis,DB,SR,6-1,200,"Sandy, UT",Arizona Western College
43,Jared Kapisi,DB,JR,6-0,195,"Pukalani, HI",Maui High School
4,Lopini Katoa,RB,SO,6-1,210,"American Fork, UT",American Fork High School
90,Devin Kaufusi,DL,SO,6-7,257,"Provo, UT",Timpview High School
53,Isaiah Kaufusi,LB,JR,6-2,215,"Cottonwood Heights, UT",Brighton High School
38,Jackson Kaufusi,LB,FR,6-2,226,"Cottonwood Heights, UT",Brighton High School
64,Brayden Keim,OL,FR,6-8,275,"Sandy, UT",Alta High School
76,Harris LaChance,OL,FR,6-8,310,"Herriman, UT",Herriman High School
17,Moroni Laulu-Pututau,TE,SR,6-5,240,"Hyrum, UT",Mountain Crest High School
2,Austin Lee,DB,SR,6-0,200,"Draper, UT",Salt Lake Community College
2,Dallin Lee,DB,FR,6-2,200,"Draper, UT",Corner Canyon High School
21,Sam Lee,LB,JR,6-0,220,"Escondido, CA",San Pasqual High School
58,Uriah Leiataua,DL,JR,6-4,262,"Compton, CA",Dominguez High School
94,Freddy Livai,DL,FR,6-3,260,"Fontana, CA",AB Miller High School
29,Hayden Livingston,DB,FR,6-1,200,"Rigby, ID",Rigby High School
74,Kieffer Longson,OL,JR,6-7,319,"San Ramon, CA",Dougherty Valley High School
62,Atunaisa Mahe,DL,FR,6-1,307,"West Jordan, UT",West Jordan High School
