No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
36,Will Adams,S,FR,6-0,195,"Cincinnati, OH",Mason
72,Jonathan Allen,OL,FR,6-5,345,"Dayton, OH",Dunbar
33,Blake Bacevich,DE,FR,6-4,235,"Cincinnati, OH",St. Xavier
40,DeMarco Baker,LB,FR,6-3,235,"Cincinnati, OH",Woodward
91,Alex Bales,K,FR,5-10,175,"Westfield, IN",Westfield
74,Blake Bammann,LS,FR,6-2,232,"Lexington, OH",Lexington
27,Darrian Beavers,LB,JR,6-3,235,"Cincinnati, OH",Colerain/UConn
45,Tinashe Bere,LB,SR,6-1,240,"Cincinnati, OH",Sycamore/Duke
34,Kyle Bolden,LB,SO,6-0,225,"Cincinnati, OH",Colerain
92,Curtis Brooks,DT,JR,6-2,295,"Danville, VA",George Washington
94,Chase Brown,DT,FR,6-1,233,"Cleveland, OH",NDCL
99,Marcus Brown,DT,JR,6-2,302,"Naples, FL",Lely
50,Jackson Bruscianelli,LB,FR,5-11,223,"Woodridge, IL",Montini Catholic
6,Ben Bryant,QB,FR,6-3,218,"La Grange, IL",Lyons Township
7,Coby Bryant,CB,JR,6-1,195,"Cleveland, OH",Glenville
39,Bryce Burton,K,FR,5-9,213,"Cincinnati, OH",Princeton
9,Arquon Bush,CB,FR,6-0,180,"Euclid, OH",Euclid
60,Zach Bycznski,OL,JR,6-4,308,"Berea, OH",Berea-Midpark
86,Jack Campbell,TE,FR,6-4,215,"Bellbrook, OH",Bellbrook
13,Trent Cloud,WR,SO,6-0,188,"Cleveland, OH",Bedford
20,Bryan Cook,S,JR,6-1,207,"Cincinnati, OH",Mount Healthy/Howard
74,Jeremy Cooper,OL,FR,6-4,322,"Chicago, IL",Mount Carmel
31,Sam Crosa,K,SR,5-7,168,"Columbus, OH",Dublin Scioto/Western Illinois
24,JJ Davis,RB,FR,5-8,175,"Cincinnati, OH",Colerain
83,Josiah Deguara,TE,SR,6-3,240,"Folsom, CA",Folsom
29,Jacob Dingle,S,FR,5-11,185,"Louisville, KY",Trinity
23,Gerrid Doaks,RB,JR,6-0,230,"Indianapolis, IN",Lawrence Central
41,Joel Dublanko,LB,JR,6-3,235,"Aberdeen, WA",IMG Academy
75,Chris Ferguson,OL,SR,6-5,315,"Nassau, Bahamas",Lake Nona
84,Wyatt Fischer,WR,FR,6-0,202,"Mount Orab, OH",Western Brown
5,Darrick Forrest,S,JR,6-0,200,"Columbus, OH",Walnut Ridge
12,Ahmad Gardner,CB,FR,6-2,185,"Detroit, MI",Martin Luther King
4,Thomas Geddis,WR,SR,6-2,185,"Pompano Beach, FL",Blanche Ely
85,Bray Ginyard,WR,FR,6-1,190,"Fayetteville, NC",Trinity Christian
58,Darius Harper,OL,JR,6-7,315,"Springfield, OH",Springfield/Miami (OH)
4,Justin Harris,CB,FR,6-0,185,"Huber Heights, OH",Wayne
7,Javan Hawes,WR,JR,6-0,196,"Atlanta, GA",Sandy Creek
37,Steven Hawthorne,DE,FR,6-4,227,"Chicago, IL",De La Salle Institute
54,Alex Heil,OL,SR,6-2,275,"Wickliffe, OH",Benedictine/Air Force
3,Ja'von Hicks,S,SO,6-2,200,"Cincinnati, OH",Colerain
17,Dorian Holloway,LB,FR,6-3,215,"Columbus, OH",Marion-Franklin
46,Grant Horvath,LB,FR,6-0,215,"Columbus, OH",Bishop Watterson
86,Angelo Howze,DE,SO,6-1,248,"Fishers, IN",Fishers
82,Wilson Huber,TE,SO,6-5,246,"Indianapolis, IN",Franklin Central
55,James Hudson,OL,SO,6-5,305,"Toledo, OH",Central Catholic/Michigan
55,Zach Hummel,DE,FR,6-2,275,"Hilliard, OH",Hilliard Bradley
30,Brody Ingle,LB,FR,6-0,222,"Cincinnati, OH",La Salle
25,Tyler Inloes,P,FR,5-10,218,"Lebanon, OH",Lebanon
2,Jayshon Jackson,WR,SO,5-10,175,"Chicago, IL",Simeon
78,Morgan James,OL,SR,6-5,325,"Highland, MI",Lakeland
14,Cam Jefferies,CB,SR,5-10,190,"Painesville, OH",Riverside/Bowling Green
89,Bryant Johnson II,WR,FR,6-3,188,"Vandalia, OH",Butler
18,Cam Jones,QB,FR,6-8,270,"Knott County, KY",Fredrick Douglass
97,Ryan Jones,K,SR,5-10,195,"Kissimmee, FL",New Castle
98,Mychal Keys,DE,FR,6-4,236,"Columbus, OH",Marion-Franklin
31,Casey Kirk,CB,SO,5-10,190,"Dublin, OH",Coffman
