No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
65,Jayden Addison,OL,FR,6-2,260,"Blythewood, SC",Blythewood HS
5,Josh Anderson,WR,SR,6-1,185,"Volo, IL",Wauconda HS
17,Myles Baker,CB,FR,5-10,155,"Huntersville, NC",Hough HS
20,Nyronn Barr-Thomas,LB,FR,6-3,205,"Deltona, FL",Evans HS
16,Aaron Bedgood,WR,FR,5-8,170,"Richmond Hill, GA",Richmond Hill HS
79,Steven Bedosky,OL,JR,6-2,285,"Douglasville, GA",Landmark Christian HS
11,Shadell Bell,TE,SR,6-1,230,"Decatur, GA",Columbia HS/Clemson
29,Massimo Biscardi,PK,SO,5-11,200,"Downingtown, PA",Downingtown West HS
48,Davon Bomar,DE,FR,6-3,250,"Havre De Grace, MD",Bel Air HS
52,C.J. Brewer,DT,JR,6-2,280,"Bowdon, GA",Bowdon HS
42,Jake Broom,LB,FR,6-2,230,"Decatur, GA",Decatur HS/Air Force Academy Prep School
54,Jachai Buie,DL,FR,6-3,285,"Dillon, SC",Latta High School
81,Payton Bunch,TE,FR,6-3,195,"Pendleton, SC",Pendleton HS
38,Nic Burroughs-Rogers,LB,FR,6-1,240,"Columbia, SC",Blythewood HS
11,Kameron Burton,S,SO,6-1,195,"Belton-Honea Path, SC",Belton-Honea Path HS
23,Derick Bush,CB,SO,6-1,185,"Tucson, AZ",Salpointe Catholic HS
12,Bryce Carpenter,QB,SO,6-1,205,"Sarasota, FL",Venice HS
63,Trey Carter,OL,JR,6-1,300,"Monroeville, AL",Monroe Academy
2,Antawn Chandler,WR,SR,5-10,170,"Aiken, SC",Aiken HS
86,Nick Childs,WR,FR,5-10,185,"Winston-Salem, NC",East Forsyth HS
15,Jerrod Clark,NT,FR,6-4,315,"Dorchester, MA",Brighton HS
18,Kered Class,RB,FR,5-8,170,"Little River, SC",North Myrtle Beach HS
7,Mallory Claybourne,CB,SR,5-11,195,"Pittsburgh, PA",Sto-Rox HS/Lackawanna College
30,Jaiden Clayton,LB,SO,6-0,220,"Gaffney, SC",Gaffney HS
99,Jonathan Clayton,DT,JR,6-2,280,"Jacksonville, FL",Sandalwood HS
35,Kieran Colahan,P,FR,6-0,195,"Earlville, Australia",University of Australia
61,Cole Collins,OL,FR,6-1,250,"Summerville, SC",Summerville HS
8,Larry Collins Jr.,WR,JR,6-1,205,"Hopkins, SC",Lower Richland HS
14,Jaden Daniels,LB,FR,6-2,180,"Atlanta, GA",Westlake HS
47,Jamar Darboe,LB,FR,6-1,215,"Kinston, NC",Christchurch School (Va.)
17,Sam Denmark,WR,JR,6-0,185,"Huger, SC",Hanahan HS/Virginia Tech
53,Jordan Donald,OL,FR,5-10,260,"Memphis, TN",White Station HS
2,Luke Ellenberger,S,FR,6-1,195,"Pisgah Forest, NC",Brevard HS
45,Chris Evans,LB,SO,6-2,220,"Duncan, SC",Boiling Springs HS
4,Cincir Evans,LB,FR,6-4,215,"Memphis, TN",White Station HS
91,JB Favorite,DE,FR,6-0,275,"Myrtle Beach, SC",Myrtle Beach HS
62,Sean Fitzgerald,OL,SO,6-2,290,"Mt. Pleasant, MI",Mt. Pleasant Senior HS/Michigan
13,Deon Fountain,WR,FR,5-11,170,"Valdosta, GA",Brooks County HS
74,Jack Franklin,OL,JR,6-4,345,"Buford, GA",Mill Creek HS
34,Teddy Gallagher,LB,JR,6-1,240,"Los Angeles, CA",Loyola HS/Glendale Community College
35,Jaimeer Goodman,CB,FR,6-0,185,"Taylors, SC",Eastside HS
18,Tyriq Goodman,S,FR,6-3,210,"Newberry, SC",Newberry HS
64,Trevor Goude,OL,FR,6-4,310,"Aynor, SC",Aynor HS
7,Jarrett Guest,QB,FR,6-3,175,"Marietta, GA",Kennesaw Mountain HS
28,Jacqez Hairston,RB,JR,5-7,180,"Martinsville, VA",Magna Vista HS
77,Seth Harrell,OL,SO,6-3,330,"Chesapeake, VA",Grassfield HS
6,Jaivon Heiligh,WR,SO,6-2,195,"Venice, FL",Venice HS
5,Justin Henry,S,JR,5-10,165,"Laurens, SC",Laurens District 55 HS
68,Jake Hill,OL,FR,6-2,270,"Abbeville, SC",Abbeville HS
57,Quewon Hilliard,LB,FR,6-2,220,"Fayetteville, NC",Trinity Christian Academy
3,T'Qele Holmes,WR,JR,5-11,190,"Charleston, SC",West Ashley HS
75,Ethan Howard,OL,SR,6-6,265,"Brookwood, AL",Brookwood HS
9,Tarron Jackson,DE,JR,6-2,270,"Aiken, SC",Silver Bluff HS
6,Sterling Johnson,NT,SR,6-4,285,"Clayton, NC",Cleveland HS/Clemson
32,KJ Johnson II,S,FR,6-1,185,"Buford, GA",Buford HS
8,Damari Kelly,CB,FR,5-11,175,"Waynesboro, GA",Burke County HS
29,Silas Kelly,LB,JR,6-4,225,"Mount Airy, MD",South Carroll Senior HS
21,JT Killen,LB,FR,6-3,215,"Lake Wylie, SC",Charlotte Christian School
13,Chandler Kryst,CB,SR,5-9,180,"Tega Cay, SC",Fort Mill HS
20,Greg Latushko,WR,JR,5-10,200,"Franklin Lakes, NJ",Ramapo HS
12,Ryan Lee,LB,JR,6-1,210,"Columbia, SC",Spring Valley HS
15,Drew Leszczynski,QB,FR,6-1,190,"Brookfield, WI",Brookfield Central HS
4,Isaiah Likely,TE,SO,6-4,245,"Malden, MA",Everett HS
73,Jake Locklear,OL,FR,6-3,285,"Fort Mill, SC",Indian Trail HS/Presbyterian College
72,Antwine Loper,OL,SO,6-3,275,"Conway, SC",Carolina Forest HS
40,Michael Makins,LB,SO,5-11,215,"Lithonia, GA",Stephenson HS
