No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
76,Peace Addo,OT,FR,6-6,340,"Silver Spring, MD",St. Frances Academy
30,Jalen Alexander,S,FR,5-11,165,"Loganville, GA",Grayson
69,Zach Baker,OG,SR,6-4,315,"Green Cove Springs, FL",Clay
89,Mark Birmingham,TE,JR,6-4,250,"Ashburn, VA",Briar Woods
31,Josh Blackwell,CB,SO,5-11,175,"Buford, GA",Buford
19,Jake Bobo,WR,SO,6-4,200,"Belmont, MA",Belmont Hill
11,Scott Bracey,WR,JR,6-2,210,"Richmond, VA",Benedictine
8,Brittain Brown,RB,JR,6-1,205,"Canton, GA",Cherokee
56,Elijiah Brown,DT,FR,6-4,280,"Charlotte, NC",Providence Day
5,Jalon Calhoun,WR,FR,5-11,185,"Greenville, SC",Southside
74,Ron Carr,OT,FR,6-4,255,"Solon, OH",Solon
52,Cole Carteaux,LB,SO,6-2,215,"Brentwood, TN",Ravenwood
90,DeWayne Carter,DT,FR,6-3,300,"Pickerington, OH",Pickerington Central
26,Michael Carter II,S,JR,5-10,185,"Douglasville, GA",South Paulding
92,Edgar Cerenord,DT,SR,6-1,305,"Miami, FL",American Heritage
67,Rakavius Chambers,OG,JR,6-3,310,"Opelika, AL",Opelika
22,Jaylen Coleman,RB,FR,6-1,205,"Matthews, NC",Porter Ridge
13,Jack Colyar,QB,FR,6-2,200,"Langhorne, PA",Archbishop Wood
36,Matthew Cone,K,JR,6-1,200,"Louisville, TN",Maryville
91,Ahmad Craig,DE,FR,6-5,255,"Buford, GA",Buford
13,Tony Davis,CB,FR,6-2,195,"Gastonia, NC",Hunter Huss
36,Elijah Deveaux,RB,JR,6-0,215,"Waxhaw, NC",Charlotte Christian
51,Victor Dimukeje,DE,JR,6-2,265,"Baltimore, MD",Boys' Latin School
38,Jack Driggers,K,JR,5-11,160,"Tallahassee, FL",Leon
21,Mataeo Durant,RB,SO,6-1,195,"McCormick, SC",McCormick
83,Zamari Ellis,TE,FR,6-4,245,"Henderson, NC",Southern Vance
93,Ben Frye,DE,SO,6-3,255,"Dublin, OH",Dublin Coffman
41,Xander Gagnon,LB,JR,6-3,235,"Charlotte, NC",Charlotte Catholic
24,Jarett Garner,WR,FR,6-3,210,"Harrisburg, NC",Hickory Ridge
82,John Gelotte,TE,FR,6-5,290,"Moore, SC",Dorman
28,Mark Gilbert,CB,JR,6-1,175,"Fayetteville, NC",Terry Sanford
87,Noah Gray,TE,JR,6-4,240,"Leominster, MA",Leominster Senior
72,Jack Griffin,OT,FR,6-0,215,"Nichols Hills, OK",Heritage Hall
44,Charlie Ham,K,FR,6-1,185,"Atlanta, GA",The Westminster School
3,Darrell Harding Jr.,WR,FR,6-4,210,"Winter Garden, FL",West Orange
12,Joe Hardison,WR,SO,5-10,175,"Darien, CT",Taft School
18,Quentin Harris,QB,SR,6-1,200,"Wilton, CT",Taft School
42,Shaka Heyward,LB,FR,6-4,230,"Hoschton, GA",Mill Creek
32,Brandon Hill,LB,JR,6-3,235,"Orangeburg, SC",Heathwood Hall Episcopal
73,Anthony Hinton,OT,FR,6-2,230,"Waxhaw, NC",Marvin Ridge
78,Casey Holman,OT,FR,6-4,295,"Snellville, GA",Brookwood
12,Gunnar Holmberg,QB,FR,6-3,190,"Wake Forest, NC",Heritage
59,Tre Hornbuckle,DE,SR,6-4,255,"Murray, KY",Murray
84,Trevor Horton,WR,FR,5-6,175,"Hendersonville, TN",Davidson Academy
37,Jackson Hubbard,P,JR,6-3,180,"Dallas, TX",Highland Park
20,Marvin Hubbard III,RB,SO,5-9,185,"Tyrone, GA",Sandy Creek
4,Myles Hudzick,S,JR,5-10,170,"Reston, VA",Bishop O'Connell
25,Deon Jackson,RB,JR,6-0,215,"Atlanta, GA",Pace Academy
2,Javon Jackson,S,JR,5-11,190,"Tyrone, GA",Sandy Creek
33,Leonard Johnson,CB,SO,6-1,200,"Hayden, AL",Hayden
53,Scott Jones,DE,SR,6-3,230,"Newport News, VA",Hampton Roads Academy
86,Drew Jordan,DE,JR,6-2,260,"Suwanee, GA",North Gwinnett
2,Daniel Karlin,QB,JR,6-3,220,"Providence, RI",Classical
15,Chris Katrenick,QB,SO,6-3,215,"Algonquin, IL",Harry D. Jacobs
9,Isaiah Kemp,CB,FR,6-1,175,"Wilmington, NC",John T. Hoggard
77,Robert Kraeling,OT,JR,6-7,300,"Bishop, GA",Prince Avenue Christian
74,Michael Larbie,DT,FR,6-1,250,"Monroe, NC",Sun Valley
60,Patrick Leitten,OT,SO,6-7,280,"Brentwood, TN",Ravenwood
39,Jeremiah Lewis,CB,FR,6-0,185,"Plano, TX",Prestonwood Christian
