No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
59,Thad Abram,DL,SR,6-4,222,"Woodhaven, MI",Woodhaven
94,Hunter Andrews,DL,SR,6-4,257,"Metamora, MI",Lapeer
76,Richard Bates Jr.,OL,JR,6-3,290,"Kenner, LA",Scotlandville Magnet/Independence C.C.
10,Kobie Beltram,LB,SR,6-2,226,"Antioch, CA",Antioch/City College of San Francisco
16,Hassan Beydoun,WR,SO,5-8,170,"Dearborn, MI",Dearborn
46,Steve Bird,LS,FR,5-10,205,"Phoenix, AZ",Sandra Day O'Connor
23,Blake Bogan,DB,SO,6-2,197,"Grand Blanc, MI",Grand Blanc
27,Darius Boone Jr.,RB,FR,5-11,205,"Tulsa, OK",Union
20,Desean Boyd,LB,SO,6-2,228,"Detroit, MI",Cass Technical
63,Vincent Boyd,DL,JR,6-3,252,"Flint, MI",Carman-Ainsworth
30,John Branham Jr.,RB,FR,5-9,227,"Columbus, OH",Northland
96,DeZaun Brooks,DL,FR,6-3,250,"Indianapolis, IN",Lawrence Central
37,Kymani Brown,DB,SR,5-9,187,"Sugar Hill, GA",Lanier
56,Charles Brown Jr.,LB,FR,6-1,218,"Edgewood, MD",Harford Technical
42,Brandon Burks,LB,JR,6-2,234,"Reynoldsburg, OH",Pickerington/Tiffin-Butler C.C.
53,Matthew Buschman,LB,FR,6-2,220,"Brighton, MI",Brighton
3,Vince Calhoun,DB,SR,5-11,203,"Middletown, OH",Middletown
26,Luke Cameron,LB,SO,6-1,200,"Kokomo , IN",Kokomo/Army West Point
44,Noah Cameron,WR,FR,6-1,189,"Kokomo, IN",Kokomo
86,Bryson Cannon,TE,JR,6-2,237,"Columbia, SC",Dutch Fork/Independence C.C.
34,Max Chaffee,P,FR,6-0,203,"Granger, IN",Penn
54,Zack Conti,OL,FR,6-6,299,"Trenton, MI",Trenton
21,Robert Daniel Jr.,DB,FR,6-0,194,"Oak Park, MI",Oak Park
40,Eddie Daugherty IV,WR,SR,5-7,170,"Mentor, OH",Mentor
50,Sam Dervil,OL,SR,6-5,304,"Miami, FL",Miami Northwestern/Coffeyville C.C.
34,Konrad Dixon,LB,SO,6-2,216,"Inkster, MI",Saline
69,Jake Donnellon,OL,JR,6-5,300,"Ypsilanti, MI",Gabriel Richard
73,Brian Dooley,OL,FR,6-7,280,"Bowling Green, OH",Toledo St. John’s Jesuit
80,Dylan Drummond,WR,SO,6-0,181,"Cleveland, OH",Cuyahoga Heights
77,Ty Eddington,DL,SR,6-3,329,"Bakersfield, CA",East/Bakersfield College
83,Tre’Shown Fields,TE,SR,6-4,240,"Grand Rapids, MI",East Grand Rapids/Grand Rapids C.C
9,Carthell Flowers,DB,SO,6-2,193,"Syracuse, NY",Nottingham
84,Logan Giordano,WR,FR,5-11,170,"Davie, FL",Chaminade-Madonna Prep
9,Mike Glass III,QB,SR,6-0,209,"St. Louis, MO",Hazelwood Central/Southwestern College
6,Jairus Grissom,WR,SO,6-2,210,"Detroit, MI",River Rouge
51,Aaron Hamilton,DL,FR,6-2,274,"Alpharetta, GA",Johns Creek
93,Mikey Haney,DL,FR,6-4,280,"Maumee, OH",Maumee
5,Korey Hernandez,DB,SO,5-11,180,"Decatur, GA",Cedar Grove/Arkansas-Iowa Western C.C.
22,Joey Hiser,DB,SO,6-0,180,"Dexter, MI",Dexter
91,Clay Holford,DL,SR,6-2,256,"Carrollton, TX",Hebron
68,Alex Howie,OL,FR,6-4,303,"Canton, MI",Salem
24,Brody Hoying,DB,SR,5-11,210,"Coldwater, OH",Coldwater
12,Jeff Hubbard,DB,JR,5-11,178,"Atlanta, GA",Woodward Academy
97,CJ Hunt,DL,SO,6-2,267,"Avon, IN",Avon
10,Preston Hutchinson,QB,SO,6-2,207,"Mason, OH",Mason
3,Aaron Jackson,QB,FR,6-2,223,"Detroit, MI",Cass Technical
45,Sam Jackson,LB,FR,6-0,207,"Troy, OH",Troy
89,Arthur Jackson III,WR,SR,6-0,194,"Oakland, CA",Wood/American River College
25,Otis Jackson III,DB,JR,6-0,181,"Saginaw, MI",Heritage
71,Marcellus Johnson,OL,FR,6-4,286,"Normal, IL",Normal Community
67,Broderick Jordan,OL,FR,6-3,289,"Lansing, MI",Okemos
31,Jake Julien,P,JR,6-2,210,"Barrie, Canada",North Collegiate
61,Zack Kadri,OL,JR,6-4,250,"Lynnwood, WA",Mountlake Terrace/Reedley College
12,Christopher Kaminski,QB,FR,6-3,202,"South Lyon, MI",South Lyon East
52,Desmond Kelly,DL,SR,6-1,311,"Baltimore, MD",Overlea/Dodge City C.C.
88,Bryce Kemp,TE,SR,6-5,250,"Baxter, IA",Baxter Community School
24,Tanner Knue,WR,FR,5-11,170,"Mason, OH",Mason
19,Noski LaFleur,DB,JR,6-0,193,"Lake Charles, LA",LaGrange/Coffeyville C.C.
8,Line Latu,WR,SR,5-11,205,"San Mateo, CA",San Mateo/College of San Mateo
17,Mark Lee Jr.,DB,FR,6-0,180,"Columbus, OH",Northland
43,Tyler Lyle,FB,JR,6-0,227,"Kalamazoo, MI",Kalamazoo Central
13,Jayden Machado,QB,JR,6-0,195,"Folsom, CA",Elk Grove/Sacramento City
22,Karmi Mackey,RB,FR,6-1,220,"Seffner, FL",Seffner Christian Academy
18,Keyan Marshall,WR,JR,6-2,197,"Toledo, OH",Sylvania Southview
79,Jimi McAdams IV,OL,FR,6-5,315,"Parma, OH",Padua Franciscan
25,Josh McCarty,RB,FR,5-11,190,"Troy, MI",Orchard Lake St. Mary’s
66,Hunter McDaniel,OL,FR,6-7,280,"Garden City, MI",Garden City
7,Freddie McGee III,DB,JR,5-8,178,"Canton, MI",Salem
4,Kevin McGill,DB,SR,6-2,200,"Waldorf, MD",Westlake
92,Alex Merritt,DL,FR,6-2,271,"Cincinnati, OH",Moeller
32,Terry Myrick,LB,JR,6-0,223,"Austell, GA",Woodward Academy
74,Steven Nielsen,OL,SR,6-8,307,"Dragoer, Denmark",La Lumiere (Ind.) School
38,Joe Nowden,WR,SO,6-3,188,"Detroit, MI",Consortium College Prep/Baldwin Wallace
39,Kendric Nowling,DB,FR,6-2,201,"Chicago, IL",Marist
82,Gunnar Oakes,TE,SO,6-5,252,"Swanton, OH",Swanton
85,Thomas Odukoya,TE,SR,6-6,264,"Almere, Netherlands",Helen Parkhurst/Garden City C.C.
26,Willie Parker,RB,JR,5-9,187,"Tampa, FL",Carrollwood Day School
27,Vinnie Patteri,P,FR,6-0,166,"Saline, MI",Saline
49,T.J. Peavy,DB,FR,5-10,190,"Fayetteville, GA",Sandy Creek
