No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
57,Gavin Adcock,NT,SO,5-11,270,"Watkinsville, GA",Oconee
43,Tre Allen,ILB,SO,6-1,235,"Stockbridge, GA",Woodland
9,Darion Anderson,WR,JR,6-0,195,"Warner Robins, GA",Houston County
71,Peyton Backer,OL,SO,6-3,295,"Tiger, GA",Rabun County
31,Darrell Baker Jr.,S,JR,6-1,195,"Hephzibah, GA",Hephzibah
16,Tyler Bass,PK,SR,5-10,185,"Irmo, SC",Dutch Fork
84,Magill Bauerle,P,JR,6-1,200,"Athens, GA",Athens Academy
98,Anthony Beck II,P,FR,6-4,230,"Guyton, GA",South Effingham
38,Deonta Bembry,CB,FR,5-9,175,"Stone Mountain, GA",Stephenson
41,Isiah Bembry,CB,FR,5-11,190,"Stone Mountain, GA",Stephenson
18,Justin Birdsong,CB,SO,5-11,180,"Lithonia, GA",Stephenson
5,Jay Bowdry,OLB,SR,6-0,205,"Thomasville, GA",Thomasville
49,Javian Boykin,TE,FR,6-0,230,"Snellville, GA",Grayson
62,Robb Bozeman,DE,JR,6-4,260,"Smyrna, DE",Polytech/Widener
11,Todd Bradley,ILB,JR,6-0,225,"Valdosta, GA",Valdosta
4,Monquavion Brinson,CB,SR,5-11,190,"Atlanta, GA",Mays
27,AJ Brown,RB,FR,5-6,165,"Grovetown, GA",Harlem
48,Cam Brown,TE,JR,6-2,235,"Suwanee, GA",Peachtree Ridge
68,Will Browning III,OL,JR,6-3,285,"Alpharetta, GA",Milton
80,D.J. Butler,TE,SO,6-2,230,"Madison, AL",Bob Jones
45,Rashad Byrd,ILB,JR,6-0,230,"North Augusta, SC",North Augusta
59,Elijah Campbell Jr.,DE,FR,6-3,255,"Gadsden, AL",Gadsden City
13,Derrick Canteen,CB,FR,5-11,185,"Evans, GA",Evans
77,Griffin Carder,OL,FR,6-4,300,"Leesburg, GA",Lee County
28,Dexter Carter Jr.,WR,JR,6-0,195,"Jacksonville, FL",The Bolles School
97,Bryce Christensen,P,FR,5-11,190,"Suwanee, GA",Lambert
35,Tra Cofield,S,JR,5-11,185,"Ellenwood, GA",Frederick Douglass/Middle Georgia State
37,Caree Collier,ILB,FR,6-0,190,"North Augusta, SC",North Augusta
91,Thomas Cook,DE,FR,6-5,230,"Columbus, GA",Carver
64,Jakob Cooper,OL,SR,6-3,295,"Lilburn, GA",Parkview
90,Logan Cox,LS,SO,6-0,230,"Canton, GA",Woodstock
14,Brandon Cross,CB,FR,5-11,190,"Orlando, FL",Jones
72,Khalil Crowder,OL,FR,6-1,300,"Carrollton, GA",Carrollton
11,Jared Daniels,RB,SO,5-9,190,"Oglethorpe, GA",Macon County
37,Quincy Darnell,WR,FR,6-2,200,"Alpharetta, GA",Johns Creek
39,Reid Dedman,S,FR,5-11,195,"Carrollton, GA",Carrollton
90,Parker Devine,NT,FR,6-3,265,"Jacksonville, FL",Bartram Trail
84,Trace Dorminy,TE,FR,6-4,235,"Charleston, SC",Camden County (Ga.)
51,Aaron Dowdell,OL,JR,6-4,315,"Fairburn, GA",Creekside/Georgia Military College
91,Payton Dunagan,LS,FR,6-1,225,"Cumming, GA",West Forsyth
27,Kenderick Duncan Jr.,S,SO,6-3,225,"Stockbridge, GA",Stockbridge
7,Lane Ecton,OLB,SR,5-11,210,"Irmo, SC",Dutch Fork
66,Jake Edwards,OL,SR,6-4,300,"Franklin, GA",Heard County/Georgia
74,Lawrence Edwards,OL,JR,6-6,305,"Port Orange, FL",Spruce Creek
44,Dominic Ellis,ILB,FR,5-10,225,"Birmingham, AL",Minor
97,Justin Ellis,DE,SO,6-2,250,"Roswell, GA",Roswell/Syracuse
36,Reynard Ellis,ILB,SO,6-1,230,"Birmingham, AL",Shades Valley/Furman
34,Jon Ferguson,ILB,FR,6-1,220,"Manchester, GA",Manchester
18,Jaalon Frazier,QB,SO,6-2,200,"Riceboro, GA",Liberty County
38,Myles Freeman,RB,FR,6-0,175,"Claxton, GA",Claxton
10,Jaden Garrett,CB,SO,5-11,185,"Plant City, FL",Durant
23,Deontae Grant,OLB,FR,6-1,220,"Bushnell, FL",South Sumter
7,Gerald Green,RB,FR,5-9,195,"Columbus, GA",East Coweta
52,Quan Griffin,DE,JR,6-3,265,"Glen Saint Mary, FL",Baker County
83,Chase Hancock,TE,FR,6-0,245,"Macclenny, GA",Baker County
32,Chris Harris Jr.,ILB,JR,6-1,240,"Savannah, GA",Benedictine Military
75,Verneal Henshaw Jr.,OL,FR,6-4,250,"Palm Coast, FL",Flagler Palm Coast
95,Amaru Herring,DE,FR,6-1,260,"Beulaville, NC",East Duplin
4,Khaleb Hood,WR,FR,5-10,170,"McDonough, GA",Eagles Landing Christian/Air Force Prep
55,Cauldric Isles,NT,FR,5-11,275,"Savannah, GA",Jenkins
41,Beau Johnson,TE,FR,6-1,225,"Plantation, FL",American Heritage
63,Peyton Johnson,OL,SO,6-1,305,"Hampton, GA",Hampton
92,Raymond Johnson III,DE,JR,6-3,260,"Sumter, SC",Sumter
54,Benz Josue,OLB,SO,6-0,210,"Lawrenceville, GA",Mountain View
50,Caleb Kelly,OL,SO,6-2,295,"Warner Robins, GA",Northside
12,Wesley Kennedy III,RB,JR,5-10,180,"Savannah, GA",Benedictine Military
15,J.D. King,RB,JR,5-11,220,"Fitzgerald, GA",Fitzgerald/Oklahoma State
5,Matt LaRoche,RB,SO,5-9,180,"Venice, FL",Venice
82,Ryan Langan,LS,JR,6-1,230,"Cedar Rapids, NE",Riverside
51,Connor Lawson,ILB,SO,6-1,210,"Albany, GA",Deerfield Windsor
70,Jarrod Leeds,OL,SO,6-4,290,"Green Cove Springs, FL",Clay
10,Darius Lewis,WR,FR,5-10,170,"Jacksonville, FL",First Coast
15,Jessie Liptrot,CB,SR,6-0,195,"Atlantic Beach, FL",Fletcher
13,Will Lovett Jr.,QB,SO,6-3,230,"Kennesaw, GA",North Cobb/Troy
26,Ngankoy Mambele,CB,FR,5-9,145,"Dacula, GA",Discovery
48,Will McCarty,ILB,FR,6-1,225,"Acworth, GA",Harrison
21,Zyon McGee,OLB,FR,6-1,210,"Bainbridge, GA",Bainbridge
57,Javonte McGriff,OL,FR,6-1,285,"Thomasville, GA",Thomasville
39,Emory McKenzie,TE,JR,6-2,235,"Albany, GA",Westover/City College of San Francisco
23,Mark Michaud,WR,SR,6-4,220,"Spring Valley, NY",Paramus Catholic/Avon Old Farms
56,Brian Miller,OL,SO,6-3,300,"Savannah, GA",Memorial Day
30,Lucas Moore,CB,FR,5-9,180,"Alpharetta, GA",Milton
19,Jaden Moreland,CB,FR,5-11,185,"Franklin, GA",Heard County
16,Malik Murray,WR,JR,6-0,180,"Duluth, GA",Peachtree Ridge
60,Derrick Newby Jr.,OL,SR,6-0,280,"Orlando, FL",Oak Ridge/Northland
22,Treun Pace,S,FR,6-0,190,"Pelham, GA",Pelham
46,Austin Parker,S,JR,5-10,180,"McDonough, GA",Ola
47,Jordan Pearson,RB,FR,5-9,190,"Laurens, SC",Laurens/Palmetto Prep
56,Mark Penson,DE,FR,6-0,250,"Atlanta, GA",Sandy Creek
96,Ty Phillips,NT,SR,6-3,290,"Moultrie, GA",Colquitt County
44,Logan Powell,ILB,FR,6-2,225,"McDonough, GA",Ola
58,Aaron Pyron,OL,FR,6-4,310,"Stone Mountain, GA",Arabia Mountain
6,Colby Ransom,WR,SR,5-11,195,"Stone Mountain, GA",South Gwinnett
99,Alex Raynor,PK,FR,5-11,175,"Kennesaw, GA",Harrison
86,Mills Ridings,WR,FR,6-2,195,"Thomson, GA",Thomson
82,Drew Rutledge,WR,FR,6-0,185,"Calhoun, GA",Calhoun
24,Donald Rutledge Jr.,S,SR,6-1,210,"Sumter, SC",Crestwood/Savannah State
6,Java'n Singletary,S,FR,6-0,190,"Bonaire, GA",Veterans
67,Alex Smith,OL,JR,6-4,300,"Woodstock, GA",Etowah
85,Emil Smith,WR,FR,6-1,170,"Attalla, AL",Etowah
89,Jeremy Smith,TE,SO,6-4,285,"Evans, GA",Greenbrier
99,Kierron Smith,NT,FR,6-0,335,"Fitzgerald, GA",Fitzgerald
25,David Spaulding,CB,FR,6-2,175,"Riceboro, GA",Bradwell Institute
98,Dillon Springer,DE,SO,6-1,255,"Midland, TX",Midland/Trinity Valley CC
28,Amari Thompson,S,JR,6-2,200,"Minneola, FL",Lake Minneola
26,NaJee Thompson,WR,SO,5-11,195,"Boiling Springs, SC",Boiling Springs
17,Justin Tomlin,QB,FR,5-11,190,"Decatur, GA",Southwest Dekalb
29,Darian Tyson,WR,FR,6-0,200,"Americus, GA",Americus Sumter
20,Kindle Vildor,CB,SR,5-11,190,"College Park, GA",North Clayton
49,Traver Vliem,DE,JR,6-4,260,"Midland, TX",Midland
47,Randy Wade Jr.,OLB,JR,6-2,270,"Blakely, GA",Early County
40,Stedman Waiters,ILB,SR,5-11,215,"Snellville, GA",Central Gwinnett
42,Alvin Ward Jr.,OLB,JR,6-4,235,"Ahoskie, NC",Hertford County/Atlanta Sports Academy
93,AJ Watkins,DE,FR,6-2,270,"Fairburn, GA",Langston Hughes
55,Jawaski Webb,OL,JR,6-2,285,"Senatobia, MS",Senatobia/Holmes C.C.
1,Shai Werts,QB,JR,5-11,205,"Clinton, SC",Newberry
22,Bo White,WR,FR,5-10,170,"Pemberton, NJ",Pemberton Township
29,Ryan White,ILB,SR,5-11,200,"Statesboro, GA",Portal/Point
78,Jordan Wiggins,OL,FR,6-4,265,"Tallahassee, FL",Godby
33,Quin Williams,OLB,FR,6-3,250,"Madison, GA",Morgan County
17,Anthony Wilson,S,FR,5-10,185,"Columbia, SC",Spring Valley
61,Drew Wilson,OL,JR,6-4,310,"Bamberg, SC",Bamberg-Ehrhardt
94,C.J. Wright,NT,SO,6-0,290,"Sylvania, GA",Screven County
79,Kaylen Wright,DE,FR,6-4,240,"Grove Hill, AL",Lanier County
2,Logan Wright,RB,SO,6-0,225,"Jacksonville, FL",Sandalwood
87,Jallah Zeze Jr.,WR,FR,6-0,220,"Lawrenceville, GA",Central Gwinnett
