No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
6,Tony Adams,DB,JR,6-0,200,"Belleville, IL",St. Louis University HS
93,Calvin Avery,DL,SO,6-2,330,"Dallas, TX",Bishop Dunne
87,Daniel Barker,TE,SO,6-4,250,"Fort Lauderdale, FL",Deerfield Beach
48,Bryce Barnes,DL,FR,6-2,245,"Gibson City, IL",Gibson City-Melvin-Sibley
44,Tarique Barnes,LB,FR,6-1,225,"Memphis, TN",Cordova
3,Marquez Beason,DB,FR,5-11,185,"Dallas, TX",Duncanville
28,Nolan Bernat,DB,SR,5-10,185,"Bartlett, IL",Bartlett HS/College of DuPage
47,Oluwole Betiku Jr.,DL,JR,6-3,250,"Lagos, Nigeria",Serra HS (Calif.)/USC
29,Christian Bobak,DB,JR,6-0,200,"Hinsdale, IL",Hinsdale Central
21,Ra'Von Bonner,RB,JR,5-11,215,"Cincinnati, OH",Sycamore
32,Chase Brown,RB,SO,5-11,195,"London, Canada",St. Stephens Episcopal (Fla.)/Western Michigan
25,Dre Brown,RB,SR,5-11,210,"DeKalb, IL",DeKalb
30,Sydney Brown,DB,SO,6-0,210,"London, Canada",St. Stephens Episcopal (Fla.)
52,Verdis Brown,OL,FR,6-4,310,"Chicago, IL",IMG Academy (Fla.)
19,Dalevon Campbell,WR,FR,6-4,200,"Missouri City, TX",Ford Bend Marshall
99,Owen Carney Jr.,DL,JR,6-3,255,"Miami, FL",Miami Central
80,Edwin Carter,WR,FR,6-3,185,"Jacksonville, FL",Sandalwood
73,Jake Cerny,OL,JR,6-5,300,"Traverse City, MI",Traverse City West
51,Sean Coghlan,LB,SO,6-0,220,"Chicago, IL",St. Rita
49,Seth Coleman,DL,FR,6-5,215,"Melbourne, FL",Holy Trinity Episcopal Academy
40,Shammond Cooper,LB,FR,6-2,205,"St. Louis, MO",Trinity Catholic
2,Reggie Corbin,RB,SR,5-10,200,"Upper Marlboro, MD",Gonzaga College HS
70,Thomas Cronin,OL,FR,6-4,290,"Oak Park, IL",Oak Park River Forest
20,Kyron Cumby,WR,FR,5-8,180,"Plano, TX",Plano
15,Trenard Davis,WR,SR,6-0,195,"Boynton Beach, FL",American Heritage School
24,Dawson DeGroot,LB,JR,6-1,215,"Fort Myers, FL",Fort Myers
37,Mark Di Iorio,LB,FR,5-8,210,"Barrington, IL",Barrington
5,Milo Eifler,LB,JR,6-2,225,"Berkeley, CA",Bishop O'Dowd/U. of Washington
58,Preston Engel,OL,FR,6-0,270,"Normal, IL",Normal Community
26,Mike Epstein,RB,JR,6-0,205,"Ft. Lauderdale, FL",St. Thomas Aquinas
26,Nick Fedanzo,RB,FR,6-0,210,"Lombard, IL",Montini Catholic
82,Luke Ford,TE,SO,6-6,260,"Carterville, IL",Carterville/University of Georgia
75,Kurt Gavin,OL,JR,6-4,300,"Mokena, IL",Lincoln-Way East
92,Isaiah Gay,DL,JR,6-3,240,"Nashville, NC",Northern Nash
53,Kendrick Green,OL,SO,6-4,310,"Peoria, IL",Peoria
7,Stanley Green,DB,SR,5-11,190,"East St. Louis, IL",East St. Louis Senior
11,Caleb Griffin,PK,FR,6-3,210,"Danville, IL",Danville
39,Aidan Hall,LS,FR,6-2,220,"Glen Ellyn, IL",Benet Academy
35,Jake Hansen,LB,JR,6-1,225,"Tarpon Springs, FL",East Lake
9,Dele Harding,LB,SR,6-1,230,"Elkton, MD",Eastern Christian
14,Blake Hayes,P,JR,6-6,230,"Melbourne, Australia",Brighton
8,Nate Hobbs,DB,JR,6-0,190,"Louisville, KY",Louisville Male
33,Ezekiel Holmes,DL,FR,6-3,230,"Wichita Falls, TX",Hirschi
84,Jordan Holmes,WR,SO,6-0,185,"Columbia, IL",Columbia
9,Josh Imatorbhebhe,WR,JR,6-2,215,"Suwanee, GA",North Gwinnett/USC
95,Kenyon Jackson,DL,SR,6-0,290,"Little Rock, AR",Parkview Arts & Science Magnet
25,Kerby Joseph,DB,SO,6-1,200,"Orlando, FL",Jones
27,Matthew Judd,WR,FR,6-2,200,"Frankfort, IL",Lincoln-Way East
57,Evan Kirts,OL,FR,6-5,260,"Evergreen Park, IL",Brother Rice
10,James Knight,DB,JR,5-10,200,"East St. Louis, IL",East St. Louis
65,Doug Kramer,OL,JR,6-2,300,"Hinsdale, IL",Hinsdale Central
32,Tailon Leitzsey,DB,JR,6-0,190,"Laurel, MD",Riverside/Missouri Baptist University
23,Conner Lillig,RB,SO,5-10,190,"Oak Park, IL",Fenwick
79,Vederian Lowe,OL,JR,6-6,320,"Rockford, IL",Auburn
42,Michael Marchese,DB,JR,6-4,210,"Vernon Hills, IL",Stevenson
21,Jartavius Martin,DB,SO,6-0,190,"Lehigh Acres, FL",Lehigh Acres
17,James McCourt,PK,JR,6-1,210,"Parkland, FL",St. Thomas Aquinas
46,Alec McEachern,LB,SO,6-1,225,"Plainfield, IL",Benet Academy
34,Ryan Meed,LB,FR,6-1,210,"Brooklyn, NY",Canarsie
55,Jamal Milan,DL,SR,6-3,300,"Chicago, IL",Al Raby
16,Cam Miller,QB,JR,6-1,220,"Evergreen Park, IL",Brother Rice
54,Marc Mondesir,DL,JR,6-2,225,"Chicago, IL",St. Rita
43,Griffin Moore,TE,FR,6-4,245,"Bloomington, IL",Bloomington
72,Kievan Myers,OL,FR,6-5,325,"Dallas, TX",Bishop Dunne
86,Donny Navarro,WR,SO,5-11,185,"Naperville, IL",Neuqua Valley/Valparaiso
3,Jakari Norwood,RB,FR,5-10,180,"Pompano Beach, FL",Deerfield Beach
