No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
63,Ben Adler,OL,SO,6-4,320,"Wichita, KS",Trinity Academy
17,Jonathan Alexander,DB,JR,6-2,213,"Fort Worth, TX",Trimble Tech/Kilgore College
52,Nick Allen,LB,FR,5-11,221,"Overland Park, KS",Blue Valley Southwest
21,Devin Anctil,P,SR,6-1,234,"Lenexa, KS",Olathe Northwest/Coffeyville CC
34,Levi Archer,LB,FR,6-3,207,"Goodland, KS",Goodland
17,Nick Ast,QB,SO,6-5,209,"Cimarron, KS",Cimarron
44,Kyle Ball,DE,SR,6-2,250,"Prairie Village, KS",Shawnee Mission East
36,Mason Barta,FB,SO,6-1,236,"Holton, KS",Holton
50,Cooper Beebe,OL,FR,6-3,342,"Kansas City, KS",Piper
43,Jack Blumer,P,FR,6-2,186,"Marysville, KS",Marysville
8,Daron Bowles,DB,SR,5-9,185,"Stone Mountain, GA",Stone Mountain/Diablo Valley College
16,Derek Bowman,DB,FR,6-1,215,"Manhattan, KS",Homeschooled
25,Ekow Boye-Doe,DB,FR,5-11,164,"Lawrence, KS",Lawrence
88,Phillip Brooks,WR,FR,5-7,167,"Lee's Summit, MO",Lee's Summit West
6,Jordon Brown,RB,SR,5-11,200,"Durham, NC",Southern Durham/Univ. of North Carolina
46,Jhet Burkhart,LB,FR,5-11,208,"Buhler, KS",Buhler
33,Tyler Burns,RB,JR,6-0,220,"Wichita, KS",Trinity Academy
49,Wesley Burris,LS,JR,5-10,194,"Olathe, KS",Olathe East
37,Kirk Coomes,FB,FR,6-0,231,"Phillipsburg, KS",Phillipsburg
82,Cameron Cotton,TE,SO,6-4,238,"Elk River, MN",Elk River
65,Harrison Creed,OL,SO,6-5,297,"Ulysses, KS",Ulysses
58,Cartez Crook-Jones,DE,FR,6-3,257,"Grandview, MO",Grandview
72,Evan Curl,OL,SR,6-5,295,"Flower Mound, TX",Flower Mound
96,Joe Davies,DT,SR,6-3,285,"Carrollton, TX",Creekview/Coffeyville CC
26,Adam Davis,LB,FR,6-1,217,"Overland Park, KS",St. Thomas Aquinas
29,Jax Dineen,FB,FR,5-10,242,"Lawrence, KS",Free State
99,Trey Dishon,DT,SR,6-2,311,"Horton, KS",Horton
36,Ben Driver,DB,FR,6-0,183,"Salina, KS",Salina Central
73,Christian Duffie,OL,FR,6-5,297,"Humble, TX",Summer Creek
42,Chris Dugan,DE,JR,6-1,234,"Wichita, KS",Bishop Carroll/Butler CC
29,Khalid Duke,LB,FR,6-3,216,"Atlanta, GA",Riverside Military Academy
6,Johnathan Durham,DB,SR,6-0,195,"Aledo, TX",Aledo
75,Tre Eaton,OL,FR,6-7,287,"Olathe, KS",Olathe South
58,Justin Eichman,OL,JR,6-9,314,"Topeka, KS",Hayden/Butler CC
19,Ross Elder,DB,SO,6-0,177,"Kansas City, MO",Rockhurst
22,Joe Ervin,RB,FR,5-8,177,"Rock Hill, SC",South Pointe
54,Joe Flax,DE,FR,6-3,262,"Hays, KS",Thomas More Prep-Marian/Air Force
55,Cody Fletcher,LB,JR,6-2,219,"Henrietta, TX",Henrietta/Tyler JC
81,Konner Fox,TE,FR,6-4,244,"San Antonio, TX",Reagan
74,Scott Frantz,OL,SR,6-5,303,"Lawrence, KS",Free State
