No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
45,Jacob Adams,FB,SO,6-0,227,"West Monroe, LA",West Monroe HS
82,Doyle Adams Jr.,WR,FR,5-10,185,"Benton, LA",Benton High School
3,Aaron Allen,QB,FR,6-1,193,"Missouri City, TX",Ridge Point HS
43,Tristan Allen,DE,SO,6-4,240,"Atlanta, TX",Atlanta HS
73,Willie Allen,OL,JR,6-6,343,"River Ridge, LA",John Curtis Christian HS/Tyler JC
26,Jacorion Andrews,LB,SO,6-0,202,"Monroe, LA",Neville HS
31,Christian Archangel,S,FR,6-0,180,"Lafayette, LA",Comeaux HS
85,Willie Baker,LB,JR,6-3,246,"New Roads, LA",Livonia HS
3,Trey Baldwin,LB,JR,6-2,236,"Orange, TX",Cypress Falls HS/Trinity Valley CC
63,Stevie Ballard,OL,FR,6-5,296,"Terry, MS",Central Hinds Academy
98,Jacob Barnes,K,FR,5-9,170,"Baton Rouge, LA",Woodlawn HS
46,Ezekiel Barnett,LB,JR,6-2,213,"Benton, LA",Benton HS
58,Reeves Blankenship,DS,SO,6-4,218,"Springfield, LA",Springfield HS
74,Jonah Brewster,OL,FR,6-7,295,"Frisco, TX",Prestonwood Christian Academy
17,Brodrick Calhoun,CB,FR,5-10,170,"Dallas, TX",John Horn HS
42,Maki Carabin,LB,FR,6-1,223,"San Antonio, TX",Alamo Heights HS
47,Drake Carroll,OL,FR,6-2,288,"Alexandria, LA",Holy Savior Menard HS
56,Mykol Clark,DE,FR,6-4,238,"Fort Worth, TX",Crowley HS
34,Reggie Cleveland,LB,JR,6-0,224,"Baton Rouge, LA",Scotlandville HS
7,Jaiden Cole,S,SO,6-0,197,"Monroe, LA",Neville HS
40,Kyle Conrad,DS,JR,6-2,203,"Richmond, TX",Seven Lakes HS/Notre Dame
16,Zach Cousar,TE,JR,6-4,226,"Oxford, MS",Oxford HS
23,Jaqwis Dancy,RB,SR,5-11,193,"Junction City, AR",Junction City HS
92,La'Dante Davenport,DT,SR,6-3,287,"Shreveport, LA",Northwood HS
62,Abraham Delfin,OL,SO,6-1,303,"Plaquemine, LA",Plaquemine HS
10,Westin Elliott,QB,JR,6-5,221,"Shallowater, TX",Midland Christian HS/Blinn College
29,Brady Farlow,P,JR,5-11,186,"Hattiesburg, MS",Jones County JC
8,Brandon Floyd,LB,JR,6-2,223,"New Orleans, LA",Denton Ryan HS/Trinity Valley CC
78,Taylor Fondal,OL,JR,6-1,317,"New Iberia, LA",Westgate HS
13,Isaiah Graham,WR,JR,6-0,188,"Bastrop, LA",Bastrop HS/TCU
79,Carter Habich,OL,SO,6-5,280,"Monroe, WA",Garden City CC
9,Bailey Hale,K,SR,5-11,196,"Iowa Park, TX",Iowa Park HS/Eastern New Mexico
93,Deshon Hall,LB,FR,6-3,237,"Gonzales, LA",East Ascension HS
67,Walker Hankinson,OL,FR,6-6,257,"San Antonio, TX",Alamo Heights HS
18,Zach Hannibal,CB,JR,6-0,190,"Monroe, LA",Ouachita Parish HS
6,Adrian Hardy,WR,JR,6-2,200,"Houston, TX",Dekaney HS
19,Smoke Harris,WR,FR,5-6,175,"St. Francisville, LA",West Feliciana HS
80,Griffin Hebert,WR,SO,6-3,217,"Lafayette, LA",St. Thomas More HS
72,Christian Henderson,OL,FR,6-5,299,"Greenwood, MS",Greenwood HS
33,Justin Henderson,RB,JR,5-10,218,"Lake Wales, FL",Lake Wales HS/Coffeyville CC
27,Elijah Hines,RB,FR,5-8,186,"Port Arthur, TX",(Memorial HS)
39,Randy Hogan,LB,SR,6-1,227,"Pascagoula, MS",Pascagoula HS/Pearl River CC
41,Bobby Holly,FB,SR,6-1,252,"Farmerville, LA",Union Parish HS
20,Kollin Hurt,S,SO,6-3,198,"Gilmer, TX",Gilmer HS
52,D.J. Jackson,DT,FR,6-0,295,"Dallas, TX",West Mesquite HS
10,James Jackson,S,SR,5-11,225,"Haynesville, LA",Haynesville HS
16,CJ Johnson,CB,FR,6-0,160,"Greenwood, MS",Greenwood HS
26,Jawaun Johnson,WR,JR,5-11,190,"Fullerton, CA",Fullerton College
47,Eric Kendzior,DE,JR,6-3,240,"Deer Park, TX",La Porte HS
55,Drew Kirkpatrick,OL,SR,6-3,310,"Uvalde, TX",Uvalde HS/Blinn College
37,Ephraim Kitchen,CB,SR,5-10,176,"Batesville, MS",South Panola HS
32,Ishmael Landers,RB,FR,5-11,200,"New Orleans, LA",St. Augustine HS
51,Antawn Lewis,OL,SO,6-5,307,"West Palm Beach, FL",Coahoma CC
4,Darryl Lewis,S,SR,5-11,210,"New Orleans, LA",Lusher HS
89,Tahj Magee,WR,FR,5-11,188,"Franklinton, LA",Franklinton HS
29,DeAndre Marcus,RB,FR,6-1,201,"Ruston, LA",Ruston HS
96,Ka'Derrion Mason,DT,SR,6-4,297,"McComb, MS",McComb HS
24,Joshua Matthews,WR,SO,6-2,194,"Baton Rouge, LA",Dunham HS
