No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
82,Javez Alexander,WR,FR,6-2,193,"Sandusky, OH",Sandusky
80,Jalen Allen,WR,FR,5-11,177,"Ypsilanti, MI",Ypsilanti
64,Matt Allen,OL,JR,6-3,303,"Hinsdale, IL",Hinsdale Central
76,AJ Arcuri,OT,JR,6-7,306,"Powell, OH",Olentangy Liberty
47,Ryan Armour,SN,SR,6-0,240,"Traverse City, MI",St. Francis
35,Joe Bachie,LB,SR,6-2,231,"Brook Park, OH",Berea
2,Julian Barnett,WR,FR,6-2,189,"Detroit, MI",Belleville
86,Drew Beesley,DL,JR,6-2,248,"Rochester Hills, MI",Warren De La Salle
44,Adam Berghorst,DE,FR,6-6,250,"Zeeland, MI",Zeeland East
33,Jeslord Boateng,LB,FR,6-1,228,"Dublin, OH",Dublin Coffman
94,Jack Bouwmeester,P,FR,6-2,193,"Bendigo, Australia",Bendigo Catholic College
26,Brandon Bouyer-Randle,LB,JR,6-2,229,"Battle Creek, MI",Battle Creek Central
29,Shakur Brown,CB,SO,5-10,183,"Stockbridge, GA",Woodland
58,Spencer Brown,OL,FR,6-6,326,"Commerce Township, MI",Walled Lake Western
57,Evan Brunning,DL,FR,6-5,282,"Oxford, MI",Oxford
40,Jonathan Brys,DL,JR,6-6,253,"Jackson, MI",Lumen Christi
66,Blake Bueter,OL,SO,6-4,315,"Howell, MI",Detroit Catholic Central
41,Reid Burton,FB,JR,6-1,225,"East Lansing, MI",East Lansing
19,Josh Butler,CB,SR,6-0,182,"Mesquite, TX",West Mesquite
62,Luke Campbell,OL,JR,6-5,305,"Lewis Center, OH",Olentangy
91,Jack Camper,DE,SO,6-4,258,"Virginia Beach, VA",IMG Academy
56,Matt Carrick,OG,SO,6-4,332,"Minerva, OH",Perry
21,Cam Chambers,WR,JR,6-2,219,"Sicklerville, NJ",Timber Creek Regional
61,Cole Chewins,OT,SR,6-8,303,"Clarkston, MI",Clarkston
4,Matt Coghlin,K,JR,5-9,187,"Cincinnati, OH",Archbishop Moeller
24,Elijah Collins,RB,FR,6-0,217,"Detroit, MI",University of Detroit Jesuit
84,Noah Davis,TE,JR,6-4,248,"Cincinnati, OH",St. Xavier
6,Theo Day,QB,FR,6-5,222,"Canton, MI",Divine Child
74,Devontae Dobbs,OL,FR,6-4,295,"Belleville, MI",Belleville
89,Matt Dotson,TE,JR,6-5,252,"Kenwood, OH",Archbishop Moeller
77,Dimitri Douglas,OL,FR,6-4,302,"Saline, MI",Saline
6,David Dowell,S,SR,6-1,209,"North Ridgeville, OH",St. Edward
10,Michael Dowell,S,FR,6-1,215,"North Ridgeville, OH",St. Edward
67,J.D. Duplain,OL,FR,6-3,289,"Strongsville, OH",Strongsville
53,Peter Fisk,LB,JR,6-1,231,"Grand Rapids, MI",Deerfield Academy
5,Michael Fletcher,DE,FR,6-6,259,"Flint, MI",Carman-Ainsworth
20,Emmanuel Flowers,CB,SO,6-1,186,"Chino Hills, CA",Ayala
38,Luke Fulton,LB,FR,6-2,230,"Youngstown, OH",Cardinal-Mooney
18,Kalon Gervin,CB,FR,5-11,186,"Detroit, MI",Cass Technical
88,Trenton Gillison,TE,FR,6-4,249,"Pickerington, OH",Pickerington Central
81,Parks Gissinger,TE,FR,6-2,238,"Los Angeles, CA",Chaminade College Prep
98,Cole Hahn,K,SO,5-10,198,"West Des Moines, IA",Valley
30,Tanner Hallock,LB,SO,6-1,226,"Grand Rapids, MI",Forest Hills Central
28,Tate Hallock,S,FR,6-4,183,"Grand Rapids, MI",Forest Hills Central
97,Maverick Hansen,DT,FR,6-4,280,"Farmington Hills, MI",Harrison
5,Jake Hartbarger,P,SR,6-4,194,"Waterville, OH",Anthony Wayne
45,Noah Harvey,LB,SO,6-3,229,"Hartland, WI",Arrowhead
4,C.J. Hayes,WR,SO,6-1,206,"Bowling Green, KY",South Warren
3,Xavier Henderson,S,SO,6-1,203,"Reynoldsburg, OH",Pickerington Central
54,Jack Henrichs,OL,SO,6-6,292,"Mequon, WI",Homestead
11,Connor Heyward,RB,JR,6-0,233,"Duluth, GA",Peachtree Ridge
70,Tyler Higby,OL,SR,6-5,300,"Houston, TX",The Kinkaid School
89,Jalen Hunt,DT,FR,6-2,311,"Belleville, MI",Belleville
97,Tyler Hunt,K,SO,6-2,228,"Gobles, MI",Gobles
73,Jacob Isaia,OL,FR,6-3,305,"Las Vegas, NV",Bishop Gorman
