No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
2,DeMarkus Acy,DB,SR,6-2,195,"Dallas, TX",Wilmer-Hutchins
45,Franklin Agbasimere,DL,SR,6-2,245,"Lagos, Nigeria",Montverde Academy
1,Tyler Badie,RB,SO,5-9,190,"Memphis, TN",Briarcrest Christian
33,Chad Bailey,LB,FR,6-0,240,"Missouri City, TX",Ridge Point
20,Simi Bakare,RB,SO,5-11,205,"Round Rock, TX",Cedar Ridge
11,Barrett Banister,WR,SO,6-0,190,"Fayetteville, AR",Fayetteville
8,Connor Bazelak,QB,FR,6-3,205,"Dayton, OH",Archbishop Alter
18,Joshuah Bledsoe,S,JR,6-0,205,"Houston, TX",Dekaney
32,Nick Bolton,LB,SO,6-0,235,"Frisco, TX",Lone Star
10,C.J. Boone,WR,FR,6-3,170,"St. Louis, MO",Parkway North
79,Larry Borom,OL,SO,6-6,340,"Bloomfield Hills, MI",Brother Rice
36,Joe Britton,LB,SO,6-1,225,"Rogers, AR",Bentonville
98,Logan Brock,K,FR,6-1,205,"Springfield, MO",Springfield Catholic
25,Jamal Brooks,LB,JR,6-1,240,"Bessemer, AL",Bessemer City
92,Z'Core Brooks,DL,FR,6-5,250,"Dallas, TX",Woodrow Wilson
7,Stacy Brown,DB,FR,6-2,190,"Duncanville, TX",Duncanville
7,Kelly Bryant,QB,SR,6-3,225,"Calhoun Falls, SC",Wren
66,Jack Buford,OL,FR,6-4,305,"St. Louis, MO",Lutheran North
71,D.J. Bullard,OL,FR,6-3,305,"Fenton, MO",Rockwood Summit
24,Ishmael Burdine,DB,FR,6-1,180,"Slidell, LA",Slidell
97,Akial Byers,DL,JR,6-4,280,"Fayetteville, AR",Fayetteville
88,Logan Christopherson,TE,SO,6-6,245,"Lemont, IL",Lemont
38,Bryson Clayton,LB,FR,6-3,215,"Columbia, MO",Rock Bridge
55,Trystan Colon-Castillo,OL,JR,6-4,315,"Webb City, MO",Webb City
