No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
21,Chad Alexander,RB,FR,5-6,164,"New Orleans, LA",Landry-Walker HS
90,Erin Austin,DL,SR,6-2,269,"Vallejo, CA",Laney College/Heritage HS
15,Letayveon Beaton,S,JR,5-9,200,"St. Petersburg, FL",Hutchinson CC/Boca Ciega HS
84,Erik Beilman,TE,SR,6-4,255,"San Antonio, TX",Brandeis HS
17,Ben Bertram,DL,FR,6-2,250,"Albuquerque, NM",Sandia HS
52,Aaron Blackwell,DL,SR,6-3,288,"Peoria, AZ",Mesa CC/Liberty HS
13,Nico Bolden,S,SO,6-3,210,"St. Paul, MN",Woodbury HS
73,Cade Briggs,OL,FR,6-3,275,"Las Vegas, NV",Bishop Gorman HS
21,Brandon Burton,S,JR,6-1,200,"Los Angeles, CA",UCLA/Junipero Serra HS
6,Bryson Carroll,RB,SO,5-7,185,"San Antonio, TX",Roosevelt HS
60,Colston Chacon,OL,FR,6-4,290,"La Habra, CA",Corona Del Mar HS
34,Bobby Cole,RB,SO,5-9,199,"Chatsworth, CA",Sierra Canyon HS
28,Tony Collier,CB,JR,5-11,170,"Little Rock, AR",College of the Canyons/North Little Rock HS
56,Austin Cook,OL,JR,6-5,300,"Fort Scott, KS",Butler CC/Fort Scott HS
10,Eric Cuffee,CB,JR,6-0,190,"Waco, TX",Trinity Valley CC/Texas/Waco HS
92,Omar Darame,DL,FR,6-3,243,"Arlington, TX",Sam Houston HS
28,Ahmari Davis,RB,SR,5-10,210,"Oakland, CA",Laney College/James Logan HS
15,Q' Drennan,WR,JR,6-2,194,"El Paso, TX",Americas HS
96,Tyson Dyer,P,JR,6-2,198,"Queensland, Australia",Palomar College/Palm Beach Currumbin State HS
34,Jared EnRico,LS,JR,6-1,195,"La Mirada, CA",La Mirada HS
87,Andrew Erickson,WR,FR,6-2,185,"Albuquerque, NM",Manzano HS
79,Chris Estrella,OL,SR,6-4,294,"San Jacinto, CA",Mt. San Jacino JC/San Jacinto HS
93,Nahje Flowers,DL,JR,6-3,278,"Los Angeles, CA",Dorsey HS
27,Nick Foster,WR,SO,6-0,180,"Orinda, CA",Santa Barbara CC/Miramonte HS
38,Matt French,LB,JR,6-1,224,"Crestview, FL",Crestview HS
99,Ben Gansallo,DL,JR,6-2,291,"Missouri City, TX",Blinn JC/Dulles HS
16,Connor Genal,QB,FR,6-5,220,"Santa Fe Springs, CA",St. Paul HS
32,Micah Gray,RB,SO,5-11,191,"Clovis, NM",Clovis HS
23,Jay Griffin IV,WR,JR,5-10,159,"Huntsville, TX",Huntsville HS
10,Trae Hall,QB,FR,6-2,195,"Henderson, TX",Henderson HS
74,Daniel Hammons,OL,SO,6-4,290,"Joshua, TX",West Texas A&M/Godley HS
23,Reco Hannah,LB,JR,6-2,222,"Wedowee, AL",Highland CC/Randolph County HS
78,Louis Harden,DL,FR,6-1,290,"San Juan Capistrano, CA",San Clemente HS
97,Justin Harris,DL,SO,6-6,251,"Lutcher, LA",Hutchinson CC/Baylor/East Ascension HS
33,Alex Hart,LB,SR,6-3,235,"Prior Lake, MN",Prior Lake HS
20,Jacobi Hearn,LB,JR,6-0,230,"Jackson, MS",Mississippi Gulf Coast CC/Clinton HS
32,Johnny Hernandez,S,SR,5-10,187,"Temecula, CA",Saddleback JC/Great Oak HS
86,Kyle Hester,TE,FR,6-4,230,"Gilbert, AZ",Highland HS
24,Corey Hightower,S,JR,5-11,176,"Huntsville, TX",Huntsville HS
18,Dylan Horton,LB,SO,6-4,222,"Frisco, TX",Frisco HS
89,Beau Hott,LS,SR,6-4,225,"Plano, TX",Plano HS
12,Brandt Hughes,QB,JR,6-2,226,"Chico, CA",Butte JC/Pleasant Valley HS
12,Antonio Hunt,CB,SO,5-10,164,"Lancaster, CA",College of the Canyons/Paraclete HS
35,Dequez Irving,LB,SR,5-10,227,"Wichita, KS",Wichita East HS
55,Radson Jang,OL,SO,6-1,270,"Honolulu, HI",Army Prep/Kamehameha HS
66,Jacob Jankoviak,OL,JR,6-2,285,"Corona, CA",Fullerton JC/Centennial HS
85,Kyle Jarvis,TE,JR,6-4,250,"Antioch, CA",Contra Costa College/Antioch HS
2,Lawrence Johnson,RB,FR,5-11,205,"Waunakee, WI",Waunakee HS
33,Javohn Jones,RB,SR,5-11,200,"Albuquerque, NM",La Cueva HS
4,Sheriron Jones,QB,SR,6-3,200,"Moreno Valley, CA",Mt. San Jacinto JC/Tennessee/Rancho Verde HS
82,"Jeffrey Jones, Jr.",TE,SR,6-5,236,"St. Louis, MO",Bakersfield College/Eastern Illinois/O'Fallon Township HS
47,Dylan Kelly-Romero,K,SR,5-10,192,"Los Lunas, NM",Los Lunas HS
25,Marquae Kirkendoll,S,FR,6-0,171,"Chicago, IL",Simeon HS
48,Aiden Kneller,LS,FR,6-1,206,"Englewood, CO",Cherry Creek HS
9,Jordan Kress,WR,JR,6-0,197,"Loveland, CO",Butte JC/Mountain View HS
