No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
65,Zach Adams,OL,JR,6-6,320,"Fredricksburg, VA",Riverbend
58,Madison Akamnonu,OL,SR,6-5,310,"Arlington, TX",Bowie
56,Jack Anderson,OL,JR,6-5,320,"Frisco, TX",Frisco
52,Jackson Baggett,LB,FR,6-3,200,"Bushland, TX",Bushland
24,Adam Beck,DB,SO,6-2,205,"Richmond, TX",George Ranch/Minnesota
37,Xavier Benson,LB,FR,6-3,220,"Texarkana, TX",Pleasant Grove
42,John Berard,DS,SO,6-3,240,"Annapolis, MD",Dematha/City College of San Francisco
10,Alan Bowman,QB,SO,6-3,210,"Grapevine, TX",Grapevine
30,Cole Boyd,DB,FR,6-3,180,"Boerne, TX",Boerne
28,Darien Boyd,DB,FR,5-11,190,"Wichita Falls, TX",Rider
97,Tony Bradford Jr.,DL,FR,6-1,270,"Houston, TX",North Shore
67,Troy Bradshaw,OL,FR,6-6,280,"Mineral Wells, TX",Mineral Wells
1,Jordyn Brooks,LB,SR,6-1,245,"Houston, TX",Stratford
79,Travis Bruffy,OL,SR,6-6,305,"Missouri City, TX",Fort Bend Ridge Point
29,Devyn Butler,DB,FR,5-10,180,"Allen, TX",Allen
18,Cameron Cantrell,WR,FR,6-1,195,"Whitehouse, TX",Whitehouse
41,Tyler Carr,TE,SO,6-4,240,"Amarillo, TX",Canadian
82,KeSean Carter,WR,SO,5-11,180,"The Woodlands, TX",The Woodlands
63,Aaron Castro,OL,FR,6-3,285,"Hutto, TX",Hutto
48,Blu Caylor,LB,FR,6-2,220,"Stephenville, TX",Stephenville
85,Trey Cleveland,WR,FR,6-4,190,"Arlington, TX",Arlington
3,Douglas Coleman III,DB,SR,6-1,200,"Zachary, LA",Zachary
22,Seth Collins,WR,SR,6-3,195,"San Diego, CA",Granite Hills/Oregon State
49,Chance Cover,LB,FR,6-2,235,"Fort Worth, TX",Nolan Catholic
35,Patrick Curley,LB,FR,6-2,220,"Wagoner, OK",Wagoner
50,Cole Daggett,LB,FR,6-0,220,"Fort Stockton, TX",Fort Stockton
17,"John Davis, Jr.",DB,SO,6-1,190,"Euless, TX",Trinity
73,Dawson Deaton,OL,SO,6-6,305,"Frisco, TX",Frisco
7,Jett Duffey,QB,JR,6-1,195,"Mansfield, TX",Lake Ridge
32,Caleb Durham,WR,FR,5-10,175,"San Antonio, TX",Christian
20,Kosi Eldridge,LB,SO,6-1,215,"Denton, TX",Denton Ryan/Kilgore J.C.
43,Malik Essilfie,DL,SR,6-3,275,"Houston, TX",Mayde Creek/Henderson State
46,Seth Ette,DB,SO,6-1,190,"Mansfield, TX",Lake Ridge/Southeast Oklahoma State
84,Erik Ezukanma,WR,FR,6-3,210,"Fort Worth, TX",Timber Creek
74,Will Farrar,OL,SO,6-5,310,"Richmond, TX",Travis
23,Damarcus Fields,DB,JR,6-0,200,"Taylor, TX",Taylor
64,Clayton Franks,OL,FR,6-4,295,"Mansfield, TX",Legacy
47,Ethan Frasier,LB,FR,6-1,225,"Highlands Ranch, CO",Thunder Ridge
7,Adrian Frye,DB,SO,6-1,195,"Houston, TX",Eisenhower
87,Sterling Galban,WR,FR,5-11,175,"Burnet, TX",Burnet
10,Jonathan Garibay,PK,JR,6-0,215,"Rubidoux, CA",Rubidoux/Riverside City College
94,Lonzell Gilmore,DL,SR,6-3,260,"Spring, TX",Spring
88,Simon Gonzalez,TE,FR,6-4,235,"Magnolia, TX",Magnolia
16,Logan Greene,QB,FR,6-3,205,"Syder, TX",Snyder
26,Ta'Zhawn Henry,RB,SO,5-7,185,"Houston, TX",Lamar
27,Alex Hogan,DB,FR,5-11,180,"Houston, TX",Lamar
53,Eli Howard,DL,JR,6-4,275,"San Angelo, TX",Central/North Texas
95,Jaylon Hutchings,DL,FR,6-0,295,"Forney, TX",Forney
99,Gilbert Ibeneme,DL,FR,6-3,275,"Pearland, TX",Pearland
22,Ja'Marcus Ingram,DB,JR,6-2,185,"Dallas, TX",South Oak Cliff/Utah State
41,Luis Jaramillo,DB,FR,6-0,175,"Austin, TX",Lake Travis
6,Riko Jeffers,LB,JR,6-2,240,"Garland, TX",Sachse
29,Kendell Jimerson,WR,FR,5-10,170,"Rockwall, TX",Heath
92,Noah Jones,DL,JR,6-3,285,"Moore, OK",Southmoore
40,Connor Killian,FB,JR,6-2,240,"Keller, TX",Keller
15,Travis Koontz,TE,JR,6-5,245,"Austintown, OH",Boardman/Ventura C.C.
89,Caden Leggett,WR,FR,6-1,185,"Georgetown, TX",Georgetown
16,Thomas Leggett,DB,JR,6-0,200,"Navarre, FL",Navarre/Allan Hancock College
77,Tre'Jon Lewis,DL,FR,6-4,240,"Manor, TX",Manor
62,Gabriel Lozano,PK,FR,6-0,165,"Austin, TX",Westlake
13,McLane Mannix,WR,JR,5-10,195,"Midland, TX",Midland/Nevada
59,Demarcus Marshall,OL,FR,6-3,320,"Grand Prairie, TX",Grand Prairie
3,Xavier Martin,WR,SO,6-0,190,"Cibolo, TX",Steele
32,Tyrique Matthews,LB,FR,5-11,220,"Houston, TX",Eisenhower
91,Nelson Mbanasor,DL,SO,6-3,285,"Pflugerville, TX",Hendrickson
98,Nick McCann,DL,JR,6-2,310,"Texarkana, AR",Arkansas City
47,Mason McHorse,TE,FR,6-4,230,"Grapevine, TX",Grapevine
8,Maverick McIvor,QB,FR,6-3,195,"San Angelo, TX",Central
31,Austin McNamara,PK,FR,6-4,175,"Gilbert, AZ",Highland
8,Zech McPhearson,DB,JR,5-11,195,"Columbia, MD",Riverdale Baptist/Penn State
89,Houston Miller,DL,JR,6-4,275,"Keller, TX",Keller
57,Ty Morrow,OL,SO,6-4,275,"Canadian, TX",Canadian
31,Dax Neece,WR,FR,-,195,"Albany, TX",Albany
39,Michael Nelson,LB,SO,5-11,205,"San Antonio, TX",Brandeis
42,Chux Nwabuko III,RB,FR,5-6,150,"Hutto, TX",Hutto
50,Landon O'Connor,LS,SO,6-2,210,"Edna, TX",Edna
72,Landon Peterson,OL,FR,6-6,285,"Odessa, TX",Permian
21,Evan Rambo,LB,JR,6-4,220,"Los Angeles, CA",La Salle/Cal
35,Mark Richardson,WR,SO,6-0,190,"Allen, TX",Allen
86,Dalton Rigdon,WR,SO,5-11,170,"Perryton, TX",Perryton
54,Luke Rizzo,LS,FR,6-0,215,"The Woodlands, TX",The Woodlands
53,Trevor Roberson,OL,FR,6-11,345,"Wellington, TX",Wellington
34,Bryce Robinson,LB,FR,6-0,240,"Sachse, TX",Sachse
83,Myller Royals,WR,FR,6-5,180,"Abilene, TX",Cooper
93,John Scott III,DL,FR,6-3,275,"Hitchcock, TX",Hitchcock
59,Zackery Semrak,DL,SO,6-2,280,"Southlake, TX",Carroll
5,Armand Shyne,RB,SR,5-11,210,"Oakland, CA",Skyline/Utah
71,Bailey Smith,OL,SR,6-5,295,"Lucas, TX",Lovejoy
4,Desmon Smith,DB,SR,6-2,195,"Odessa, TX",Permian HS
78,Terence Steele,OL,SR,6-6,310,"Cibolo, TX",Steele
33,Brayden Stringer,LB,JR,6-2,220,"Cypress, TX",Cypress Ranch
18,Christian Taylor,LB,SR,6-2,235,"Houston, TX",Jersey Village
25,Dadrion Taylor,DB,FR,5-11,180,"Oklahoma City, OK",Carl Albert
61,Troy Te'o,DL,SO,6-2,270,"Lubbock, TX",Cooper/Eastern New Mexico
80,Kevin Terry,WR,FR,6-1,195,"Little Elm, TX",Little Elm
11,Donta Thompson,TE,SR,6-5,245,"Ennis, TX",Ennis
28,SaRodorick Thompson,RB,FR,6-0,210,"Irving, TX",Ranchview
2,RJ Turner,WR,SR,6-2,215,"Natchitoches, LA",Central/Louisiana-Monroe
17,Jackson Tyner,QB,SR,6-5,230,"Edgewood, TX",Edgewood/Rice
9,T.J. Vasher,WR,JR,6-6,210,"Wichita Falls, TX",Rider
68,Casey Verhulst,OL,SO,6-6,290,"Plano, TX",Plano East
48,Cody Waddell,P,JR,6-1,205,"Elkton, MD",Northeast/Lincoln University
96,Broderick Washington Jr.,DL,SR,6-3,305,"Longview, TX",Longview
51,Wyatt Watson,LB,FR,6-3,200,"Rockwall, TX",Heath
19,Dequanteous Watts,DB,FR,6-2,165,"Atlanta, GA",Maynard Jackson
30,Jax Welch,RB,JR,5-9,185,"Odessa, TX",Permian
