No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
67,Allan Adams,OL,FR,6-4,310,"Jacksonville, FL",University Christian
84,Ke'von Ahmad,WR,FR,6-0,195,"Colleyville, TX",Heritage
2,Otis Anderson,RB,JR,5-11,174,"Jacksonville, FL",University Christian
39,Palmer Bachelder,DB,FR,5-11,190,"Augusta, GA",Augusta Day Prep
64,Kyle Back,OL,SO,6-4,290,"Lutz, FL",Cambridge Christian
35,Dedrion Bacote-Sweat,DL,JR,6-2,231,"Virginia Beach, VA",Ocean Lakes
5,Jarrad Baker,WR,FR,5-11,180,"Melbourne, FL",Eau Galle
39,Dylan Barnas,PK,SR,5-8,175,"Merritt Island, FL",Merritt Island/Mars Hill
95,Malik Barrow,DL,JR,6-3,255,"Tampa, FL",IMG Academy/Ohio State
71,Brett Bell,OL,JR,6-6,290,"Wichita, KS",Bishop Carroll/Hutchinson CC
31,Kyle Benkel,WR,JR,5-9,184,"Winter Park, FL",Winter Park
45,Elijah Benoit,DB,SO,6-0,170,"Brandon, FL",Seffner Christian/Florida Tech
56,Lamarius Benson,OL,FR,6-3,321,"Covington, GA",Eastside
15,Tatum Bethune,LB,FR,6-1,215,"Miami, FL",Central
99,Tyrese Black,DL,FR,6-5,290,"McDonough, GA",Eagles Landing Christian Academy
61,Parker Boudreaux,OL,JR,6-4,301,"Winter Garden, FL",Bishop Moore/Notre Dame
69,Nate Brady,OL,FR,6-4,290,"Jacksonville, FL",Sandalwood
13,Bryon Brown,DB,JR,6-1,176,"Miami, FL",Norland
77,Jake Brown,OL,SR,6-3,305,"Encinitas, CA",La Costa Canyon
46,Davonchae Bryant,DL,FR,6-7,295,"Pensacola, FL",Pensacola
28,Shawn Burgess-Becker,LB,SR,6-2,224,"Miami, FL",Monarch/Alabama
57,Derek Burns,LB,FR,6-3,210,"Plantation, FL",American Heritage
92,Austin Camden,DL,SO,6-3,270,"Altamonte Springs, FL",Lyman
5,Randy Charlton,DL,SO,6-3,258,"Miami, FL",Southridge
97,Mason Cholewa,DL,SO,6-7,305,"McKees Rocks, PA",Montour
14,Nevelle Clarke,DB,SR,6-1,187,"Miami, FL",Taravella
33,Trillion Coles,RB,FR,5-8,180,"Orlando, FL",Bishop Moore
3,Antwan Collier,DB,JR,6-3,195,"Miami, FL",Miami Southridge
70,Edward Collins,OL,FR,6-6,310,"Birmingham, AL",Ramsay
78,James Collins,OL,FR,6-5,311,"Chesapeake, VA",Oscar Frommel Smith
45,Jason Colubiale,WR,SO,6-0,185,"Daytona Beach, FL",Mainland/Mercyhurst
58,Dallaz Corbitt,DL,FR,6-5,255,"Columbia, SC",Gray Collegiate Academy
63,Josh Cox,OL,FR,6-4,305,"New Smyrna Beach, FL",New Smyrna Beach
2,Raymond Cutts,DL,FR,6-2,260,"Orlando, FL",Jones
13,Gabriel Davis,WR,JR,6-3,212,"Sanford, FL",Seminole
22,Kalia Davis,DL,SO,6-2,285,"Pensacola, FL",West Florida Tech
90,Chris DeLoach,DL,SR,6-5,265,"Columbus, MS",Columbus/East Central CC
38,Darious East,LB,SO,5-8,220,"Orlando, FL",Lake Nona
79,Trevor Elbert,OL,SR,6-5,312,"Rockwall, TX",Heath/Ventura CC
44,Nate Evans,LB,SR,6-1,241,"Waggaman, LA",John Curtis
56,Filippo Fort,LB,FR,6-0,230,"Clearwater, FL",Clearwater Academy International
11,Dillon Gabriel,QB,FR,6-0,186,"Mililani, HI",Mililani
21,Derek Gainous,DB,SO,6-0,183,"Miami, FL",Miami
47,Jonathan Gebka,DB,JR,6-1,177,"Boca Raton, FL",Olympic Heights
10,Eriq Gilyard,LB,SO,5-11,228,"Jacksonville, FL",Trinity Christian Academy
22,Damarius Good,RB,FR,5-11,185,"Altamonte Springs, FL",Lake Brantley
54,Cam Goode,DL,FR,6-2,295,"Washington, DC",St. John's College/Virginia Tech
23,Tay Gowan,DB,JR,6-2,185,"Covington, GA",Newton/Butler CC
27,Richie Grant,DB,JR,6-0,194,"Fort Walton Beach, FL",Choctawhatchee
74,Tony Gray,OL,SO,6-5,311,"Loganville, GA",Grayson/Ole Miss
98,Kam'ron Green,DL,FR,6-3,270,"Bradenton, FL",Southeast
91,Noah Hancock,DL,JR,6-4,290,"Beckley, WV",Woodrow Wilson/ASA
81,Alex Harris,WR,JR,6-0,192,"Kearney, NE",Kearney
87,Jacob Harris,WR,SR,6-5,211,"Palm Harbor, FL",Palm Harbor University/Western Kentucky
