No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
23,Praise Amaewhule,DE,FR,6-3,245,"Katy, TX",Katy Taylor HS
22,Ronald Awatt,RB,JR,6-0,215,"Lubbock, TX",Frenship HS
40,Gavin Baechle,K,SO,6-1,160,"McKinney, TX",McKinney HS
30,Deaumonjae Banks,DB,SO,6-1,195,"El Paso, TX",Chapin HS
8,Miles Banks,DB,SO,6-1,165,"Missouri City, TX",Fort Bend Elkins
55,Gamaliel 'Tres' Barboza,OL,SO,6-4,295,"Castroville, TX",-
88,Rashad Beecham,TE,SO,6-2,235,"Cibolo, TX",Allan Hancock College
90,Dakari Bickham,DE,JR,6-3,280,"Grand Rapids, MI",-
44,Tanner Boston,LS,FR,6-1,250,"Cypress, TX",Cypress Ranch
16,Isaiah Bravo,QB,JR,6-2,200,"West Covina, CA",-
24,McKel Broussard,DB,FR,6-0,185,"Sherman Oaks, CA",Notre Dame HS
15,Calvin Brownholtz,QB,FR,6-2,200,"Carmichael, CA",Jesuit HS
87,Christian Buckingham,TE,SR,6-4,280,"Tafuna, American Samoa",Seoul American
72,Maximus Buckingham,OL,FR,6-2,300,"Tafuna, American Samoa",Immanuel Christian Academy
85,Sani Buckingham,DT,JR,6-4,292,"Tafuna, American Samoa",Home School
9,Alan Busey,WR,SR,6-1,195,"Anchorage, AK",Robert Service HS
63,Jeremiah Byers,OL,FR,6-5,300,"Austin, TX",L.C. Anderson HS
22,Josh Caldwell,DB,JR,6-0,170,"Long Beach, CA",-
11,Denzel Chukwukelu,DT,SR,6-4,290,"Rockwall, TX",Rockwall Heath HS
62,Cameron Cooper,OL,FR,6-5,265,"Aurora, CO",Grandview HS
2,Devaughn Cooper,WR,JR,5-10,175,"Los Angeles, CA",-
6,Jacob Cowing,WR,FR,5-11,175,"Maricopa, AZ",Maricopa HS
46,Mitchell Crawford,P,SR,6-0,185,"Townsville, Australia",-
80,Camryn Curtis Dozier,WR,SR,6-1,175,"Houston, TX",-
26,Walter Dawn Jr.,WR,JR,5-6,165,"Mesquite, TX",Poteet HS
73,Bobby DeHaro,OL,SO,6-4,300,"El Paso, TX",Montwood HS
60,James Facio,OL,FR,6-3,300,"El Paso, TX",El Paso HS
21,Joshua Fields,RB,JR,5-9,195,"El Paso, TX",Americas HS
24,Reynaldo Flores,RB,SO,6-0,205,"El Paso, TX",Ysleta HS
44,Gabe Flynn,LB,JR,6-0,210,"Tucson, AZ",-
26,Joshua Forester,DB,SO,6-0,190,"Dallas, TX",Dallas Lutheran
47,Stephen Forester,LB,SR,6-1,235,"Dallas, TX",Dallas Christian HS
17,Justin Garrett,WR,JR,6-0,195,"Compton, CA",-
65,Derron Gatewood,OL,SR,6-2,300,"Odessa, TX",Permian HS
10,TJ Goodwin,QB,FR,6-5,200,"Houston, TX",Cypress Falls HS
