No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
87,Amir Abdur-Rahman,WR,SO,6-4,210,"Atlanta, GA",Mays
17,Feleti Afemui,LB,SO,6-3,243,"Kahului, HI",Maui
16,BJ Anderson,DB,SO,6-1,184,"Andalusia, AL",Andalusia
18,Colin Anderson,LB,SO,6-2,228,"Florence, AL",Brooks
78,Bryce Bailey,OL,SO,6-5,305,"Newburgh, IN",Castle
84,Justin Ball,TE,FR,6-6,230,"Glenn Dale, MD",Gonzaga Prep
69,Brayden Bapst,OL,FR,6-6,270,"Washington, DC",St. John's College
38,Gil Barksdale,S,SR,5-10,180,"Solon, OH",Solon
91,Drew Birchmeier,DL,JR,6-4,300,"Midlothian, VA",Cosby
51,Luke Blanton,LB,SO,6-2,225,"Dallas, TX",Highland Park
14,Devin Boddie Jr.,WR,FR,5-11,178,"Memphis, TN",Whitehaven
40,Reece Boggs,TE,FR,6-4,235,"Cincinnati, OH",Moeller
83,C.J. Bolar,WR,SO,6-1,190,"Purvis, MS",Purvis
81,James Bostic,WR,SO,6-3,218,"Fort Lauderdale, FL",Cardinal Gibbons
12,Jack Bowen,QB,SO,6-0,185,"Grand Rapids, MI",Catholic Central
86,Ben Bresnahan,TE,FR,6-4,245,"Cumming, GA",West Forsyth
21,Keyon Brooks,RB,FR,6-1,202,"Powder Springs, GA",Kennesaw Mountain
52,Alex Brown,LB,SO,6-2,235,"San Antonio, TX",Claudia Taylor Johnson
43,Tre' Brown,LB,FR,5-11,205,"Loganville, GA",Grayson
61,Jonah Buchanan,OL,SO,6-4,285,"Honolulu, HI",Iolani
44,Will Clark,FB,SO,6-1,228,"Andalusia, AL",Andalusia
74,Cole Clemens,OL,JR,6-6,320,"South Jordan, UT",Bingham
96,Nate Clifton,DL,FR,6-5,260,"La Vergne, TN",Brentwood Academy
77,Devin Cochran,OL,JR,6-7,318,"Norcross, GA",Greater Atlanta Christian
42,Camden Coleman,DB,SO,6-1,202,"Champaign, IL",University Laboratory
37,Pierson Cooke,P,SO,6-0,200,"Bloomfield Hills, MI",Cranbrook-Kingswood
2,Frank Coppet,S,JR,5-11,192,"Fort Lauderdale, FL",St. Thomas Aquinas
3,Tae Daley,S,JR,6-0,202,"Warner Robins, GA",Northside
55,Daevion Davis,DL,FR,6-2,302,"Madison, AL",James Clemens
72,Dan Dawkins,OL,FR,6-3,305,"Staten Island, NY",The Peddie School
85,Joel DeCoursey,TE,FR,6-4,235,"Zionsville, IN",Zionville Community
12,Brayden DeVault-Smith,LB,SO,6-3,230,"Nashville, TN",Pearl-Cohn
20,Tre' Douglas,DB,FR,6-2,202,"McDonough, GA",Eagle Landing Christian
49,Zach Drevno,SN,SO,6-0,220,"Saline, MI",Saline
99,Stone Edwards,DL,SO,6-5,270,"Hillsborough, NC",Orange
47,Wes Farley,PK,FR,6-1,180,"New Canaan, CT",New Canaan
71,Donald Fitzgerald,OL,FR,6-8,300,"Nashville, TN",Hillsboro
28,Allan George,DB,SO,6-1,185,"Andalusia, AL",Andalusia
53,Rowan Godwin,OL,SR,6-4,305,"Dothan, AL",Providence Christian
92,Derek Green,DL,FR,6-5,310,"Richlands, NC",Southwest
98,Ryley Guay,PK,SR,5-10,191,"Naperville, IL",Benet Academy
15,Elijah Hamilton,DB,JR,6-2,205,"Roswell, GA",Blessed Trinity Catholic
13,Brendon Harris,S,FR,6-1,208,"Chattanooga, TN",Baylor School
11,Justin Harris,S,FR,6-1,180,"Attalla, AL",Etowah
88,Jayden Harrison,WR,FR,5-10,192,"Nashville, TN",Pearl-Cohn
18,Mo Hasan,QB,JR,6-3,205,"Miami, FL",Dillard
4,Randall Haynie,DB,SO,6-0,185,"Fort Lauderdale, FL",Cardinal Gibbons
21,Kenny Hebert,LB,JR,6-4,232,"New Orleans, LA",Holy Cross
62,Julian Hernandez,OL,FR,6-4,300,"Davie, FL",St. Thomas Aquinas
44,Christian James,DL,FR,6-4,255,"Memphis, TN",Christian Brothers
33,Dashaun Jerkins,S,FR,6-0,190,"Woodbridge, VA",Woodbridge
6,Gabe Jeudy,DB,FR,6-1,180,"Charlotte, NC",Ardrey Kell
7,Cam Johnson,WR,FR,6-0,190,"Brentwood, TN",Brentwood Academy
89,Braden Kopp,TE,JR,6-5,270,"Houston, TX",Houston Christian
35,Malik Langham,DL,FR,6-5,290,"Huntsville, AL",Lee
16,Kalija Lipscomb,WR,SR,6-1,201,"New Orleans, LA",Jesuit
64,Carlton Lorenz,OL,JR,6-4,290,"Studio City, CA",Bishop Alemany
56,Brandon Maddox,DL,JR,6-3,290,"North Augusta, SC",North Augusta
23,Jaylen Mahoney,DB,FR,5-11,183,"Rock Hill, SC",South Pointe
45,Cody Markel,TE,SR,6-5,250,"Middleton, WI",Middleton
3,Ja'Veon Marlow,RB,FR,5-11,190,"Winter Haven, FL",Winter Haven
30,Salua Masina,LB,FR,6-3,225,"Salt Lake City, UT",Brighton
41,Elijah McAllister,LB,FR,6-6,258,"Rumson, NJ",Rumson Fair Haven
50,Sean McMoore,OL,JR,6-4,292,"Kaploei, HI",Kaploei
59,Scott Meyer,SN,SR,6-1,235,"Alpharetta, GA",Blessed Trinity Catholic
63,Grant Miller,OL,SO,6-4,295,"Fort Lauderdale, FL",St. Thomas Aquinas
48,Andre Mintze,LB,JR,6-3,242,"Philadelphia, PA",Imhotep Institute
7,Dimitri Moore,LB,SO,6-3,230,"Cedar Hill, TX",Cedar Hill
6,Riley Neal,QB,SR,6-6,225,"Yorktown, IN",Yorktown
10,Dayo Odeyingbo,DL,JR,6-6,275,"Irving, TX",Carrollton Ranchview
24,Alston Orji,LB,SO,6-2,240,"Rockwall, TX",Rockwall
26,Anfernee Orji,S,FR,6-2,222,"Rockwall, TX",Rockwall
88,Michael Owusu,LB,SO,6-5,235,"Oxnard, CA",Oaks Christian
8,Lashawn Paulino-Bell,LB,SO,6-4,245,"Fort Lauderdale, FL",St. Thomas Aquinas
9,Caleb Peart,LB,SR,6-1,235,"Chandler, AZ",Hamilton
19,Chris Pierce,WR,JR,6-4,225,"Smithfield, VA",Smithfield
80,Jared Pinkney,TE,SR,6-4,260,"Norcross, GA",Norcross
25,Mitchell Pryor,RB,SO,6-1,211,"Darien, CT",Darien
22,Austin Quillen,S,JR,5-11,195,"Jenks, OK",Jenks
94,Rutger Reitmaier,DL,SO,6-3,270,"Nashville, TN",Lipscomb Academy
39,Javan Rice,PK,FR,6-2,190,"Miami, FL",Belen Jesuit Prep
66,Cameron Robinson,DL,JR,6-0,290,"Mobile, AL",Murphy
57,Josiah Sa'o,DL,JR,6-2,295,"San Diego, CA",Kearney
79,Sean Sadler,DL,SO,6-3,238,"Oklahoma City, OK",Edmond Memorial
27,Tre Sands,DB,FR,5-11,170,"San Antonio, TX",Johnson
10,Gavin Schoenwald,TE,FR,6-4,238,"Brentwood, TN",Brentwood Academy
11,Justice Shelton-Mosley,WR,SR,5-10,196,"Sacramento, CA",Capital Christian
95,Harrison Smith,P,SO,5-10,186,"Franklin, TN",Brentwood Academy
46,Keithian Starling,WR,JR,6-0,184,"Nashville, TN",Nashville Christian
29,Brett Starr,LB,JR,6-1,228,"Brentwood, TN",Montgomery Bell Academy
54,Tyler Steen,OL,FR,6-5,305,"Miami, FL",St. Thomas Aquinas
73,Jonathan Stewart,OL,SO,6-7,326,"Lawrenceville, GA",Mountain View
97,Lorenza Surgers,DL,FR,6-5,250,"Cary, NC",Panther Creek
93,Tolu Thomas-Ailara,DL,FR,6-3,220,"Chicago Heights, IL",Marian Catholic
90,Cameron Tidd,DL,JR,6-3,296,"Greenwood, IN",Center Grove
9,JR Tran-Reno,RB,FR,6-1,206,"Birmingham, AL",Briarwood Christian
5,Ke'Shawn Vaughn,RB,SR,5-10,218,"Nashville, TN",Pearl-Cohn
32,Jamauri Wakefield,RB,JR,6-1,220,"Jacksonville, FL",Providence
2,Deuce Wallace,QB,JR,6-2,212,"Sevierville, TN",Sevier County
15,Allan Walters,QB,FR,6-2,210,"Chatham, NJ",The Peddie School
65,Michael Warden,OL,SO,6-2,287,"Loveland, OH",Summit Country Day
31,Cam Watkins,DB,SR,6-0,203,"Nashville, TN",Pearl-Cohn
36,Jared Wheatley,P,FR,6-1,195,"Indian Trail, NC",Porter Ridge
35,Kyle White,TE,SO,6-0,210,"Scottsdale, AZ",Notre Dame Prep
5,DC Williams,DB,JR,5-11,192,"Miami, FL",St. Thomas Aquinas
13,Jackson Winrow,WR,JR,6-1,195,"Shawnee, OK",Shawnee
14,Max Worship,S,SO,6-1,202,"Fort Lauderdale, FL",Cardinal Gibbons
56,Saige Young,OL,SR,6-4,305,"Versailles, KY",Woodford County
34,Eddie Zinn-Turner,DL,SR,6-1,315,"Canton, OH",Malvern
