No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
78,Josh Ahern,ILB,FR,6-3,225,"Burke, VA",Lake Braddock HS
-,Kariem Al Soufi,OG,FR,6-3,335,"Paderborn, Germany",Friedrich-Spee Gesamtschule
91,Mandy Alonso,DE,JR,6-2,280,"Miami, FL",Gulliver Prep
61,Enzo Anthony,LS,FR,5-10,225,"Port Charlotte, FL",Venice HS
10,Brennan Armstrong,QB,FR,6-2,220,"Shelby, OH",Shelby HS
5,Lamont Atkins,TB,JR,5-10,205,"Burke, VA",Lake Braddock HS
39,Jaylon Baker,CB,FR,6-2,170,"Chattanooga, TN",Baylor School
46,Christian Baumgardner,TE,JR,6-5,245,"Longport, NJ",Ocean City HS
-,Nathaniel Beal III,WR,FR,6-4,210,"Houston, TX",Strake Jesuit College Prep
52,Joe Bissinger,OG,FR,6-4,305,"Houston, TX",Memorial HS
29,Joey Blount,FS,JR,6-1,190,"Atlanta, GA",Landmark Christian
-,Charlie Boxley,OG,FR,6-5,285,"Roanoke, VA",Patrick Henry HS
32,Darrius Bratton,CB,JR,6-0,190,"Roanoke, VA",Fleming HS (Fork Union Military Academy)
99,Jowon Briggs,DT,FR,6-1,295,"Cincinnati, OH",Walnut Hills HS
89,Dejon Brissett,WR,SR,6-1,195,"Mississauga, Canada",Lake Forest Academy (Ill.)
17,Elliott Brown,OLB,JR,6-5,210,"Odenton, MD",Flowers HS (Taft School)
47,Dre Bryant,OLB,JR,6-1,230,"Charlottesville, VA",Charlottesville HS
-,Isaac Buell,DL,SO,6-2,290,"Knoxville, TN",Knoxville Central HS
16,Richard Burney,DE,SR,6-4,275,"Chesapeake, VA",Hickory HS
-,Jude Carlon,DB,FR,6-3,200,"Louisville, KY",Saint Xavier HS
60,Chayce Chalmers,DB,FR,6-2,210,"Gainesville, VA",Stonewall Jackson HS
9,Terrell Chatman,WR,SR,6-3,190,"Baton Rouge, LA",Central HS
-,Mark Chichester,CB,FR,6-0,180,"Washington, DC",Sidwell Friends School
50,Tommy Christ,DT,SO,6-5,280,"Sterling, VA",Dominion HS
-,Evan Clark,LB,FR,5-11,210,"Richmond, VA",Collegiate School
30,Antonio Clary,DB,FR,6-0,190,"Jacksonville, FL",Sandalwood HS
77,Josh Clifford,WR,FR,6-1,190,"Salem, VA",Glenvar HS
44,Tanner Cowley,TE,SR,6-4,240,"Manasquan, NJ",Manasquan HS
15,De'Vante Cross,FS,JR,6-2,210,"Allentown, PA",Parkland HS
41,Germane Crowell,CB,SO,6-2,200,"Winston-Salem, NC",Carver HS
53,Fentrell Cypress II,DB,FR,5-11,170,"Rock Hill, SC",Northwestern HS
19,Chuck Davis,WR,JR,5-9,170,"Fairfax, VA",Broad Run HS (Fork Union Military Academy)
26,Brian Delaney,K,JR,5-10,200,"Chantilly, VA",Westfield HS
67,Derek Devine,OT,FR,6-6,295,"Pittsburgh, PA",North Allegheny HS
74,Jake Dewease,DB,FR,6-0,190,"Daleville, VA",Lord Botetourt HS
57,Colin Dixon,OLB,SO,6-4,225,"Winston-Salem, NC",Episcopal HS
92,Tenyeh Dixon,DB,FR,5-11,185,"Washington, DC",Woodson HS
8,Hasise Dubois,WR,SR,6-3,215,"Irvington, NJ",DePaul Catholic
62,Lee Dudley,LS,FR,6-0,215,"Richmond, VA",Woodberry Forest School
43,Justin Duenkel,K,FR,5-11,195,"Great Falls, VA",Flint Hill School
63,Tyler Fannin,C,SO,6-3,295,"Hoschton, GA",Mill Creek HS
-,Brendan Farrell,P,FR,5-11,200,"Dunwoody, GA",Marist School
94,Aaron Faumui,DT,SO,6-1,285,"Kapolei, HI",Kapolei HS
-,Tucker Finkelston,LS,FR,5-11,220,"Clarksville, MD",River Hill HS
56,Matt Gahm,OLB,JR,6-3,240,"Dallas, TX",Highland Park HS
-,Sam Galletta,DL,FR,6-3,275,"Leesburg, VA",Tuscarora HS
-,Alex Gellerstedt,OT,JR,6-7,325,"Dublin, OH",Dublin Coffman HS
-,Landry Gerbers,OT,FR,6-5,250,"Salem, VA",Glenvar HS
69,Chris Glaser,OT,JR,6-3,305,"Solon, OH",Solon HS
84,Dorien Goddard,WR,FR,6-3,220,"Greeneville, TN",Greeneville HS
1,Nick Grant,CB,JR,6-1,200,"Spotsylvania, VA",Courtland HS
81,Nash Griffin,P,JR,6-2,225,"Indianapolis, IN",Lawrence Central HS
34,Bryce Hall,CB,SR,6-1,200,"Harrisburg, PA",Bishop McDevitt HS
58,Eli Hanback,DT,SR,6-4,300,"Ashland, VA",Patrick Henry HS
51,Jalen Harrison,WR,JR,6-3,210,"Palmyra, VA",St. Anne's Belfield
38,T.C. Harrison,ILB,FR,6-2,225,"Lawrenceville, GA",Collins Hill HS
40,RJ Harvey,QB,FR,5-8,190,"Orlando, FL",Edgewater HS
70,Bobby Haskins,OT,SO,6-7,285,"Fairfield, CT",The Hun School (N.J.)
18,Ben Hogg,WR,SR,5-10,170,"Lynchburg, VA",Brookville HS
20,Mike Hollins,RB,FR,5-9,200,"Baton Rouge, LA",University Lab HS
75,Ja'Quay Hubbard,OT,FR,6-5,335,"Sharpsville, PA",Sharpsville HS
-,John Izlar,WR,FR,6-1,180,"Atlanta, GA",The Westminster Schools
42,Nick Jackson,ILB,FR,6-1,225,"Atlanta, GA",The Lovett School
13,Terrell Jana,WR,JR,6-0,190,"Vancouver, Canada",Woodberry Forest (Va.
37,Perris Jones,RB,FR,5-8,175,"Alexandria, VA",Episcopal HS
-,Jack Keenan,OT,FR,6-5,290,"Arlington, VA",Gonzaga College HS
45,Reed Kellam,ILB,SR,6-1,225,"Richmond, VA",Collegiate School
88,Tavares Kelly Jr.,WR,SO,5-8,160,"Miami, FL",St. Thomas Aquinas HS
80,Billy Kemp IV,HB,SO,5-9,175,"Highland Springs, VA",Highland Springs HS
6,PK Kier,TB,JR,6-0,235,"Winchester, VA",Millbrook HS
-,Zack Kindel,WR,FR,5-11,190,"Stafford, VA",Colonial Forge HS
49,Coen King,DB,FR,6-0,190,"Culpeper, VA",Eastern View HS
-,T.J. Kitts,TE,SO,5-10,200,"Tazewell, VA",Tazewell HS
71,Darren Klein,S,FR,6-0,190,"Crozet, VA",Western Albemarle HS
-,Mike Kosar,TE,FR,6-6,235,"Woodbridge, VA",Saint John Paul the Great Catholic
65,Jonathan Leech,OT,FR,6-4,270,"Hoschton, GA",Mill Creek HS
4,Jordan Mack,ILB,SR,6-2,230,"Lithonia, GA",Wesleyan HS
-,Micah Mariteragi,OG,FR,6-3,265,"Laie, HI",Kahuku HS
-,A.J. Mejia,PK,JR,5-8,185,"Fairfax, VA",Paul VI
96,Seneca Milledge,RB,FR,5-6,160,"Fort Myers, FL",Dunbar HS
85,Grant Misch,TE,FR,6-4,250,"Sterling, VA",Potomac Falls HS
83,Hayden Mitchell,WR,SO,5-11,190,"Richmond, VA",St. Christopher's
7,Chris Moore,FS,JR,6-0,210,"Ashburn, VA",Broad Run HS
-,DaJuan Moore,ILB,FR,6-0,245,"Waynesboro, VA",Waynesboro HS
68,Sean Moore,WR,FR,6-1,165,"Cutler Bay, FL",Gulliver Prep
28,Brenton Nelson,FS,JR,5-11,185,"Miami, FL",DeMatha Catholic (Md.)
54,Ryan Nelson,OT,SO,6-4,315,"Buena Park, CA",Buena Park HS
86,Ugo Obasi,WR,SO,6-0,195,"Baltimore, MD",Milford Mill Academy
55,Olusegun Oluwatimi,C,SO,6-3,305,"Upper Marlboro, MD",DeMatha Catholic
27,Jamari Peacock,FB,JR,6-0,245,"Yulee, FL",Yulee HS
-,Hunter Pearson,PK,FR,6-2,210,"Seneca, SC",Seneca HS
3,Bryce Perkins,QB,SR,6-3,215,"Queen Creek, AZ",Chandler HS
98,D'Sean Perry,OLB,FR,6-3,230,"Miami, FL",Gulliver Prep
41,Darnell Pratt,DB,SO,6-2,185,"Ellicott City, MD",Our Lady of Good Counsel
-,Jared Rayman,QB,FR,6-2,180,"Atlanta, GA",Pace Academy
76,Jordan Redmond,NT,SO,6-0,290,"Kissimmee, FL",Osceola HS
2,Joe Reed,WR,SR,6-1,215,"Charlotte Court House, VA",Randolph-Henry HS
