No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
90,Misiona Aiolupotea-Pei,DL,SR,6-3,270,"Gold Coast, Australia","Porirua College (Wellington, N.Z.)"
56,David Aldapa,LS,JR,6-1,225,"Diamond Bar, CA",Diamond Ranch
16,Aaron Angelos,QB,FR,6-0,172,"Philadelphia, PA",Springside Chestnut Hill Academy
15,Armauni Archie,CB,FR,6-0,175,"Vallejo, CA",El Cerrito
19,Brandon Arconado,WR,SR,6-0,193,"Chino Hills, CA",Bishop Amat HS
82,Lucas Bacon,WR,FR,6-2,207,"Spokane, WA",Mead
53,Ricky Baker,LB,FR,5-11,215,"Monroe, WA",Monroe
22,Jouvensly Bazil,RB,FR,5-10,180,"Naples, FL",Golden Gate
86,Konner Beavers,WR,FR,5-10,180,"Amarillo, TX",Boerne Champion HS
26,Bryce Beekman,S,JR,6-2,190,"Baton Rouge, LA",Scotlandville
9,Renard Bell,WR,JR,5-8,162,"Los Angeles, CA",Cathedral
75,Cade Beresford,OL,FR,6-7,297,"Woodinville, WA",Woodinville
11,John Bledsoe,QB,SO,6-3,215,"Bend, OR",Summit HS
50,Karson Block,DL,SR,6-2,253,"Atascadero, CA",Atascadero
21,Max Borghi,RB,SO,5-10,197,"Arvada, CO",Pomona
27,Andrew Boyle,K,FR,6-2,200,"Camas, WA",Camas
77,Beau Braden,DL,FR,6-4,261,"Vancouver, WA",Columbia River
44,Tristan Brock,LB,SR,6-1,258,"Mount Vernon, WA",Mount Vernon
82,Travion Brown,LB,FR,6-3,220,"Moreno Valley, CA",Linfield Christian
6,Jamire Calvin,WR,JR,5-10,160,"Pasadena, CA",Cathedral
2,Cammon Cooper,QB,FR,6-4,216,"Lehi, UT",Lehi
33,Jack Crane,K,JR,6-2,196,"Sammamish, WA",Skyline
95,Ahmir Crowder,DL,FR,6-3,274,"Los Angeles, CA",Crenshaw
15,Gunner Cruz,QB,FR,6-5,229,"Gilbert, AZ",Casteel
22,Matthew Dandridge,DB,FR,5-8,175,"Los Angeles, CA",Serra
31,Trey Davis,DB,FR,6-1,192,"Federal Way, WA",Federal Way
28,Chad Davis Jr.,S,SO,6-2,201,"Daytona, FL",Mainland
33,Mitchell Delmage,DB,FR,5-7,183,"Vancouver, WA",Mountain View
62,Jon Denny,OL,FR,6-6,320,"Fairfield, WA",Liberty
42,Halid Djibril,DB,FR,6-1,190,"Los Angeles, CA",Cathedral
94,Oscar Draguicevich III,P,JR,6-0,185,"Hutto, TX",Hutto
23,Cole Dubots,RB,SO,6-1,200,"Murrieta, CA",Vista Murrieta
84,Jesus Echevarria,DL,SO,6-2,285,"Everett, WA",Archbishop Murphy
59,Joshua Erling,LB,SO,6-1,222,"Snohomish, WA",Glacier Peak
58,Fa'avae Fa'avae,LB,SO,6-0,230,"Carson, CA",Mater Dei
66,Ma'ake Fifita,OL,FR,6-5,265,"Snohomish, WA",Glacier Peak
88,Rodrick Fisher,WR,FR,6-2,195,"Spokane Valley, WA",East Valley
97,Ty Garay-Harris,DL,FR,6-5,255,"Oakland, CA",Bishop O'Dowd
77,Konner Gomness,OL,FR,6-4,273,"Lemoore, CA",San Joaquin Memorial
18,Anthony Gordon,QB,SR,6-3,210,"Pacifica, CA",Terra Nova HS ‘15
83,Brandon Gray,WR,FR,6-5,202,"Detroit, MI",Cass Tech
59,Brian Greene,OL,SO,6-3,300,"Yakima, WA",Eisenhower
4,Gage Gubrud,QB,SR,6-2,208,"McMinnville, OR",McMinnville
5,Travell Harris,WR,SO,5-9,180,"Tampa, FL",Jesuit
18,George Hicks III,CB,JR,6-0,190,"San Bernardo, CA",Cajon
98,Dallas Hobbs,DL,SO,6-6,285,"Cedar Rapids, IA",Washington
3,Daniel Isom,DB,JR,6-0,192,"St. Louis, MO",St. Louis University High
80,Brennan Jackson,DL,FR,6-4,252,"Temecula, CA",Great Oak
85,Calvin Jackson Jr.,WR,SR,5-10,185,"Pompano Beach, FL",Coral Spring Charter
49,Dean Janikowski,K,FR,6-1,200,"San Diego, CA",Cathedral Catholic
45,Rocky Katoanga,LB,FR,6-2,240,"Oceanside, CA",El Camino
47,Henry Kimmins,DB,FR,5-10,192,"Denman Island, Canada",IMG Academy
52,Jarrett Kingston,OL,FR,6-5,296,"Anderson, CA",Anderson
96,Cosmas Kwete,DL,FR,6-3,241,"Phoenix, AZ",Central
2,Derrick Langford,CB,SO,6-2,191,"Richmond, CA",El Cerrito
39,Damion Lee,DB,SO,6-0,200,"Palm Springs, CA",Palm Springs
72,Abraham Lucas,OL,SO,6-7,324,"Everett, WA",Archbishop Murphy
39,Clay Markoff,RB,JR,5-9,227,"Olympia, WA",Olympia HS
35,Armani Marsh,CB,SO,5-10,183,"Spokane, WA",Gonzaga Prep
55,Austin Martin,OL,FR,6-2,292,"Battle Ground, WA",Battle Ground
1,Davontavean Martin,WR,JR,6-3,186,"Houma, LA",Ellender Memorial
69,Frederick Mauigoa,OL,SR,6-4,310,"Iliili, American Samoa",Tafuna
61,Hunter Mayginnes,OL,FR,6-5,307,"Chandler, AZ",Hamilton
40,Blake Mazza,K,SO,5-9,175,"Plano, TX",Plano
60,Quinn McCarthy,OL,FR,6-5,277,"Tualatin, OR",Tualatin
79,Blake McDonald,OL,FR,6-5,295,"Danville, CA",San Ramon Valley
9,Lamonte McDougle,DL,SO,6-0,291,"Pompano Beach, FL",Deerfield Beach
16,Deon McIntosh,RB,JR,6-0,190,"Pompano Beach, FL",Cardinal Gibbons
43,Jamal McMurrin,CB,FR,5-10,170,"West Salem, OR",West Salem
93,Christian Mejia,DL,SO,6-3,270,"Kailua, HI",Kailua
81,Jack Mertens,WR,FR,5-10,175,"Vancouver, WA",Mountain View
24,Shahman Moore,DB,JR,6-1,175,"El Segundo, CA",El Segundo
57,Peni Naulu,LB,FR,6-2,215,"Waipahu, HI",Kapolei
32,Pat Nunn,DB,FR,6-4,210,"San Mateo, CA",Junipero Serra
30,Nnamdi Oguayo,DL,SR,6-3,260,"Beltsville, MD",High Point
40,Brandy Okeke,LB,FR,6-3,222,"Aurora, CO",Grandview
13,Donovan Ollie,WR,FR,6-3,210,"Wylie, TX",Wylie
21,William Overstreet,CB,FR,5-10,175,"Pleasant Grove, UT",Lehi
12,Dezmon Patmon,WR,SR,6-4,228,"San Diego, CA",Patrick Henry
51,Hank Pladson,LB,FR,6-0,215,"Sammamish, WA",Eastlake
80,Billy Pospisil III,WR,FR,5-10,192,"Arvada, CO",Pomona HS
32,Braeden Potter,RB,FR,6-0,212,"Gig Harbor, WA",Peninsula
68,Jimmy Price,OL,JR,6-5,300,"Houston, TX",Stratford
89,Mitchell Quinn,WR,FR,5-11,170,"Honolulu, HI",Saint Louis
78,Syr Riley,OL,FR,6-4,317,"Los Angeles, CA",Pacific Palisades
84,T.J. Robertson,WR,FR,6-0,170,"Roseville, CA",Granite Bay
92,Will Rodgers III,DL,JR,6-4,255,"Saginaw, MI",Valor Christian (Colo.)
37,Justus Rogers,LB,JR,6-2,230,"Bellevue, WA",Bellevue
83,Rudder Romo,DL,FR,6-2,260,"Katy, TX",IMG Academy
