No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
27,Omari Alexander,DB,JR,5-10,180,"Louisville, KY",duPont Manual HS/Eastern Kentucky
28,"Gino Appleberry, Jr.",RB,SO,5-9,205,"Atlanta, GA",Westlake HS
14,Stephone Atkinson,DL,FR,6-3,225,"Lake Minneola, FL",Lake Minneola HS
36,Kyle Bailey,LB,JR,6-0,225,"Carrollton, GA",Bremen HS
50,Ricky Barber,DL,FR,6-3,285,"Louisville, KY",Doss HS
13,Tre Bass,RB,FR,5-8,180,"Franklin, KY",Franklin-Simpson HS
49,Webb Bates,P,FR,6-2,200,"Shelbyville, KY",Collins HS
89,Joey Beljan,TE,FR,6-3,240,"Frenchtown, NJ",Delaware Valley HS
29,Beanie Bishop,DB,FR,5-10,170,"Louisville, KY",Pleasure Ridge Park HS
98,Marcus Bragg,DL,JR,6-4,260,"North Miami, FL",Miami Jackson HS/Arizona Western College
12,"A.J. Brathwaite, Jr.",DB,FR,6-0,190,"Miami, FL",Central HS
75,Gunner Britton,OL,FR,6-6,290,"Conway, SC",Conway HS
77,Mason Brooks,OL,SO,6-6,295,"Cedar Park, TX",Cedar Park HS
32,Eli Brown,LB,SR,6-2,220,"Bowling Green, KY",Warren East HS/Kentucky
13,Russell Brown,DB,FR,6-2,205,"Fort Myers, FL",Lehigh HS
21,Clayton Bush,DB,FR,6-1,205,"Bowling Green, KY",South Warren HS
28,Demetrius Cain,LB,JR,6-0,230,"Princeton, KY",Caldwell County HS
64,Bryson Canada,OL,SO,6-4,290,"Lexington, KY",Henry Clay HS
60,Bryce Chandler,OL,JR,6-2,290,"Morganfield, KY",Union County HS
69,Devante Colton,DL,JR,6-1,250,"Bowling Green, KY",South Warren HS
24,Roger Cray,DB,JR,5-9,170,"Lake City, FL",Columbia HS
23,B.J. Crim,DB,FR,6-1,205,"Ocala, FL",Vanguard HS
15,Ta'Corian Darden,DB,SR,5-9,190,"Russellville, KY",Russellville HS
53,Jeremy Darvin,DL,JR,6-1,305,"Nashville, TN",Father Ryan HS
30,Clay Davis,LB,JR,6-2,230,"Louisville, KY",Christian Academy/Tennessee Tech
73,Wes Dorsey,OL,FR,6-7,265,"Knoxville, TN",Grace Christian Academy
10,Steven Duncan,QB,JR,6-4,230,"Charleston, SC",Ashley Ridge HS
21,Jeremiah Fails,WR,FR,5-11,180,"Orlando, FL",Ocoee HS
