No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
39,Matthew Anderson,DB,SR,6-2,195,"Fort Wayne, IN",Homestead
56,Britton Beasley,OL,SR,6-1,330,"Cordell, OK",Cordell
96,Charles Bein,P,FR,6-3,190,"Mission Viejo, CA",San Clemente
38,Brendan Bentley,LS,SO,6-2,250,"Las Vegas, NV",Sierra Vista
55,Kupono Blake,-,-,-,-,-,-
18,Corbin Blanchard,WR,SR,6-3,200,"Bay Saint Louis, MS",Saint Stanislaus
87,Caden Blum,-,-,-,-,-,-
79,Ryan Booth,OT,JR,6-5,265,"San Antonio, TX",Churchill
15,Ben Brittain,QB,FR,6-1,195,"Hewitt, TX",Reicher Catholic
6,Warren Bryan,QB,JR,6-1,205,"Pomona, CA",Damien
2B,Owen Burk,-,-,-,-,-,-
51,Noah Bush,ILB,JR,6-0,215,"Athens, TX",Athens
67,Kris Campbell,OL,JR,6-1,315,"Sterling Heights, MI",Mott
98,Joseph Carlson,PK,SR,6-1,175,"Frisco, TX",Dr. Justin Wakeland
5,Corey Collins,-,-,-,-,-,-
1D,Patrick Dahlen,-,-,-,-,-,-
4,Haaziq Daniels,QB,SO,6-1,200,"Franklin, MO",Saint John Vianney
26,Micah Davis,WR,FR,5-11,185,"Atlanta, GA",Harrison
60,Nicholas DeWolf,OG,SR,6-1,275,"Galloway, OH",Hilliard Bradley
30,Grant Donaldson,OLB,SR,6-3,230,"Sudlersville, MD",DeMatha
50,Nate Dyman,-,-,-,-,-,-
14,Ethan Erickson,OLB,JR,6-2,205,"South Jordan, UT",Bingham
7,David Eure,DB,JR,5-11,185,"Gardena, CA",Junipero Serra
77,Parker Ferguson,OT,SR,6-5,290,"Greenwood, IN",Center Grove
3,Jorden Gidrey,RB,FR,5-6,175,"Tomball, TX",Tomball Memorial
25,Camby Goff,DB,FR,6-1,195,"Reynoldsburg, OH",Reynoldsburg
97,Jacob Goldberg,LS,JR,6-0,230,"Plantation, FL",Calvary Christian Academy
45,Brandon Gooding,OLB,JR,6-5,240,"Ventura, CA",Ventura
16,Jayden Goodwin,DB,FR,6-1,175,"Houston, TX",Cypress Falls
48,Bo Gross,FB,JR,6-0,230,"Lima, OH",Bath
9,Demani Hansford,CB,SR,5-9,180,"Bowie, MD",Saint John's College
82,Rhett Harms,TE,SR,6-3,235,"Crete, NE",Crete
65,Ben Hoffner,OG,SR,6-4,275,"Parkton, MD",Calvert Hall
93,Brice Honaker,PK,JR,6-1,185,"Howe, TX",Trinity
36,Caleb Humphrey,OLB,JR,6-3,230,"Casa Grande, AZ",Desert Vista
99,Hayden Isenhart,DE,SO,6-4,245,"Aurora, CO",Grandview
34,Timothy Jackson,FB,JR,6-3,200,"Vacaville, CA",Vacaville
12,A.J. Jefferson,-,-,-,-,-,-
11,Ben Jefferson,WR,SO,5-11,185,"Cypress, CA",Pacifica
76,Adam Jewell,OL,SR,6-2,265,"Pearland, TX",Pearland
1Q,Jensen Jones,-,-,-,-,-,-
85,Christopher Kane,DE,SO,6-5,240,"San Clemente, CA",San Clemente
17,Zion Kelly,CB,SO,5-10,185,"Greenville, SC",Southside
81,Dalton King,TE,JR,6-3,225,"Mount Juliet, TN",Central
64,Kyle Krepsz,OL,SR,6-1,290,"Riverside, CA",Martin Luther King
66,Nolan Laufenberg,OL,SR,6-3,315,"Castle Rock, CO",Castle View
13,Brandon Lewis,WR,JR,5-9,175,"San Diego, CA",Madison
90,TJ Love,DT,SO,6-4,275,"Centennial, CO",Kent Denver
5,Michael Mack II,DB,FR,6-1,185,"Glenn Dale, MD",Bullis School
41,Matthew Malloy,-,-,-,-,-,-
9,Logan Mann,WR,JR,6-0,200,"San Antonio, TX",Stevens
29,Timothy McClendon,OLB,SO,5-11,210,"Ozark, AL",Carroll
58,Ayd McCollough,-,-,-,-,-,-
2W,Josh McConnell,-,-,-,-,-,-
10,CJ McNeal,RB,JR,5-8,180,"Orlando, FL",Bishop Moore
5W,Seth Meador,-,-,-,-,-,-
57,Jason Medeiros,C,SO,6-0,270,"Richmond, WA",Eastside Catholic
40,Alec Mock,ILB,FR,6-3,235,"Weddington, NC",Weddington
80,Daniel Morris,WR,SR,6-2,220,"St. Peters, MO",Fort Zumwalt East
32,Matthew Murla,FB,SR,6-0,225,"Baton Rouge, LA",Parkview Baptist
54,Kenny Ngaima,NG,JR,6-2,270,"Darby, PA",Darby
44,Parker Noren,OLB,SR,6-2,215,"McKinney, TX",McKinney Boyd
70,Nicholas Noyen,C,SR,6-0,285,"West Chester, OH",Cincinnati Hills Chistian Academy
97,Kaleb Nunez,NG,SR,6-1,275,"Midland, TX",Robert E. Lee
75,McKenly O'Neal,DT,JR,6-3,265,"Dripping Springs, TX",Dripping Springs
2,Elisha Palm,CB,SR,5-8,190,"Grand Prairie, TX",S. Grand Prairie
88,Kyle Patterson,TE,SO,6-6,245,"Gilbert, AZ",Perry
4P,Jadon Pearson,-,-,-,-,-,-
98,Kalawai'a Pescaia,NG,SO,6-0,275,"Kailua, HI",Kamehameha
27,Ben Peterson,WR,SR,5-9,180,"Bellingham, WA",Squalicum
86,Michael Purcell,DE,SR,6-4,245,"The Woodlands, TX",Woodlands
47,P.J. Ramsey,-,-,-,-,-,-
3D,Nasir Rashid,-,-,-,-,-,-
24,Kadin Remsberg,RB,SR,5-9,180,"Newton, KS",Newton
20,Brad Roberts,RB,SO,5-11,200,"Arvada, CO",Ralston Valley
31,Elija Robinson,-,-,-,-,-,-
91,Anthony Rodriguez,-,-,-,-,-,-
54,Ethan Schofield,OT,SO,6-5,290,"Cedar Hills, UT",Lone Peak
94,Tevye Schuettpelz-Rohl,-,JR,5-10,195,"Boulder, CO",Fairview
78,George Silvanic,DT,SR,6-5,285,"Monument, CO",Palmer Ridge
63,Everett Smalley,-,-,-,-,-,-
83,Jake Spiewak,WR,JR,6-4,200,"Centerville, OH",Centerville
52,Jake Stern,-,-,-,-,-,-
22,Joshua Stoner,RB,SR,5-8,195,"Columbus, OH",Worthington Kilbourne
21,Corvan Taylor,DB,JR,6-2,205,"Gilbert, AZ",Gilbert
84,Jayd Thiergood,-,-,-,-,-,-
42,Will Trawick,ILB,SR,6-1,225,"Willow Park, TX",Aledo
15,Jace Waters,OLB,SO,6-2,200,"Allen, TX",Allen
19,Eric Wills II,-,-,-,-,-,-
9W,Wyatt Wilson,-,-,-,-,-,-
62,Hawk Wimmer,OG,JR,6-4,310,"Franklin, WI",Franklin
96,Joey Woodring,NG,SR,5-11,275,"Katy, TX",Katy
23,Johnathan Youngblood,FB,FR,5-11,220,"Atlanta, GA",E.L. Christian Academy
