No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
48,Kavari Adams,DB,SO,5-10,171,"Detroit, MI",Renaissance/Concordia
68,Deacon Allen,DL,FR,6-1,290,"Rockmart, GA",Rockmart
12,Charles Amankwaa,DB,SO,5-11,180,"Hillsborough, NJ",Hillsborough/Monroe College
27,Bubba Arslanian,LB,JR,5-9,205,"Aurora, OH",Aurora
59,Beau Bachie,LB,FR,5-11,222,"Cleveland, OH",Berea-Midpark
34,Jaylen Ball,RB,FR,5-9,192,"Columbus, OH",St. Francis de Sales
65,Kyle Bauman,LS,SO,5-11,222,"North Royalton, OH",North Royalton
66,Ryan Beckman,OL,FR,6-3,290,"Avon Lake, OH",Avon Lake
99,Eric Bentley,DL,SO,6-2,284,"Akron, OH",St. Vincent-St. Mary
22,Brandon Bischof,LB,JR,6-1,210,"Akron, OH",St. Vincent-St. Mary
40,Kyle Bischof,LB,FR,6-0,220,"Mentor, OH",Mentor
30,Gavin Blunt,WR,SO,6-2,180,"Aurora, OH",Aurora
25,Tristian Brank,TE,FR,6-4,230,"Asheville, NC",Clyde A. Erwin
55,Collier Brown,OLB,FR,6-2,232,"Washington Court House, OH",Washington
36,Michiah Burton,RB,SO,5-9,185,"Columbus, OH",New Albany
74,Ronan Chambers,OL,FR,6-5,270,"Olmsted Township, OH",St. Edward
26,Isiah Childs,RB,FR,6-1,205,"Manhattan, KS",Wamego
1,"Randy Cochran, Jr.",CB,SO,6-0,188,"Doraville, GA",Norcross
44,Sean Conroy,S,SO,5-10,196,"North Olmsted, OH",North Olmsted
21,"Reggie Corner, Jr.",LB,SO,5-9,205,"Canton, OH",McKinley
91,Ja'Quize Cross,DL,SR,6-4,300,"Buckhorn, AL",Buckhorn/Kentucky/Independence CC
75,Jordan Daniels,OL,FR,6-5,292,"Huntersville, NC",North Mecklenburg
24,Adetutu Daranijo,S,SO,5-10,192,"Fort Lauderdale, FL",Saint Thomas Aquinas
12,T.J. DeShields,QB,SO,6-3,200,"Beloit, OH",West Branch
52,Zach DiLauro,LB,SO,5-10,202,"Akron, OH",Springfield
7,Teon Dollard,RB,JR,5-11,205,"Lake City, FL",Columbia/Independence CC
58,Marco Donatelli,LB,FR,6-3,215,"Girard, OH",Girard
83,Nick Dottore,TE,FR,6-1,215,"Chagrin Falls, OH",St. Edward
34,Tyson Durant,ATH,FR,6-0,176,"Copley, OH",Canton McKinley
32,Owen Faulkner,S,FR,5-11,162,"Sunbury, OH",St. Francis de Sales
28,A.J. Felton,CB,SO,5-9,165,"Fredericksburg, VA",Freedom
47,Jerry Fitschen,PK,SR,6-0,210,"Orange, CA",Orange Lutheran
