No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
82,Chase Allen,PK,FR,6-2,188,"Colleyville, TX",Colleyville Heritage
4,Christopher Allen,LB,JR,6-4,250,"Baton Rouge, LA",Southern Lab School
31,Will Anderson Jr.,LB,FR,6-4,235,"Hampton, GA",Dutchtown
5,Jalyn Armour-Davis,DB,SO,6-1,192,"Mobile, AL",St. Paul’s
5,Javon Baker,WR,FR,6-2,195,"Powder Springs, GA",McEachern
26,Marcus Banks,DB,SO,6-0,180,"Houston, TX",Dekaney
7,Braxton Barker,QB,SO,6-1,202,"Birmingham, AL",Spain Park
58,Christian Barmore,DL,SO,6-5,310,"Philadelphia, PA",Neumann Goretti
53,Matthew Barnhill,LB,SO,6-1,209,"Woodway, TX",Midway
9,Jordan Battle,DB,SO,6-1,210,"Fort Lauderdale, FL",St. Thomas Aquinas
25,Jonathan Bennett,WR,FR,5-8,178,"Birmingham, AL",Oak Mountain
19,Jahleel Billingsley,TE,SO,6-4,230,"Chicago, IL",Phillips Academy
46,Melvin Billingsley,TE,JR,6-3,230,"Opelika, AL",Opelika
35,Cooper Bishop,RB,FR,6-0,195,"Vestavia Hills, AL",Vestavia Hills
18,Slade Bolden,WR,SO,5-11,191,"West Monroe, LA",West Monroe
36,Bret Bolin,WR,JR,6-0,176,"Lemont, IL",Lemont/Indiana
96,Landon Bothwell,DL,SO,5-11,220,"Oneonta, AL",Oneonta/Culver-Stockton
51,Tanner Bowles,OL,FR,6-5,293,"Glasgow, KY",Glasgow
14,Brian Branch,DB,FR,6-0,190,"Tyrone, GA",Sandy Creek
41,Chris Braswell,LB,FR,6-3,220,"Baltimore, MD",St. Frances Academy
33,Jackson Bratton,LB,FR,6-3,225,"Muscle Shoals, AL",Muscle Shoals
65,Deonte Brown,OL,SR,6-4,350,"Decatur, AL",Austin
75,Tommy Brown,OL,SO,6-7,320,"Santa Ana, CA",Mater Dei
97,Joseph Bulovas,PK,JR,6-0,215,"Mandeville, LA",Mandeville
12,Logan Burnett,QB,SR,6-2,200,"Pelham, AL",Bessemer Academy/TCU/Mississippi State
98,Jamil Burroughs,DL,FR,6-3,326,"Powder Springs, GA",McEachern
57,Javion Cohen,OL,FR,6-4,325,"Phenix City, AL",Central
71,Darrian Dalcourt,OL,SO,6-3,300,"Havre de Grace, MD",St. Frances Academy
94,DJ Dale,DL,SO,6-3,307,"Birmingham, AL",Clay-Chalkville
1,Ben Davis,LB,SR,6-4,250,"Gordo, AL",Gordo
12,Skyler DeLong,P,JR,6-4,188,"Fort Mill, SC",Nation Ford
69,Landon Dickerson,OL,SR,6-6,325,"Hickory, NC",South Caldwell/Florida State
57,Joe Donald,LB,SR,6-3,216,"Mountain Brook, AL",Mountain Brook
20,DJ Douglas,DB,FR,6-0,202,"Montgomery, AL",Thompson
92,Justin Eboigbe,DL,SO,6-5,285,"Forest Park, GA",Forest Park
38,Jalen Edwards,DB,FR,6-0,177,"Columbus, MS",Eufaula
27,Kyle Edwards,RB,FR,6-0,209,"Destrehan, LA",Destrehan
55,Emil Ekiyor Jr.,OL,SO,6-3,324,"Indianapolis, IN",Cathedral
51,Robert Ellis,LB,FR,6-0,220,"Enterprise, AL",Enterprise
45,Thomas Fletcher,SN,SR,6-2,231,"Georgetown, TX",IMG Academy
54,Kyle Flood Jr.,LB,FR,6-0,209,"Middlesex, NJ",St. Joseph
87,Miller Forristall,TE,SR,6-5,244,"Cartersville, GA",Cartersville
16,Jayden George,QB,FR,6-3,192,"Indianapolis, IN",Warren Central
74,Damieon George Jr.,OL,FR,6-6,345,"Houston, TX",North Shore
24,Clark Griffin,LB,FR,5-9,195,"Mountain Brook, AL",Mountain Brook
59,Jake Hall,SN,SO,6-3,238,"Saraland, AL",Saraland
67,Donovan Hardin,OL,FR,6-3,285,"Dublin, OH",Dublin Scioto
8,Christian Harris,LB,SO,6-2,232,"Baton Rouge, LA",University Lab
22,Najee Harris,RB,SR,6-2,230,"Antioch, CA",Antioch
44,Kevin Harris II,LB,FR,6-4,228,"Loganville, GA",Grayson
