No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
9,Tre Adams,WR,SO,6-4,195,"Frisco, TX",Wakeland HS
13,Luke Ashworth,QB,SO,6-1,200,"Phoenix, AZ",Arcadia HS
63,Steven Bailey,OL,SR,6-3,314,"Litchfield Park, AZ",Peoria Centennial HS/Glendale CC
75,Josh Baker,OL,FR,6-3,285,"Eureka, MO",Eureka HS
15,McKenzie Barnes,DB,JR,6-2,203,"Fresno, CA",Edison HS
92,Kyon Barrs,DT,SO,6-2,304,"Murrieta, CA",Murrieta Mesa High
86,Stanley Berryhill III,WR,JR,5-10,177,"Tucson, AZ",Orange Lutheran HS(Calif.)
52,Aaron Blackwell,DL,SR,6-3,293,"Peoria, AZ",Liberty HS/Mesa CC/New Mexico
28,Nazar Bombata,RB,SO,6-0,206,"Los Angeles, CA",Bishop Alemany HS
29,Donte Bowers Jr.,DB,FR,5-10,163,"Rialto, CA","Liberty HS (Henderson, Nev.)"
62,Jacob Bracamonte,OL,FR,6-3,298,"Tucson, AZ",Tucson HS
71,Darrell Branch,OL,FR,6-2,319,"Gilbert, AZ",Higley HS
0,Gary Brightwell,RB,SR,6-1,218,"Chester, PA",St. Frances Academy
12,JB Brown,DE,SR,6-3,267,"Long Beach, CA",Long Beach Poly HS
8,Frank Brown Jr.,RB,FR,6-0,200,"Houston, TX",Sterling HS
2,Lorenzo Burns,DB,SR,5-11,175,"Murrieta, CA",Linfield Christian HS
72,Edgar Burrola,OL,JR,6-6,305,"Las Vegas, NV",Desert Pines HS
34,John Burton,LB,FR,5-11,216,"West Hills, CA",Chaminade College Prep
29,Jashon Butler,WR,SO,5-9,187,"Lynwood, WA",Meadowdale HS
46,Thor Canales,LB,FR,6-3,224,"Plano, TX",Mountain Pointe (Ariz.)
31,Trey Cartledge,DB,FR,6-0,170,"Scottsdale, AZ",Notre Dame Prep
5,Brian Casteel,WR,JR,6-0,185,"Pasadena, CA",Charter Oak HS
27,Derrion Clark,LB,SO,6-1,202,"Dallas, TX",South Oak Cliff HS
81,Jalen Cochran,DE,SR,6-4,270,"Plymouth, MI",Canton HS
66,Robert Congel,OL,JR,6-4,321,"Greenwood Village, CO",IMG Academy [Fla.]/Texas A&M
20,Khary Crump,DB,FR,5-11,164,"Culver City, CA",Culver City HS
11,Tayvian Cunningham,WR,SR,5-10,174,"Vacaville, CA",Wood HS/Sacramento City CC
2,Boobie Curry,WR,SO,6-2,203,"Houston, TX",St. Pius X HS
84,Tristen D'Angelo,TE,JR,6-3,196,"Anthem, AZ",Boulder Creek HS/Scottsdale CC
40,Dante Diaz-Infante,DE,SR,6-1,262,"Phoenix, AZ",Brophy College Prep/Phoenix CC
1,Drew Dixon,WR,JR,6-3,198,"Tucson, AZ",Sabino HS
56,Josh Donovan,OL,JR,6-5,317,"College Station, TX",College Station HS/Trinity Valley CC
12,Kevin Doyle,QB,SO,6-4,211,"Washington, DC",St. John's College HS
36,RJ Edwards,DB,FR,6-1,198,"Las Vegas, NV",Coronado HS
35,Adama Fall,DB,FR,6-3,200,"Simi Valley, CA",Simi Valley HS
74,Paiton Fears,OL,JR,6-5,316,"Mascotte, FL",Lake Minneola HS/Hutchinson CC [Kan.]
16,Cameron Fietz,QB,JR,6-1,193,"Calgary, Canada",Holy Trinity Academy/University of British Columbia
42,Jeremiah Fletcher,LB,FR,5-11,203,"San Diego, CA",Helix HS
47,Rourke Freeburg,LB,JR,6-2,204,"Scottsdale, AZ",Desert Mountain HS
79,Tyson Gardner,OL,JR,6-4,284,"Queen Creek, AZ",Queen Creek High School
17,Grant Gunnell,QB,SO,6-6,228,"The Woodlands, TX",St. Pius X HS
80,Nathan Halsell,K,FR,6-1,195,"Santa Maria, CA",St. Joseph HS
49,Jalen Harris,LB,JR,6-5,258,"Mesa, AZ",Desert Ridge HS
23,Malik Hausman,DB,JR,6-0,170,"Las Vegas, NV",Bishop Gorman
43,Lucas Havrisik,K,SR,6-2,184,"Riverside, CA",Norco HS
39,Kameron Hawkins,LS,FR,5-11,227,"Victorville, CA",Orange Lutheran HS
48,Parker Henley,LB,JR,5-11,225,"Chandler, AZ",Chandler HS
97,Naz Higgins,DT,SO,6-3,285,"Stroudsburg, PA",The Hill School
42,Connor Hutchings,TE,SR,6-4,232,"Phoenix, AZ",Pinnacle HS/Phoenix CC
60,Mykee Irving,DL,SO,6-3,320,"Calabasas, CA",Calabasas HS
73,Woody Jean,OL,FR,6-4,314,"Deerfield Beach, FL",Deerfield Beach HS
21,Jalen John,RB,FR,5-11,222,"Portland, OR",Lakeridge High School
45,Issaiah Johnson,DE,SO,6-1,242,"Victorville, CA",Los Alamitos HS
3,Jalen Johnson,WR,SO,6-2,224,"Corona, CA",Roosevelt HS
10,Jamarye Joiner,WR,SO,6-1,214,"Tucson, AZ",Cienega HS
