No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
19,Hank Bachmeier,QB,SO,6-1,204,"Murrieta, CA",Murrieta Valley HS
30,Isaiah Bagnah,STUD,FR,6-4,244,"Lethbridge, Canada",Lethbridge Collegiate Institute
85,John Bates,TE,SR,6-6,256,"Lebanon, OR",Lebanon HS
81,Austin Bolt,TE,FR,6-3,200,"Boise, ID",Borah HS
18,Billy Bowens,WR,SO,6-1,193,"Redlands, CA",Redlands East Valley HS
92,Michael Callahan,DT,FR,6-3,268,"Yorba Linda, CA",Yorba Linda HS
42,Daniel Cantrell,LS,JR,6-0,240,"Boise, ID",Bishop Kelly HS
7,Latrell Caples,WR,FR,6-1,190,"Lancaster, TX",Lancaster HS
57,Nathan Cardona,OL,FR,6-3,291,"Yorba Linda, CA",Yorba Linda HS
17,Donovan Clark,CB,FR,6-2,182,"Tacoma, WA",Lincoln HS
41,Jaylen Clark,CB,FR,6-2,194,"Tacoma, WA",Lincoln HS
82,Stefan Cobbs,WR,SO,6-0,184,"Keller, TX",Fossil Ridge HS
24,Damon Cole,CB,JR,6-0,181,"Richmond, CA",El Cerrito HS
32,Trevor Cole,WR,FR,5-10,185,"Santa Maria, CA",St. Joseph HS
58,Robert Cooper,DT,FR,6-3,258,"Spanaway, WA",Bethel HS
10,Chase Cord,QB,JR,6-2,203,"Peoria, AZ",Sunrise Mountain HS
40,Russell Corrigan,TE,FR,6-3,246,"Hutchinson, MN",Hutchinson HS
73,Nick Crabtree,OL,SR,6-7,315,"Huntington Beach, CA",Huntington Beach HS
94,Jackson Cravens,DT,SO,6-2,292,"Provo, UT",Utah/Timpview HS
33,Tyler Crowe,RB,FR,5-11,222,"Nampa, ID",Skyview HS
69,Garrett Curran,OL,SO,6-5,304,"El Cajon, CA",Granite Hills HS
35,Jonah Dalmas,K,FR,5-8,161,"Meridian, ID",Rocky Mountain HS
87,Kaden DeLuna,TE,SO,6-5,242,"McCall, ID",McCall-Donnelly HS
48,Bruno DeRose,MLB,SR,5-11,231,"Pueblo, CO",Pueblo East HS
66,Ben Dooley,OL,FR,6-5,315,"Fallon, NV",Churchill County HS
49,Keola Downing,P,FR,6-0,183,"Honolulu, HI",Kamehameha Kapalama HS
16,Jonathan Earl,CB,JR,6-2,190,"Concord, NC",Golden West College/Cox Mill HS
86,Tyler Eiguren,TE,FR,6-3,248,"Fruitland, ID",Fruitland HS
13,Marques Evans,CB,JR,5-11,183,"Pasadena, CA",Newbury Park HS
1,Octavius Evans,WR,SR,6-1,204,"Center, TX",Center HS
59,Jaydn Ewing,DE,FR,6-3,241,"Watford City, ND",Watford City HS
8,Cade Fennegan,QB,FR,6-2,180,"Dallas, TX",Woodrow WIlson HS
97,Keeghan Freeborn,NT,SO,6-1,317,"Meridian, ID",Rocky Mountain HS
31,Obi Gee,RB,FR,5-10,190,"Boise, ID",Cole Valley Christian
74,Jacob Golden,OL,FR,6-5,288,"Peoria, AZ",Peoria HS
84,Matt Greenwald,WR,FR,6-0,197,"Boulder, CO",Fairview HS
15,Maclaine Griffin,WR,SO,6-2,196,"Westlake Village, CA",Chaminade Prep
98,"Herbert Gums, Jr.",NT,FR,6-1,282,"Diboll, TX",Diboll HS
71,Donte Harrington,OL,SR,6-2,304,"San Clemente, CA",San Clemente HS
3,Brandon Hawkins,WLB,SO,6-2,220,"Georgetown, TX",Georgetown HS
49,Dylan Herberg,STUD,SO,6-2,230,"Boise, ID",Timberline HS
75,Brandon Hernandez,OL,FR,6-5,312,"Yucaipa, CA",Yucaipa HS
24,George Holani,RB,SO,5-11,206,"Bellflower, CA",St. John Bosco HS
72,Dallas Holliday,OL,SO,6-3,309,"Sherman Oaks, CA",Oaks Christian HS
55,Kekaniokoa Holomalia-Gonzalez,OL,SO,6-2,304,"Santa Ana, CA",Mater Dei HS
88,Tyneil Hopper,TE,SO,6-2,238,"Roswell, GA",Roswell HS
54,Gabe Hunter,STUD,FR,6-3,217,"Pflugerville, TX",Hendrickson HS
90,Scale Igiehon,NT,JR,6-2,293,"Del Valle, TX",Del Valle HS
55,Shane Irwin,DE,JR,6-3,254,"Palos Verdes Estates, CA",San Diego State/Long Beach City College/Palos Verdes HS
21,Tyreque Jones,S,JR,6-2,187,"San Bernardino, CA",San Gorgonio HS
62,Kyle Juergens,OL,FR,6-5,257,"San Juan Capistrano, CA",St. Margaret's Episcopal School
20,Roman Kafentzis,S,JR,6-1,202,"Rancho Santa Margarita, CA",Mater Dei HS
14,Kaonohi Kaniho,CB,FR,6-0,179,"Kahuku, HI",Kahuku HS
28,Kekaula Kaniho,DB,SR,5-10,183,"Kahuku, HI",Kahuku HS
19,Aisa Kelemete,DE,JR,6-4,246,"Pocatello, ID",Highland HS
56,Casey Kline,STUD,FR,6-4,241,"Brawley, CA",Brawley Union HS
22,Tyric LeBeauf,CB,SO,6-2,181,"Long Beach, CA",Long Beach Poly HS
50,Riden Leong,OL,FR,6-3,311,"Waimanalo, HI",Orange Coast College/Maryknoll HS
51,Dalton Lins,OL,SO,6-1,297,"Lahaina, HI",Lahainaluna HS
99,Scott Matlock,DT,SO,6-4,282,"Homedale, ID",Homedale HS
96,Ryan Meyer,K,SO,6-2,202,"Auburn, CA",Placer HS
9,Brock Miller,WLB,SR,6-4,234,"Port St. Lucie, FL",NC State/Carroll Catholic HS
29,Chris Mitchell,CB,SO,6-0,198,"Mission Viejo, CA",Mission Viejo HS
7,Ezekiel Noa,MLB,JR,5-11,244,"Spring Valley, CA",Helix HS
93,Andy Nwaoko,DE,FR,6-3,225,"Saint George, VA",Blue Ridge School
95,Divine Obichere,NT,JR,6-3,314,"Los Angeles, CA",Long Beach CC/Westchester HS
70,John Ojukwu,OL,JR,6-6,301,"Boise, ID",Boise HS
77,Uzo Osuji,OL,SR,6-8,297,"Coppell, TX",Rice/Coppell HS
14,Andy Peters,QB,FR,6-2,208,"Boise, ID",Timberline HS
45,Nick Provenzano,WLB,SR,5-11,228,"Glendora, CA",Damien HS
8,Markel Reed,CB,SO,6-0,182,"Temple, TX",Temple HS
89,Connor Riddle,WR,SO,6-1,210,"Boise, ID",Timberline HS
4,Rodney Robinson,S,FR,5-8,176,"San Bernardino, CA",Cajon HS
52,DJ Schramm,MLB,SO,6-0,227,"Fresno, CA",Clovis West HS
16,Jack Sears,QB,JR,6-2,219,"San Clemente, CA",USC/San Clemente HS
2,Khalil Shakir,WR,JR,6-0,190,"Murrieta, CA",Vista Murrieta HS
78,Julian Simpson,OL,FR,6-1,313,"San Jose, CA",Gunderson HS
0,JL Skinner,S,SO,6-4,214,"San Diego, CA",Point Loma HS
37,Danny Smith,RB,SO,6-0,216,"Oxnard, CA",Oxnard HS
3,Riley Smith,TE,SO,6-4,225,"St. Augustine, FL",Bartram Trail HS
68,Jake Stetz,OL,SR,6-2,308,"San Marcos, CA",Mission Hills HS
34,Alexander Teubner,S,FR,5-11,195,"Seaside, OR",Seaside HS
6,CT Thomas,WR,SR,5-8,175,"Lancaster, TX",Lancaster HS
65,Koby Tryggestad,LS,FR,6-1,260,"East Palo Alto, CA",Menlo-Atherton HS
5,Evan Tyler,S,SR,6-2,200,"Corona, CA",Eleanor Roosevelt HS
25,Taequan Tyler,RB,SO,5-9,212,"Waco, TX",Tyler JC/La Vega HS
21,Andrew Van Buren,RB,JR,6-0,228,"West Hills, CA",Chaminade Prep
46,Joel Velazquez,K,SR,6-0,224,"Mission Viejo, CA",Trabuco Hills HS
36,Semaj Verner,S,FR,6-0,185,"Lakewood, CA",Mayfair HS
43,Tyler Visser,S,JR,6-0,206,"Meridian, ID",Sierra College/Rocky Mountain HS
43,Gavin Wale,K,FR,6-2,173,"Henderson, NV",Coronado HS
23,Khyheem Waleed,WR,FR,6-0,199,"Queen Creek, AZ",Casteel HS
2,Jalen Walker,CB,SR,6-0,181,"Lawndale, CA",Lawndale HS
38,Demitri Washington,STUD,SO,6-3,272,"Solana Beach, CA",Santa Fe Christian HS
44,Riley Whimpey,WLB,SR,6-1,233,"San Clemente, CA",San Clemente HS
27,Shea Whiting,WR,FR,6-2,193,"Houston, TX",Alief Taylor HS
53,Sam Whitney,STUD,SR,6-2,225,"Folsom, CA",Folsom HS
25,Benton Wickersham,MLB,SR,6-2,226,"Elko, NV",Elko HS
60,Amari Williams,DE,FR,6-1,248,"North Miami Beach, FL",North Miami Beach HS
26,Avery Williams,CB,SR,5-9,195,"Pasadena, CA",JSerra Catholic HS
83,Cole Wright,WR,FR,6-0,177,"Carlsbad, CA",Carlsbad HS
