No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
53,Dwayne Allick,OL,FR,6-2,305,"Laurel, MD",DeMatha
27,Kam Arnold,DB,FR,6-1,215,"West Bloomfield, MI",St. Mary's
26,David Bailey,RB,JR,6-0,236,"Ridgely, MD",North Caroline
50,Jaylen Bailey,LB,FR,5-11,215,"Framingham, MA",Belmont Hill
44,Brandon Barlow,DL,SR,6-4,255,"Cohoes, NY",Shaker HS
39,Nick Bearup,DB,JR,6-2,170,"Albany, NY",Colonie Central
83,Justin Bellido,WR,FR,5-10,195,"Brooklyn, NY",Erasmus Hall
93,Luc Bequette,DL,SR,6-2,290,"Little Rock, AR",Catholic
91,Jaleel Berry,DT,JR,6-2,285,"Syracuse, NY",Nottingham HS
94,Ryan Betro,DT,SO,6-3,295,"Walpole, MA",Lawrence Academy
49,Tommy Birmingham,TE,FR,6-4,225,"Pittsford, NY",Pittsford Mendon
37,Denzel Blackwell,DB,FR,5-10,180,"Houston, TX",Strake Jesuit
41,Aaron Boumerhi,K,SR,6-0,196,"Philipsburg, PA",Philipsburg-Osceola
66,Darius Bryan,OL,FR,6-0,274,"Hartford, CT",Achievement First Hartford
47,Donovan Cahill,LS,SR,6-0,210,"Summit, NJ",Summit
95,Grant Carlson,P,SR,5-11,190,"Missouri City, TX",Ridge Point HS
52,Mike Ciaffoni,DL,FR,6-3,280,"Sudbury, MA",Lincoln-Sudbury
79,Kevin Cline,OL,FR,6-7,310,"Boca Raton, FL",Boca Raton Christian
67,Jack Conley,OL,FR,6-7,317,"New Canaan, CT",New Canaan
15,Danny Dalton,TE,SR,6-4,255,"Marshfield, MA",Marshfield
51,Hugh Davis,LB,SO,5-11,220,"Indianapolis, IN",Cathedral HS
33,Javian Dayne,RB,SO,5-11,218,"Sun Prairie, WI",Waunakee
6,Tyler Days,DB,SO,6-0,198,"Syracuse, NY",Cicero-North
21,Josh DeBerry,DB,SO,5-11,180,"Grosse Pointe Park, MI",De La Salle
32,Nick DeNucci,LB,SO,6-1,220,"Denville, NJ",Pope John XXIII
42,Vinny DePalma,LB,SO,5-11,225,"Wayne., NJ",DePaul Catholic
74,Finn Dirstine,OL,SO,6-5,312,"Acton, MA",Lawrence Academy
71,Nate Emer,OL,JR,6-4,295,"Marilla, NY",Iroquois HS
4,Zay Flowers,WR,SO,5-11,178,"Fort Lauderdale, FL",University School
