No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
43,Christopher Abbes,P,SO,5-11,205,"Danville, CA",Diablo Valley College/De La Salle HS
79,Ender Aguilar,OL,FR,6-5,260,"Mission Viejo, CA",Servite HS
56,Andy Alfieri,ILB,FR,6-3,230,"Portland, OR",Jesuit HS
88,Nick Alftin,TE,SO,6-5,225,"Woodside, CA",Archbishop Mitty HS
87,Lucas Allen,WR,FR,6-2,205,"Moraga, CA",Campolindo HS
42,Zach Angelillo,FB,SO,6-2,225,"Fresno, CA",San Joaquin Memorial HS
51,Blake Antzoulatos,ILB,FR,6-2,235,"Simi Valley, CA",Chaminade College Prep
7,Chigozie Anusiem,CB,SO,6-1,200,"La Habra, CA",Sonora HS
22,Justin Richard Baker,WR,FR,5-10,180,"Bellevue, WA",Kennedy Catholic HS
56,Jack Beeman,OL,JR,6-4,300,"Loomis, CA",Del Oro HS
40,Parker Bosche,OLB,SO,6-4,225,"Berkeley, CA",Saint Mary's College HS
13,Spencer Brasch,QB,FR,6-4,200,"Gilbert, AZ",Higley HS
25,DeCarlos Brooks,RB,FR,5-9,195,"Chandler, AZ",Chandler HS
34,Christopher Brown Jr.,RB,JR,6-1,235,"Oceanside, CA",El Camino HS
23,Dejuan Butler,CB,FR,5-11,205,"Antioch, CA",Antioch HS
24,Camryn Bynum,CB,SR,6-0,200,"Corona, CA",Centennial HS
37,Dante Cacchione,WR,FR,6-1,185,"Atherton, CA",Sacred Heart Prep
18,Jaden Casey,QB,FR,6-1,190,"Westlake Village, CA",Calabasas HS
89,Tommy Christakos,PK,FR,6-4,210,"Scottsdale, AZ",Chaparral HS
73,Matthew Cindric,OL,SO,6-4,295,"Sammamish, WA",Skyline HS
80,Trevon Clark,WR,SR,6-4,190,"Victorville, CA",El Camino College/Silverado HS
62,Ben Coleman,OL,FR,6-4,320,"Murrieta, CA",Linfield Christian HS
91,Ricky Correia,NG,FR,6-4,365,"Fresno, CA",Central HS
74,Will Craig,OL,SO,6-5,285,"Granite Bay, CA",Granite Bay HS
11,Kekoa Crawford,WR,SR,6-1,180,"Pasadena, CA",Glendale Community College/Michigan/Santa Margarita Catholic HS/St. Francis HS
22,Zane Cribb,S,JR,5-11,190,"Danville, CA",Diablo Valley College/Monte Vista HS
52,Braxten Croteau,OLB,SO,6-5,255,"Peoria, AZ",Liberty HS
71,Jake Curhan,OL,SR,6-6,330,"Larkspur, CA",Redwood HS
36,Grant Daley,WR,FR,6-1,185,"Martinez, CA",De La Salle HS
61,Valentino Daltoso,OL,SR,6-4,300,"Boise, ID",Oregon/Boise HS
23,Marcel Dancy,RB,SR,5-10,195,"Oakland, CA",Laney College/West HS
8,Kuony Deng,ILB,SR,6-6,250,"Aldie, VA",Independence Community College/Virginia Military Institute/John Champe HS
38,Ronan Donnelly,PK,FR,6-2,180,"Hillsborough, CA",Sacred Heart Prep
20,Josh Drayden,CB,SR,5-10,175,"DeSoto, TX",Bishop Dunne HS
60,Brian Driscoll,OL,FR,6-4,305,"San Diego, CA",Torrey Pines HS
48,Daniel Etter,LS,JR,5-10,250,"Berkeley, CA",Riordan HS
21,Collin Gamble,CB,FR,5-10,185,"Flower Mound, TX",Liberty Christian HS
