No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
51,Peter Agabe,LB,SR,6-0,213,"N. Miami Beach, FL",Orlando Christian Prep
12,Donta Armstrong,TE,FR,6-4,245,"Charlotte, NC",Vance
8,Rico Arnold,WR,SO,6-1,184,"Athens, GA",Clarke Central
79,Panda Askew,OL,FR,6-2,276,"Greenville, NC",D.H. Conley
64,D.J. Bagwell,OL,FR,6-3,295,"Kings Mountain, NC",Kings Mountain
74,Tim Baten,DL,JR,6-5,309,"Charlotte, NC",Victory Christian
94,Isaiah Belk,DL,SO,6-0,250,"Charlotte, NC",Butler
18,Prince Bemah,LB,FR,6-2,234,"Gastonia, NC",Hunter Huss
13,Briston Bennett,DB,FR,6-0,165,"Nashville, TN",Battle Ground Academy
16,Kendric Blake Jr.,WR,FR,6-2,190,"Jacksonville, NC",Jacksonville
37,Max Blitstein,K,FR,6-0,185,"Mooresville, NC",Lake Norman Charter
31,Trey Bly,DB,FR,5-8,160,"Charlotte, NC",Myers Park
19,Connor Bowler,P,JR,6-4,195,"Glenmoore, PA",Downingtown West
14,Derek Boykins,LB,FR,6-2,208,"Concord, NC",Central Cabarrus
43,Ryan Braithwaite,DB,JR,6-1,195,"Ashburn, VA",Broad Run
24,Preston Brown,QB,FR,5-10,183,"Charlotte, NC",West Mecklenburg
20,Calvin Camp,RB,JR,5-8,178,"Hickory, NC",Shelby
85,Ryan Carriere,TE,SR,6-3,239,"Loganville, GA",Grayson
99,Taylor Chandler,DE,SO,6-3,229,"New London, NC",North Stanly
7,Robert Cheathem,DB,SR,5-11,183,"DeLand, FL",Bishop Moore Catholic
72,Cameron Clark,OL,FR,6-3,270,"Mooresville, NC",Mooresville
84,Jake Clemons,TE,FR,6-6,250,"Christiansburg, VA",Christiansburg
76,Ty'kieast Crawford,OL,FR,6-5,335,"Carthage, TX",Carthage
3,Trey Creamer,DB,JR,6-0,195,"Cartersville, GA",Cartersville
11,Jonathan Cruz,K,JR,5-9,175,"Cartersville, GA",Cartersville
19,Josh Curry,WR,SO,5-10,185,"Charlotte, NC",Myers Park
28,Ben DeLuca,DB,SR,6-1,215,"Orlando, FL",Bishop Moore
48,Sam DeLuke,LS,SO,5-11,235,"Glen Falls, NY",Wake Forest
4,Cameron Dollar,WR,JR,6-2,188,"Denver, NC",East Lincoln
23,Micaleous Elder,WR,SO,5-9,165,"Cleveland, TN",Blackman
70,D'Mitri Emmanuel,OL,JR,6-2,285,"Waxhaw, NC",Marvin Ridge
2,Brelin Faison-Walden,LB,JR,6-0,213,"Greensboro, NC",Grimsley
68,Jaelin Fisher,OL,SR,6-2,285,"Nashville, TN",Pearl Cohn
16,Comanche Francisco,DB,FR,6-0,180,"Tyrone, GA",Sandy Creek
1,Ja'Cione Fugate,DB,SR,5-11,182,"Hampton, VA",Kecoughtan
39,Colby Garfield,LS,FR,6-1,220,"Clemmons, NC",North Davidson
15,Daj'eun Gibson,DB,FR,6-0,185,"Smyrna, TN",Blackman
57,Ashton Gist,OL,JR,6-3,310,"Oxford, MS",Oxford
6,Tre' Goode,WR,SO,6-1,186,"Jamestown, NC",Ragsdale
96,Isaac Hampton,DL,JR,6-1,305,"Charlotte, NC",Mallard Creek
22,Tre Harbison III,RB,SR,5-11,215,"Shelby, NC",Crest
10,Tyriq Harris,DE,SR,6-3,236,"Roanoke, VA",Hidden Valley
98,Timmy Horne,DL,SR,6-5,318,"Wadesboro, NC",Anson
44,Mikel Horton,DL,SR,6-1,290,"Lexington, KY",Bryan Station
33,Chris Houston,WR,FR,5-9,180,"Chesterfield, VA",Clover Hill
55,Jaxon Hughes,OL,FR,6-6,243,"Greensboro, NC",Northern Guilford
88,Jacob Hunt,TE,JR,6-3,236,"Rome, GA",The Darlington School
21,LaDamion Hunt,DB,JR,6-0,185,"Carrollton, GA",Carrollton
35,Myles Hunt,DB,SO,6-0,185,"Waxhaw, NC",Marvin Ridge
0,Trexler Ivey,QB,FR,6-1,185,"Wake Forest, NC",Wakefield
36,Anthony Jackson,DB,FR,6-1,175,"Rock Hill, SC",Rock Hill
53,Jon Jacobs,OL,SR,6-4,305,"Gainesville, FL",Battlefield/Taft School
15,Justin Jeffery,WR,SO,6-1,177,"Richmond Hill, GA",Richmond Hill
7,Braylin Johnson,WR,FR,6-0,170,"Duncan, SC",Byrnes
14,Whit Kane,WR,FR,5-11,165,"Wake Forest, NC",Heritage
78,Hunter Kelly,OL,SR,6-2,310,"Langhorne, PA",Neshaminy
