No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
47,David Aggrey,RB,SO,5-10,205,"Bronx, NY",Rangeview
4,Rashad Ajayi,DB,JR,5-11,190,"Atlanta, GA",Langston Hughes
45,Bam Amina,LB,FR,5-11,210,"Waianae, HI",Mililani
63,Alex Azusenis,OL,FR,6-5,305,"Powell, OH",Olentangy Liberty
25,Keevan Bailey,DB,SO,5-11,180,"Conyers, GA",Salem
68,Cameron Bariteau,DL,FR,6-1,310,"Wareham, MA",Peddie School
37,Blake Beecher,LB,FR,5-10,195,"Norco, CA",Norco
11,Henry Blackburn,DB,FR,6-0,200,"Boulder, CO",Fairview
76,"John Blasco, Jr.",OL,JR,6-7,325,"Tacoma, WA",Stadium
17,Walker Brickle,QB,FR,6-6,200,"Arvada, CO",Ralston Valley
8,Quinn Brinnon,DB,JR,6-0,190,"Pleasanton, CA",Bishop O'Dowd
64,Scott Brooks,OL,SR,6-3,300,"Moorpark, CA",Moorpark
55,Tavian Brown,LB,FR,6-1,230,"Demopolis, AL",Demopolis
16,Cameron Butler,TE,SR,6-2,250,"Columbia, SC",Ridge View
26,Marshaun Cameron,DB,SR,5-9,190,"Los Angeles, CA",Cathedral/Northern Colorado
95,Cayden Camper,K,SO,6-4,205,"Pueblo, CO",Pueblo County
12,Cam'ron Carter,LB,JR,6-2,225,"Tucker, GA",Tucker
7,Todd Centeio,QB,JR,6-1,220,"Palm Beach Gardens, FL",Dwyer/Temple
14,Nate Craig-Myers,WR,SR,6-2,205,"Dade City, FL",Tampa Catholic/Auburn
71,Brian Crespo-Jaquez,OL,FR,6-6,315,"Fort Collins, CO",Poudre
52,Aidan Cullen,DL,FR,6-5,255,"Monument, CO",Palmer Ridge
17,Christian Cumber,DB,JR,6-0,185,"Denver, CO",J.K. Mullen
35,Joe DeLine,K,SR,6-0,225,"Steamboat Springs, CO",Steamboat Springs
49,Brandon Derrow,DL,SO,6-3,265,"Columbus, OH",St. Francis De Sales
46,Devon Edwards,LB,FR,6-1,220,"Longmont, CO",Mead
79,Tex Elliott,OL,FR,6-4,290,"Indianapolis, IN",Cathedral
10,Tywan Francis,DB,JR,6-0,200,"New Orleans, LA",Landry-Walker
99,Jack Gabbe,P,FR,6-1,200,"Jupiter, FL",Cardinal Newman
73,Gage Gaynor,OL,FR,6-4,290,"Parkland, FL",Stoneman Douglas
43,Troy Golden,LB,SO,6-2,235,"Orlando, FL",Olympia
19,Xavier Goldsmith,DB,FR,5-8,175,"Detroit, MI",Harrison
14,Brandon Guzman,DB,FR,6-0,190,"Pasadena, CA",Covina
23,Mikell Harvey,DB,SO,5-8,170,"Slidell, LA",Northshore
89,Kyle Helbig,TE,FR,6-4,255,"Broomfield, CO",Holy Family
24,Kyjuan Herndon,RB,FR,5-9,190,"Jacksonville, FL",Trinity Christian
15,Brandon Hickerson-Rooks,DL,JR,6-0,235,"Harrisburg, PA",Central Dauphin East/Lackawanna CC
31,Tanner Hollens,LB,FR,6-1,220,"Littleton, CO",Columbine
44,Blake Householder,DL,SO,6-0,275,"Missouri City, TX",Dulles
98,Ellison Hubbard,DL,SR,6-2,285,"Loganville, GA",Grayson
28,Christian Hunter,RB,SO,5-11,195,"Fontana, CA",Kaiser
90,"Casey Irons, Jr.",DL,FR,6-3,265,"Gilmer, TX",Gilmer
56,Ches Jackson,OL,SO,6-4,295,"Tifton, GA",Tift County
5,Dequan Jackson,LB,JR,6-2,235,"Jacksonville, FL",Robert E. Lee
29,Tyreese Jackson,RB,FR,6-0,220,"Jeanerette, LA",Westgate
53,Elijah Johnson,OL,JR,6-6,315,"Severn, MD",Dematha/Boston College
33,Manny Jones,DL,SR,6-4,280,"Cartersville, GA",Woodland
42,Mohamed Kamara,LB,SO,6-2,240,"Newark, NJ",Central
52,Adam Korutz,OL,SR,6-2,295,"Johnson City, NY",Johnson City/Boston College
99,Luis Lebron,DL,JR,6-4,325,"Jacksonville, FL",Sandalwood
65,Tautai Li'o Marks,OL,FR,6-2,305,"Santa Ana, CA",Mater Dei
96,Robert Liss,K,FR,5-10,175,"Phoenix, AZ",Verrado
26,Logan Ludwig,WR,SO,6-0,190,"Roxborough, CO",ThunderRidge
0,Toby McBride,DL,SR,6-3,285,"Fort Morgan, CO",Fort Morgan
85,Trey McBride,TE,JR,6-4,260,"Fort Morgan, CO",Fort Morgan
60,Florian McCann,OL,SO,6-3,300,"Denver, CO",Mullen
2,Justice McCoy,QB,JR,6-2,210,"New Orleans, LA",Saint Augustine
6,Ty McCullouch,WR,SO,6-1,175,"Moreno Valley, CA",Rancho Verde
83,Chris McEahern,WR,FR,5-11,190,"Arvada, CO",Arvada West
32,"Marcus McElroy, Jr.",RB,SR,6-0,235,"Denver, CO",Mullen
91,James Mitchell,DL,FR,6-3,300,"Duncanville, TX",Duncanville
35,Aaron Moore,LB,FR,6-1,215,"Oakland, TN",Oakland
72,Dirk Nelson,OL,FR,6-3,300,"Visalia, CA",Central Valley Christian
15,Jonah O'Brien,QB,FR,6-4,195,"Bartlett, IL",Bartlett/Eastern Illinois
12,Patrick O'Brien,QB,SR,6-5,235,"San Juan Capistrano, CA",San Juan Hills/Nebraska
81,Dane Olson,WR,FR,5-11,180,"San Diego, CA",San Marcos
2,Dajon Owens,DB,SR,6-0,195,"Los Angeles, CA",Gardena/Long Beach City College
18,Thomas Pannunzio,WR,JR,5-9,170,"Pueblo, CO",Pueblo South
92,Livingston Paogofie,DL,SR,6-1,270,"Arlington, TX",Bowie
1,Scott Patchan,DL,SR,6-6,255,"Tampa, FL",IMG Academy/Miami
94,Devin Phillips,DL,JR,6-2,310,"Monroe, LA",Neville
70,Joctavis Phillips,OL,JR,6-4,320,"West Monroe, LA",Neville
53,Cade Plath,LB,FR,6-0,225,"Chanhassen, MN",Chanhassen
88,Brian Polendey,TE,JR,6-5,260,"Denton, TX",Guyer/Miami
36,Payton Polson,LB,FR,6-0,205,"Highlands Ranch, CO",Valor Christian
13,Jeremiah Pruitte,WR,FR,6-5,220,"Marietta, GA",Wheeler
50,Cian Quiroga,DL,FR,6-2,260,"Denver, CO",Valor Christian
55,Cam Reddy,OL,SO,6-2,305,"Franklin, MA",Lawrence Aca./Boston College
86,Ross Reiter,LS,JR,5-11,230,"Phoenix, AZ",Brophy Prep
56,Rushton Roberts,DL,SO,6-5,240,"Jacksonville, FL",The Bolles School
38,Adonis Rufran,DB,JR,5-8,170,"Colorado Springs, CO",William J. Palmer
87,Ryan Sayre,WR,SR,6-2,200,"Castle Rock, CO",Douglas County/Chadron State
3,E.J. Scott,WR,JR,6-2,200,"Powder Springs, GA",McEachern
80,Sawyer Shepherd,TE,FR,6-5,240,"Loveland, CO",Resurrection Christian
57,Kavesz Sherard,OL,SO,6-4,305,"Anderson, SC",T. L. Hanna
50,Owen Snively,OL,FR,6-5,290,"Tilton, NH",Tilton
9,Logan Stewart,DB,SR,6-1,215,"Loveland, CO",Mountain View/Iowa Central C.C.
59,Grant Stewartson,DL,FR,6-2,285,"Highlands Ranch, CO",Highlands Ranch
41,Ryan Stonehouse,P,SR,5-11,180,"La Verne, CA",Mater Dei
39,Sanjay Strickland,LB,FR,6-2,235,"Arvada, CO",Pomona
10,Aaron Syverson,QB,FR,6-0,195,"Minnetonka, MN",Minnetonka
40,Corte Tapia,TE,JR,6-2,240,"Windsor, CO",Windsor
93,Jonathan Terry,K,SO,6-0,190,"Castle Rock, CO",Castle View
27,Jaylen Thomas,RB,SO,5-11,215,"Colorado Spring, CO",Vista Ridge
20,A'Jon Vivens,WR,SO,5-11,200,"Denver, CO",Mullen
97,Huck Vollmar,LS,JR,6-2,210,"Colorado Springs, CO",Air Academy
82,Dylan Walker,TE,FR,6-5,250,"Royersford, PA",Pope John Paul II
1,Jadon Walker,WR,JR,6-0,205,"Lithia Springs, GA",Chapel Hill
69,Barry Wesley,OL,JR,6-7,310,"Morrison, CO",Bear Creek
84,Gary Williams,TE,SO,6-2,245,"Charlotte, NC",Vance
34,Hunter Williams,RB,SO,5-7,185,"Frisco, TX",Frisco Centennial
77,Keith Williams,OL,SR,6-7,300,"Baltimore, MD",Overlea/Independence C.C.
30,Chase Wilson,LB,FR,6-2,225,"Arvada, CO",Ralston Valley
22,Dante Wright,WR,SO,5-9,180,"Navarre, FL",Navarre
