No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
30,Armani-Eli Adams,S,SO,5-11,180,"St Petersburg, FL",Lakewood
19,D'Marcus Adams,WR,SO,6-0,170,"Ormond Beach, FL",Mainland/Florida State
32,Matthew Akuchie,WR,FR,6-3,195,"Fort Lauderdale, FL",St. Thomas Aquinas
84,BJ Alexander,WR,SO,6-3,189,"Miami Gardens, FL",Chaminade Madonna/Kentucky
24,Damian Alloway,WR,SR,5-9,175,"Fontana, CA",Summit/Mt. San Antonio College
70,Nate Alperi,OL,FR,6-10,325,"Boca Raton, FL",St. Thomas Aquinas
48,Evan Anderson,DL,FR,6-3,355,"Orlando, FL",Jones
82,Alex Atcavage,OL,FR,6-5,265,"Honesdale, PA",IMG Academy
33,David Belvin III,OLB,SR,6-3,220,"Palmetto, FL",Palmetto
39,Rayquan Berry,RB,FR,5-6,165,"Coral Gables, FL",Northwestern HS
95,Marlon Bradley,DE,FR,6-4,240,"Deltona, FL",Deltona
19,Caliph Brice,LB,SR,6-2,210,"Rock Hill, SC",Northwestern HS/Hutchinson CC
49,Ryan Cameron,TE,FR,6-2,215,"Jupiter, FL",Dwyer
28,James Charles,RB,SR,5-10,190,"North Lauderdale, FL",St. Thomas Aquinas
8,TJ Chase,WR,SR,6-1,185,"Plant City, FL",Plant City/Clemson
40,Tanner Coad,LS,FR,6-1,230,"St. Petersburg, FL",Admiral Farragut Academy
15,Luke Cohn,QB,FR,5-11,175,"Longwood, FL",Trinity Prep
27,Glover Cook,DB,SO,6-1,180,"Ocala, FL",Vanguard
20,Malcolm Davidson,RB,JR,5-10,220,"Kissimmee, FL",Osceola
21,"Kelvin Dean, Jr.",RB,FR,6-0,195,"Chipley, FL",James Rickard
97,Alvin Dempsey III,DL,JR,6-1,275,"Port St. Joe, FL",Port St. Joe/East Central CC
69,Kye Dixon,DT,FR,6-0,270,"Sarasota, FL",Riverview/Jacksonville
62,Sebastien Dolcine,OL,JR,6-5,271,"Plantation, FL",Miramar/Copiah-Lincoln CC
4,BJ Emmons,RB,SR,6-0,220,"Morganton, NC",Freedom/Hutchinson CC
76,BJ Etienne,OL,JR,6-3,310,"Greenacres, FL",St. Thomas Aquinas
46,Austin Evans,TE,JR,6-5,225,"Palm Beach Gardens, FL",Dwyer/Webber International
78,Eli Fields,OL,SO,6-5,300,"Linden, NJ",Linden/Butler CC
39,Emmanuel Forkuoh,CB,FR,5-9,165,"Tampa, FL",Chamberlain
56,Jonathan Francois,LB,JR,6-1,210,"Hialeah, FL",Mater Academy Charter/Charlotte
24,Zyon Gilbert,S,SR,6-1,170,"Montgomery, AL",Jefferson Davis
53,Christian Gomez,LB,SR,6-0,235,"Pembroke Pines, FL",Cypress Bay/Coffeyville CC
68,Issa Hamideh,OL,FR,6-3,290,"Boca Raton, FL",Boca Raton
79,Deondrick Harper,DL,FR,6-4,330,"St. Petersburg, FL",Canterbury
90,Decarius Hawthorne,DL,FR,6-2,270,"Center Point, AL",Center Point
42,Matt Hayball,P,SO,6-1,180,"West Adelaide, Australia",-
77,Devin Hayes,OL,SO,6-6,285,"Orlando, FL",Jones
35,Jordan Helm,S,SR,6-2,185,"Jacksonville, FL",Bartram Trail
16,Chris Herring,DB,JR,6-4,185,"Tampa, FL",Robinson/Alabama
21,Diamante Howard,DB,FR,6-3,185,"Perrine, FL",Miami Southridge
74,Deon Humphrey,OL,JR,6-3,305,"Delray Beach, FL",American Heritage - Delray
57,Dalton Hustad,OLB,SO,6-3,230,"Palm Beach Gardens, FL",Dwyer
87,Michael Irvin II,TE,SR,6-3,234,"Fort Lauderdale, FL",St. Thomas Aquinas/Miami
99,Tre Jackson,OLB,SO,6-2,225,"Winter Haven, FL",West Orange
96,Latrell Jean,DL,FR,6-3,285,"Lakeland, FL",Lakeland
44,Jarrett Jerrels,LB,FR,6-2,205,"Williston, FL",Chiefland
51,Ja'Marquis Johnson,OLB,FR,6-4,210,"Nashville, GA",Berrien
72,"Doug Johnson, Jr.",OL,SO,6-5,345,"Fort White, FL",Fort White
49,Chris Jones,OLB,FR,6-4,225,"Pompano Beach, FL",Coconut Creek
71,Jake Jones,OL,SR,6-0,280,"Loxahatchee, FL",Seminole Ridge
50,Malik Jones,OL,FR,6-2,335,"Zephyrhills, FL",Zephyrhills Christian Academy
88,Jefftey Joseph,WR,JR,6-2,200,"Pompano Beach, FL",Deerfield Beach/Virginia Union
98,Dorien Josey,DE,FR,6-2,265,"Southwest Brevard County, FL",Rockledge
52,Jaylen Joyner,DE,SO,6-3,270,"Jacksonville, FL",Jones
16,Tyler Kolb,QB,FR,5-11,162,"North Palm Beach, FL",Palm Beach Gardens
54,Marlon Krakue,OLB,FR,6-2,215,"Marietta, GA",Sprayberry
93,Malcolm Lamar,DL,SO,6-5,290,"Seffner, FL",Armwood/Florida State
61,Andre Lamas,OL,FR,6-3,300,"Miami, FL",Columbus
25,Chase Lasater,LB,JR,6-2,225,"Orange Park, FL",Trinity Christian Academy
37,Daniel Leconte,RB,JR,5-11,195,"Dacula, GA",Mill Creek
55,Joe Lewis,LB,FR,6-1,235,"Tampa, FL",Tampa Bay Tech
67,Derek Lilliquist,OL,JR,6-2,275,"Vero Beach, FL",Vero Beach/Indian River CC
91,Travis Lockhart,DL,FR,6-3,250,"Villa Rica, GA",Carrollton
64,Federico Maranges,OL,FR,6-4,295,"Miami, FL",Columbus
60,Nicholas Marino,LS,FR,6-2,240,"Hollywood, FL",St. Thomas Aquinas
3,Larry McCammon III,RB,SO,5-11,205,"Hoover, AL",Hoover
13,Leighton McCarthy,OLB,SR,6-3,220,"Apopka, FL",Wekiva
7,Justin McKithen,DB,FR,5-10,150,"Savannah, GA",New Hampstead
14,Ashton McNeal,CB,SR,5-11,160,"Deerfield Beach, FL",Deerfield Beach/Los Angeles Harbor College
81,Jordan Merrell,WR,JR,5-9,200,"Fort Lauderdale, FL",St. Thomas Aquinas
85,John Mitchell,WR,SR,6-4,220,"Tallahassee, FL",Lawton Chiles
12,Diashun Moss,CB,SR,5-10,175,"Coral Springs, FL",Cardinal Gibbons
59,Antarrius Moultrie,LB,FR,6-2,200,"Pensacola, FL",West Florida Tech
20,Romain Mungin,DB,SO,5-9,160,"Tampa, FL",Plant
53,Desmond Noel,OL,SR,6-3,285,"Cincinnati, OH",Colerain/Fort Scott CC
34,Carter Odell,DB,FR,5-9,185,"Scranton, PA",Scranton Prep
18,Terique Owens,WR,SO,6-3,180,"Pleasanton, CA",Bishop O'Dowd/Contra Costa College
86,Ronald Patterson,WR,JR,6-2,178,"Jacksonville, FL",William M. Raines
47,Logan Peterson,TE,JR,6-3,230,"Aledo, TX",Aledo
11,Javion Posey,QB,FR,6-1,195,"Greenville, AL",Greenville
26,Trevor Reaves,DB,FR,6-2,180,"Miami, FL",Edison
66,Deshawn Richardson,OL,FR,6-4,325,"Pahokee, FL",Pahokee
44,Vladimir Rivas,K,JR,5-10,190,"Doral, FL",Doral Academy
89,Brandon Robinson,WR,JR,6-4,200,"Jacksonville, FL",Trinity Christian Academy/Warner University
75,Marquice Robinson,OL,SO,6-3,305,"Decatur, AL",Austin
17,Yanez Rogers,WR,SO,6-2,195,"Pompano Beach, FL",Blanche Ely/Cincinnati
50,"Cecil Rolle, Jr.",LB,SO,5-10,210,"Fort Pierce, FL",Fort Pierce Central
5,Ahman Ross,OLB,JR,5-11,200,"Jacksonville, FL",The Bolles School
68,Warren Sapp II,OLB,FR,6-1,195,"Orlando, FL",Winter Garden Foundation Academy
40,Makai Sawtelle,LB,FR,6-2,190,"Stuart, FL",Jensen Beach
46,Aaron Shahriari,K,SO,6-2,225,"Clearwater, FL",Calvary Christian/Furman
47,Kaelen Skipper,S,SO,5-9,180,"St. John's, FL",Bartram Trail
29,Korel Smith,CB,SR,5-10,170,"Miramar, FL",Miramar
34,Rahmod Smith,TE,FR,6-5,237,"Florida City, FL",Homestead
92,Marcel Southall,DT,SR,6-3,275,"Houston, TX",Duncanville/Tyler JC
