No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
48,Justin Abraham,ILB,FR,6-1,233,"Hartsville, SC",Hartsville
74,Despelado Alexandre,OT,SO,6-5,285,"Deerfield Beach, FL",Deerfield Beach
57,Marcus Anderson,ILB,FR,5-10,219,"Moultrie, GA",Colquitt County
50,T.J. Arnold,DE,SR,6-0,225,"Rome, GA",Model
89,Kellan Autenrieth,WR,FR,5-11,190,"Dallas, GA",North Paulding
3,Chris Bacon,S,JR,6-1,193,"Atlanta, GA",Westlake
64,Pat Bartlett,OG,JR,6-4,295,"Newtown, PA",Council Rock North
77,Johnathan Bass,OT,SO,6-4,290,"Acworth, GA",Kell
27,Ahijah Blackwell,RB,FR,5-10,185,"Rome, GA",Rome
78,Trey Bonner,OL,FR,6-4,299,"Gray, GA",Jones County
43,Deandre Bowman,WR,SR,5-10,185,"Columbus, GA",Pacelli
5,Bryquice Brown,CB,FR,6-0,180,"Dorchester, MA",Lithia Springs (Ga.)
76,Jonathan Brown,OL,FR,6-5,288,"Anderson, SC",T.L. Hanna
4,Cornelious Brown IV,QB,FR,6-5,200,"Birmingham, AL",Calera
93,Jeremy Butler,DL,FR,6-3,225,"McDonough, GA",Eagle's Landing Christian
84,Kris Byrd,TE,FR,6-1,227,"Lyman, SC",Byrnes
42,Blake Carroll,ILB,JR,6-1,230,"Lawrenceville, GA",Mountain View
23,Marcus Carroll,RB,FR,5-10,192,"Union City, GA",Hapeville Charter Academy
35,Keon Carter,S,SR,5-10,185,"Decatur, GA",Norcross
45,Roger Carter,TE,SR,6-2,250,"Columbia, SC",Blythewood
67,Ben Chukwuma,OL,JR,6-6,260,"Austell, GA",Campbell
91,Jeffery Clark,DL,FR,6-0,276,"Powder Springs, GA",McEachern
17,Destin Coates,RB,JR,5-11,198,"Tallahassee, FL",Rickards
10,Mikele Colasurdo,QB,FR,6-1,206,"Inman, SC",Chapman
68,Mason Cook,OL,FR,6-3,258,"Columbus, GA",Central (Ala.)
10,Jacorey Crawford,OLB,JR,6-0,205,"Thomson, GA",Thomson
72,Luis Cristobal,OG,FR,6-0,301,"Miami, FL",Christopher Columbus
53,Markland Davis,ILB,SO,6-1,210,"Suwanee, GA",North Gwinnett
98,Javon Denis,DE,FR,6-0,245,"Deerfield Beach, FL",Deerfield Beach
96,Miles Dickens,DE,FR,6-2,231,"Deerfield Beach, FL",Deerfield Beach
0,Terrance Dixon,WR,JR,5-7,170,"Columbus, GA",Columbus
32,Zach Dixon,ILB,SO,6-1,215,"Miami, FL",Chaminade-Madonna
70,Chandler Durham,OL,FR,6-3,266,"McDonough, GA",Ola
51,Charlie Flint,LS,SO,6-1,230,"Pembroke, GA",Bryan County
60,Ronald Folkes,OL,FR,6-4,265,"Belle Glade, FL",William T. Dwyer
9,Jacob Freeman,WR,FR,5-11,195,"LaGrange, GA",Callaway
81,Spencer Gaddis,WR,SO,5-11,175,"Alpharetta, GA",Alpharetta/Western Kentucky
75,Shamarious Gilmore,OG,SR,6-3,295,"Riverdale, GA",Drew
66,Seth Glausier,LS,SO,6-1,215,"Jefferson, GA",Jefferson
73,Travis Glover,OT,SO,6-6,330,"Vienna, GA",Dooly County
71,Cameron Golden,OL,FR,6-4,250,"Fort Pierce, FL",Fort Pierce Central
23,Terrell Gordon,OLB,FR,6-1,190,"Phenix City, AL",Central
59,Thomas Gore,NG,FR,6-0,280,"Nashville, TN",Brentwood Academy
12,Tyler Gore,CB,JR,5-10,175,"North Myrtle Beach, SC",North Myrtle Beach
85,Ahmon Green,TE,FR,6-2,232,"Columbia, SC",Westwood
26,Tucker Gregg,RB,JR,5-10,220,"Chatsworth, GA",Murray County
87,Donavon Grier,WR,JR,5-11,165,"Snellville, GA",Shiloh
24,Tyreke Harrison,S,FR,5-10,180,"Plant City, FL",Plant City
12,Kierston Harvey,QB,FR,5-10,180,"Americus, GA",Americus-Sumter
39,Michael Hayes,PK,FR,5-9,181,"Florence, SC",West Florence
37,Victor Heyward,OLB,SR,6-2,220,"Dacula, GA",Mill Creek
25,Dawson Hill,RB,SO,5-11,200,"Plantation, FL",South Plantation
1,Jontrey Hunter,OLB,SO,6-2,200,"Tampa, FL",Sickles
6,Jonathan Ifedi,WR,SR,6-0,195,"Charlotte, NC",Vance
11,Evan Jones,S,SR,6-2,190,"Decatur, GA",Salem/Illinois
27,Jaylon Jones,CB,JR,5-11,180,"Dacula, GA",Dacula
34,Antavious Lane,S,FR,5-9,180,"West Palm Beach, FL",William T. Dwyer
44,Jay Lepkoske,OLB,FR,6-2,204,"Cleveland, GA",White County
14,Robert Lewis,WR,FR,5-11,171,"Covington, GA",Newton
94,Kade Loggins,PK,FR,6-1,170,"Newnan, GA",Northgate
49,Joseph Lopez,ILB,FR,6-0,210,"Dacula, GA",Dacula
86,Ezeqiel Marion,-,-,-,-,-,-
80,Matlin Marshall,WR,SR,5-9,180,"Evans, GA",Evans
83,Cornelius McCoy,WR,JR,5-11,185,"Deerfield Beach, FL",Deerfield Beach
35,Herman McCray,TE,SO,6-4,220,"West Palm Beach, FL",Oxbridge Academy
55,Jeff Miller,OL,FR,6-2,280,"Seffner, FL",Armwood
28,Chris Moore,S,SR,6-0,210,"Ashburn, VA",Broad Run/Virginia
54,Tre Moore,DE,SO,6-3,250,"North Augusta, SC",Strom Thurmond
9,Jamil Muhammad,LB,FR,6-1,220,"Madison, AL",James Clemens
41,Ikenine Ochie,OLB,JR,6-4,235,"Albany, GA",Westover
28,Seth Paige,RB,JR,5-10,180,"Macclenny, FL",Baker County
88,Aubry Payne,TE,SR,6-4,228,"Locust Grove, GA",Locust Grove/Western Carolina
8,Jaquez Pennimon,S,FR,6-0,185,"Macon, GA",Southwest
15,Sam Pinckney,WR,SO,6-4,210,"Greenwood, SC",Greenwood
31,Makari Pruitt,RB,FR,5-6,160,"Conyers, GA",Salem
36,Luke Purnell,TE,FR,6-2,210,"LaGrange, GA",Troup County
65,Avery Reece,C,FR,6-2,270,"Anderson, SC",Belton-Honea Path
19,Kerryon Richardson,WR,JR,5-10,165,"West Columbia, SC",Airport
92,Noel Ruiz,PK,SR,5-11,187,"Wilson, NC",Fike/North Carolina A&T
18,Cameron Sims,CB,FR,6-0,180,"Memphis, TN",Lausanne Collegiate
97,Akeem Smith,NG,SO,6-0,299,"Richmond, VA",Bishop Sullivan Catholic
33,T.J. Smith,OLB,SO,6-3,245,"Laurinburg, NC",Scotland
46,Darius Snellings,OLB,JR,6-2,215,"Jonesboro, GA",Mundy's Mill
