No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
19,Adam Anderson,OLB,JR,6-5,225,"Rome, GA",Rome
33,Robert Beal Jr.,OLB,JR,6-4,244,"Norcross, GA",Peachtree Ridge
15,Carson Beck,QB,FR,6-4,225,"Jacksonville, FL",Mandarin
13,Stetson Bennett,QB,JR,5-11,190,"Blackshear, GA",Pierce County/Jones College (Miss.)
58,Austin Blaske,OL,FR,6-5,295,"Faulkville, GA",South Effingham
8,Dominick Blaylock,WR,SO,6-1,195,"Marietta, GA",Walton
14,Trey Blount,WR,JR,6-2,200,"Atlanta, GA",Pace Academy
37,Patrick Bond,WR,SO,5-10,180,"Alpharetta, GA",Milton
26,Daran Branch,DB,FR,6-2,178,"Amite, LA",Amite
36,Latavious Brini,DB,JR,6-2,210,"Miami Gardens, FL",Mater Academy Charter
97,Warren Brinson,DT,FR,6-4,305,"Savannah, GA",IMG Academy
54,Cade Brock,DL,FR,6-0,250,"Subligna, GA",Darlington
68,Chris Brown,OL,FR,6-5,300,"Savannah, GA",Islands
42,Matthew Brown,OLB,SO,6-2,230,"Guyton, GA",South Effingham
97,Brooks Buce,PK,JR,6-0,175,"Johns Creek, GA",Greater Atlanta Christian
20,Major Burns,DB,FR,6-2,175,"Baton Rouge, LA",Madison Prep Academy
7,Jermaine Burton,WR,FR,6-0,195,"Calabasas, CA",Calabasas
12,Tommy Bush,WR,SO,6-5,195,"Schertz, TX",Samuel Clemens
90,Jake Camarda,PK,JR,6-2,180,"Norcross, GA",Norcross
3,Tyson Campbell,DB,JR,6-2,185,"Plantation, FL",American Heritage
43,Jehlen Cannady,DB,FR,6-0,176,"Macon, GA",Westside
88,Jalen Carter,DL,FR,6-3,305,"Apopka, FL",Apopka
83,Kaustov Chakrabarti,WR,FR,5-7,160,"Lilburn, GA",Parkview
95,Noah Chumley,P,FR,6-3,185,"Savannah, GA",Savannah Christian
16,Lewis Cine,DB,SO,6-1,185,"Cedar Hill, TX",Trinity Christian
20,Sevaughn Clark,RB,FR,6-1,215,"Dawsonville, GA",Dawson County
74,Ben Cleveland,OL,SR,6-6,335,"Toccoa, GA",Stephens County
75,Owen Condon,OL,SO,6-7,310,"Oklahoma City, OK",Bishop McGuinness
4,James Cook,RB,JR,5-11,190,"Miami, FL",Miami Central
14,DJ Daniel,DB,SR,6-1,185,"Griffin, GA",Spalding/Georgia Military College
18,JT Daniels,QB,SO,6-3,210,"Irvine, CA",Mater Dei/Southern California
99,Jordan Davis,DL,JR,6-6,330,"Charlotte, NC",Mallard Creek
12,Rian Davis,ILB,FR,6-2,230,"Apopka, FL",Wekiva
17,Nakobe Dean,ILB,SO,6-0,220,"Horn Lake, MS",Horn Lake
33,Daijun Edwards,RB,FR,5-10,201,"Norman Park, GA",Colquitt County
50,Warren Ericson,OL,SO,6-4,305,"Suwanee, GA",North Gwinnett
86,John FitzPatrick,TE,SO,6-7,254,"Atlanta, GA",Marist School
88,Ryland Goede,TE,FR,6-6,240,"Kennesaw, GA",Kennesaw Mountain
