No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
96,Lucas Amaya,K,FR,6-2,207,"Muskego, WI",Muskego
47,Nick Anderson,LB,SR,6-2,230,"Waukee, IA",Waukee/Iowa Western CC
61,Cole Banwart,OL,SR,6-4,296,"Ottosen, IA",Algona
4,Dane Belton,DB,SO,6-1,205,"Tampa, FL",Jesuit
44,Seth Benson,LB,SO,6-0,231,"Sioux Falls, SD",Washington
42,Shaun Beyer,TE,SR,6-5,248,"Shellsburg, IA",Cedar Rapids Kennedy
94,Yahya Black,DL,FR,6-5,279,"Marshall, MN",Marshall
1,Aaron Blom,K,FR,5-11,188,"Oskaloosa, IA",Oskaloosa
7,Reggie Bracy,DB,FR,6-0,203,"Mobile, AL",St. Paul's Episcopal
20,Julius Brents,DB,SO,6-2,204,"Indianapolis, IN",Warren Central
63,Justin Britt,OL,FR,6-5,293,"Indianapolis, IN",Warren Central
88,Isaiah Bruce,DL,FR,6-2,273,"Lena, IL",Lena-Winslow
23,Shadrick Byrd,RB,FR,5-10,210,"Alabaster, AL",Thompson
31,Jack Campbell,LB,SO,6-5,243,"Cedar Falls, IA",Cedar Falls
29,Sebastian Castro,DB,FR,5-11,197,"Oak Lawn, IL",Richards
32,Djimon Colbert,LB,JR,6-1,225,"Shawnee Mission, KS",Bishop Miege
9,Jack Combs,WR,JR,6-1,190,"Grand Rapids, MI",East Grand Rapids/Central Michigan
19,Max Cooper,WR,SR,6-0,192,"Waukesha, WI",Catholic Memorial
15,Dallas Craddieth,DB,SO,5-11,196,"St. Louis, MO",Hazelwood Central
45,Deontae Craig,DL,FR,6-3,249,"Fort Wayne, IN",Culver Academies
51,Coy Cronk,OL,SR,6-5,305,"Lafayette, IN",Central Catholic/Indiana
53,Spencer Daufeldt,DL,FR,6-1,295,"West Liberty, IA",West Liberty
56,Nick DeJong,OL,FR,6-6,296,"Pella, IA",Pella
17,Brenden Deasfernandes,DB,FR,6-0,176,"Belleville, MI",Belleville
41,Colton Dinsdale,FB,SR,5-11,232,"Reinbeck, IA",Gladbrook-Reinbeck/Iowa Western CC
