No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
80,Keshunn Abram,WR,SR,6-2,193,"Southaven, MS",-
69,Sam Allan,OL,JR,6-2,285,"Portage, MI",-
92,Reignings Awah,DL,FR,6-4,252,"Mississauga, Canada",-
26,J.B. Awolowo,WR,FR,5-9,199,"Charlotte, NC",-
65,Jack Bailey,OL,FR,6-3,285,"Willoughby, OH",-
21,Joachim Bangda,RB,SO,5-10,231,"Washington, DC",-
20,Daniel Bangura,RB,SO,5-10,185,"Canal Winchester, OH",-
15,Woody Barrett,QB,SR,6-2,245,"Orlando, FL",-
41,Ty Berrong,LB,FR,6-3,222,"Port Orange, FL",-
12,Capone Blue,CB,SO,6-3,179,"San Diego, CA",-
31,Bryan Bradford,RB,FR,6-0,243,"St. Louis, MO",-
13,Paul Breinz,DB,SO,5-9,181,"Canfield, OH",-
17,Griffin Brewster,QB,FR,6-2,192,"Rome, GA",-
59,Will Burns,DL,SO,6-3,258,"Erie, PA",-
24,Tony Butler,CB,SR,6-2,214,"Lakewood, OH",Nebraska
26,Richie Carpenter Jr.,DB,SR,5-10,194,"Dayton, OH",-
14,Dante Cephas,WR,FR,6-1,178,"Pittsburgh, PA",-
10,Dean Clark,S,SO,6-0,211,"Massillon, OH",-
70,Jack Clement,OL,JR,6-3,283,"Springfield, IL",-
31,Marquail Coaxum,DB,FR,5-10,165,"Cartersville, GA",-
35,Brandon Coleman,LB,FR,6-1,219,"Columbia Station, OH",-
24,Marquez Cooper,RB,FR,5-6,184,"Gaithersburg, MD",-
7,Dustin Crum,QB,SR,6-3,207,"Grafton, OH",-
39,Miles Daniel,CB,SR,5-9,166,"Oak Park, MI",-
30,Jaylen DeCoteau,DB,FR,5-11,181,"Richland, NJ",-
55,Sekou Diaby,DL,SR,6-2,278,"Hillside, NJ",-
89,Tyler Dixon,WR,FR,6-3,198,"Saint Louis, MO",-
45,Adam Dulka,TE,SR,5-9,212,"Brecksville, OH",-
88,Luke Floriea,WR,FR,5-10,168,"Mentor, OH",-
34,Kesean Gamble,LB,SR,6-1,274,"Cincinnati, OH",-
58,Brad George,LS,FR,5-9,199,"Wheaton, IL",-
81,Robie Glass,WR,FR,6-3,189,"Springfield, OH",-
75,Adam Gregoire,OL,SR,6-6,332,"Canton, OH",-
82,Kwincy Hall,-,-,-,-,-,-
11,Matt Harmon,LB,SO,6-5,234,"Rockwood, MI",-
86,Justin Hartzell,WR,FR,6-2,204,"Steubenville, OH",-
43,Ian Henzi,P,JR,6-0,196,"Livonia, MI",-
14,Elvis Hines,CB,SR,5-10,174,"Camden, NJ",-
29,C.J. Holmes,DB,JR,6-0,213,"Hamden, CT",Penn State/NotreDame
53,Adin Huntington,DL,FR,6-0,263,"Stafford, VA",-
12,Raymond James,WR,JR,5-11,186,"Dayton, OH",-
32,Khalib Johns,LB,JR,6-2,232,"Lancaster, CA",College of the Canyons
77,Daniel Johnson,OL,SO,6-5,307,"London, Canada",-
52,Buddha Jones,DT,SO,6-3,273,"Tallahassee, FL",-
87,Hayden Junker,TE,FR,6-3,247,"Massillon, OH",-
74,Thor Kracht,OL,FR,6-3,280,"Carmel, IN",-
71,Bill Kuduk,OL,JR,6-4,295,"Chicago, IL",-
66,Elijah Lamptey,OL,FR,6-5,295,"Chicago, IL",-
28,Mandela Lawrence-Burke,LB,SR,6-0,200,"Steubenville, OH",-
11,Kris Leach,TE,JR,6-6,248,"Bealton, VA",-
72,Marcellus Marshall,OL,FR,6-5,331,"Morgantown, WV",-
83,Lon'kevious McFadden,WR,SO,6-4,205,"Pahokee, FL",-
23,Isaiah McKoy,WR,JR,6-3,200,"Brooklyn, NY",Ga.
52,Michael McNicholas,OL,FR,6-3,313,"Lombard, IL",-
21,Montre Miller,CB,SO,5-10,183,"Blythewood, SC",-
18,Terrell Miller,DB,FR,6-0,167,"Fairburn, GA",-
54,Nathan Monnin,OL,SR,6-5,295,"Piqua, OH",-
51,Anthony Morris,LB,SO,5-10,225,"Cleveland, OH",-
62,Mike Morris,OL,SO,6-1,289,"Dayton, OH",-
37,Luke Murphy,S,FR,6-1,192,"Massillon, OH",-
19,A.J. Musolino,LB,JR,6-3,209,"Struthers, OH",-
20,Mario Nunez,DB,FR,6-2,184,"Kennesaw, GA",-
15,Prince Okituama,LB,FR,6-7,221,"Newark, NJ",-
57,Oly Okombi,DL,FR,6-1,256,"Silver Spring, MD",-
13,Keenan Orr,TE,JR,6-5,223,"Forest, IN",-
48,Cepeda Phillips,LB,SR,6-0,217,"Detroit, MI",-
94,Seth Phillis,K,FR,5-11,211,"Burgettstown, PA",-
56,Nadir Pineda,DT,SO,6-3,278,"Patterson, NJ",-
25,Ja'Shaun Poke,WR,SO,5-10,171,"Hampton, GA",-
41,Jabbar Price,DL,SR,6-4,250,"Youngstown, OH",-
56,Elijah Ratliff,OL,SO,6-3,291,"Reynoldsburg, OH",-
46,Tyler Roberson,DE,FR,6-3,284,"Louisville, KY",-
33,Jasper Robinson,LB,FR,6-4,259,"Canton, OH",-
36,Jeremiah Salaam,S,JR,5-10,170,"Frostproof, FL",-
55,Julian Sams,OL,JR,6-3,300,"Bealeton, VA",-
47,Josh Sanders,LS,FR,6-4,207,"Pickerington, OH",-
19,Collin Schlee,QB,FR,6-3,218,"Ijamsville, MD",-
5,Keith Sherald Jr.,CB,SR,5-9,181,"Waldorf, MD",-
44,Sebastian Spear,LB,SR,6-0,203,"Cleveland, OH",-
61,Nick Spicer,OL,JR,6-1,282,"Kent, OH",-
76,Logan Swartz,OL,FR,6-5,306,"Rock Island, IL",-
51,Tyler Thomas,OL,FR,6-4,300,"Baltimore, MD",-
50,Adam Tourville,OL,SR,6-3,330,"La Habra, CA",-
2,Matthew Trickett,K,JR,6-0,198,"Cleveland, OH",-
38,Tynan Tucker,DB,FR,5-11,191,"Statesville, NC",-
27,Isaac Vance,WR,JR,5-9,169,"Las Cruces, NM",-
42,Juan Wallace,LB,JR,6-2,220,"Washington, DC",Fla./Syracuse
78,Savion Washington,OL,FR,6-8,342,"Akron, OH",-
50,CJ West,DL,FR,6-2,330,"LaGrange Park, IL",-
22,Michael West,LB,FR,6-5,224,"St. Louis, MO",-
0,Zayin West,DE,JR,6-1,272,"Midlothian, VA",-
73,Zach Whaley,OL,SO,6-4,299,"Prior Lake, MN",-
