No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
89,Nnamdi Adim-Madumere,WR,FR,6-4,235,"Fort Worth, TX",Southwest High School
3,MJ Anderson,DL,FR,6-3,280,"St. Louis, MO",Christian Brothers College High School
77,Blaise Andries,OL,JR,6-6,335,"Marshall, MN",Marshall
81,Brock Annexstad,WR,JR,6-2,205,"Norseland, MN",IMG Academy
5,Zack Annexstad,QB,SO,6-3,220,"Norseland, MN",IMG Academy
29,Josh Aune,LB,SO,6-2,235,"St. Paul, MN",Highland Park
7,Chris Autman-Bell,WR,JR,6-1,215,"Kankakee, IL",Bishop McNamara
27,Jimmy BCK,WR,FR,6-3,210,"Orono, MN",Orono
56,Ty Barron,LB,SO,6-0,230,"Minnetonka, MN",Minnetonka
0,Rashod Bateman,WR,JR,6-2,210,"Tifton, GA",Tift County
63,Austin Beier,OL,SO,6-4,310,"Toledo, OH",St. John's
49,Pete Bercich,LB,FR,6-2,240,"Lakeville, MN",Lakeville North/St. Thomas
66,Nathan Boe,OL,SO,6-5,300,"Lakeville, MN",Lakeville North
19,Itayvion Brown,LB,FR,6-4,235,"St. Louis, MO",Lutheran North
7,Solomon Brown,DB,FR,5-11,190,"Largo, FL",Largo High School
22,Mike Brown-Stephens,WR,FR,5-11,195,"Springfield, OH",Springfield High School
15,Jaqwondis Burns,LB,FR,6-2,220,"Bradenton, FL",IMG Academy
99,DeAngelo Carter,DL,FR,6-2,310,"Leesburg, GA",Lee County High School
44,Rashad Cheney Jr.,DL,FR,6-2,290,"Atlanta, GA",Cedar Grove High School
15,Jacob Clark,QB,FR,6-5,225,"Rockwall, TX",Rockwall High School
75,Tyler Cooper,OL,FR,6-5,300,"Saint Croix Falls, WI",Saint Croix Falls High School
96,Mark Crawford,P,FR,6-5,220,"Perth West, Australia",-
18,Micah Dew-Treadway,DL,SR,6-4,315,"Bolingbrook, IL",Bolingbrook/Notre Dame
11,Michael Dixon,DB,FR,6-2,210,"Statesboro, GA",Statesboro
24,Abner Dubar,DB,FR,6-1,185,"Anna, TX",Anna
51,Curtis Dunlap Jr.,OL,SO,6-5,345,"Jacksonville, FL",IMG Academy
16,Coney Durr,DB,SR,5-10,200,"Baton Rouge, LA",Dutchtown
6,Douglas Emilien,WR,FR,6-1,190,"Plantation, FL",American Heritage
69,Aireontae Ersery,OL,FR,6-6,320,"Kansas City, MO",Ruskin
78,Daniel Faalele,OL,JR,6-9,400,"Melbourne, Australia",IMG Academy
11,Lonenoa Faoa,QB,FR,6-1,230,"Las Vegas, NV",Liberty
30,Caden Fey,DB,FR,6-2,205,"Eden Prairie, MN",Eden Prairie
46,Lucas Finnessy,LB,FR,6-3,240,"Sussex, WI",Hamilton
6,Miles Fleming,DB,FR,5-11,180,"Columbus, OH",Bishop Hartley
18,Clay Geary,WR,SR,5-10,200,"Lakeville, MN",Lakeville South
48,Anders Gelecinskyj,K,SR,6-2,200,"Bloomington, MN",Kennedy/Minnesota State University
12,Jalen Glaze,DB,FR,6-0,185,"Tallahassee, FL",Lincoln
13,James Gordon IV,LB,FR,6-1,230,"Plant City, FL",Plant City High School
17,Seth Green,WR,SR,6-4,240,"Woodbury, MN",Allen
50,JJ Guedet,OL,FR,6-7,310,"Washington, IL",Washington Community High School
28,Matt Guggemos,DB,FR,6-1,205,"Eden Prairie, MN",Benilde St. Margaret's
5,Trenton Guthrie,LB,JR,6-3,220,"Northville, MI",Northville
33,D’Vion Harris,DL,FR,6-2,245,"St. Louis, MO",Lutheran North High School
21,Justus Harris,DB,SR,5-10,195,"Roswell, GA",Roswell
83,Austin Henderson,TE,FR,6-6,245,"Nashville, TN",Ensworth
91,Noah Hickcox,DL,JR,6-4,300,"Rockford, IL",Boylan Central Catholic
2,Phillip Howard,DB,SR,5-11,195,"Minneapolis, MN",Robbinsdale Cooper
23,Jordan Howden,DB,JR,6-0,210,"Las Vegas, NV",Desert Pines
24,Mohamed Ibrahim,RB,JR,5-10,210,"Baltimore, MD",Our Lady of Good Counsel
9,Daniel Jackson,WR,FR,6-0,200,"Kansas City, KS",Bishop Miege
25,Preston Jelen,RB,SO,5-10,210,"Prior Lake, MN",Prior Lake
90,Jah Joyner,DL,FR,6-5,250,"Danbury, CT",Danbury
87,Nick Kallerup,TE,FR,6-5,270,"Wayzata, MN",Wayzata
57,Jack Kern,DL,SO,6-2,305,"Eau Claire, WI",Eau Claire Memorial
99,Dragan Kesich,K,FR,6-4,235,"Oak Creek, WI",Oak Creek
41,Connor Keyes,LB,FR,6-2,230,"Cincinnati, OH",Elder
17,Gage Keys,DL,FR,6-5,280,"Hilliard, OH",Hilliard Davidson
42,Ko Kieft,TE,SR,6-5,265,"Sioux Center, IA",Sioux Center
12,Cole Kramer,QB,FR,6-1,205,"Eden Prairie, MN",Eden Prairie High School
38,Michael Lantz,K,SO,5-11,185,"Fayetteville, GA",Starrs Mill High School
73,Tyrell Lawrence,OL,FR,6-7,345,"Mississauga, Canada",Clearwater Academy International
35,Derik LeCaptain,LB,FR,6-2,235,"Gardner, WI",Southern Door High School
71,Martes Lewis,OL,FR,6-7,325,"Merrillville, IN",Merrillville
45,Cody Lindenberg,LB,FR,6-3,235,"Anoka, MN",Anoka
97,Jalen Logan-Redding,DL,FR,6-4,270,"Columbia, MO",Rock Bridge
34,Boye Mafe,DL,JR,6-4,265,"Golden Valley, MN",Hopkins
16,Jonathan Mann,WR,FR,6-3,225,"Rosemount, MN",Rosemount
36,Bishop McDonald,DB,SR,6-0,195,"Oakdale, MN",North St. Paul/Minnesota Duluth
48,Ben McNaboe,DL,FR,6-3,240,"Rogers, MN",Rogers
31,Kendall Moore,RB,FR,5-11,190,"St. Paul, MN",East Ridge
2,Tanner Morgan,QB,JR,6-2,215,"Union, KY",Ryle
27,Tyler Nubin,DB,SO,6-2,205,"Saint Charles, IL",St. Charles North High School
14,Casey O'Brien,HB,JR,6-1,185,"Saint Paul, MN",Cretin-Derham Hall
14,Braelen Oliver,LB,SO,6-0,235,"Douglasville, GA",Douglas County
64,Conner Olson,OL,SR,6-5,310,"Monticello, MN",Monticello
9,Esezi Otomewo,DL,JR,6-6,285,"Indianapolis, IN",Ben Davis
80,Jake Paulson,TE,JR,6-5,270,"Louisville, KY",Christian Academy
19,Samuel Pickerign,QB,JR,6-4,230,"Alpharetta, GA",Minnehaha Academy
26,Victor Pless,DB,FR,5-10,175,"Kennesaw, GA",Harrison
3,Treyson Potts,RB,FR,5-11,200,"Williamsport, PA",Williamsport High School
96,Logan Richter,DL,FR,6-4,340,"Perham, MN",Perham High School
65,Axel Ruschmeyer,OL,JR,6-4,305,"Hutchinson, MN",Holy Family Catholic
68,Jackson Ruschmeyer,OL,FR,6-3,295,"Hutchinson, MN",Holy Family Catholic
8,Thomas Rush,LB,JR,6-3,245,"Marysville, OH",Marysville
33,Grant Ryerse,K,JR,6-3,215,"Woodbury, MN",East Ridge
98,Ali Saad,DL,FR,6-3,260,"Dearborn, MI",Dearborn
32,Keonte Schad,DL,SR,6-3,295,"Madison, WI",Madison East High School/Ellsworth Community College
70,Sam Schlueter,OL,SR,6-6,325,"Victoria, MN",Mayer Lutheran
60,John Michael Schmitz,OL,JR,6-4,320,"Flossmoor, IL",Homewood-Flossmoor
43,Bailey Schoenfelder,LB,SR,6-3,240,"Huron, SD",Huron
47,Wyatt Schroeder,TE,FR,6-5,250,"Saint Francis, MN",St. Francis
39,Nathan Seward,DB,JR,6-0,185,"Madison, WI",LaFollette/NDSU
56,Cody Smith,OL,FR,6-4,305,"Eagan, MN",Eagan
4,Terell Smith,DB,JR,6-1,215,"Snellville, GA",South Gwinnett
55,Mariano Sori-Marin,LB,JR,6-3,245,"Mokena, IL",Providence Catholic
88,Brevyn Spann-Ford,TE,SO,6-7,270,"St. Cloud, MN",St. Cloud Technical Senior
25,Benjamin St-Juste,DB,SR,6-3,205,"Montreal, Canada",Cegep du Vieux Montreal/Michigan
90,Matthew Stephenson,P,SR,5-10,215,"Madison, AL",Bob Jones/Middle Tennessee
92,Danny Striggow,DL,FR,6-5,240,"Long Lake, MN",Orono
49,Austin Sullivan,LS,FR,6-3,250,"Slate Hill, NY",Minisink Valley/Penn State
1,Calvin Swenson,DB,SR,6-1,215,"Kaukauna, WI",Kaukauna
52,Jamaal Teague,DL,JR,6-3,310,"South Holland, IL",Marist
8,Ky Thomas,RB,FR,5-11,205,"Topeka, KS",Topeka
26,True Thompson,WR,SR,6-4,215,"Plymouth, MN",Robbinsdale Armstrong/Iowa Western CC
84,Peter Udoibok,WR,FR,6-4,205,"St. Paul, MN",Cretin-Derham Hall High School
39,Michael Vojvodich,LS,SO,6-3,220,"Annandale, VA",Woodson
34,Brock Walker,K,SO,5-10,210,"Sioux Falls, SD",Washington
37,Brady Weeks,LS,SO,6-0,215,"O'Fallon, MO",Fort Zumwalt West High School
53,Ben Wileman,LB,FR,6-1,220,"Edgerton, WI",Edgerton
1,Cam Wiley,RB,FR,6-2,210,"Las Vegas, NV",Desert Pines High School
21,Bryce Williams,RB,SO,6-0,210,"Sarasota, FL",Cardinal Mooney
28,Jason Williamson,RB,FR,6-2,220,"Owatonna, MN",Owatonna High School
20,Donald Willis,LB,FR,6-2,215,"Garfield Heights, OH",Garfield Heights High School
85,Bryce Witham,TE,SR,6-4,265,"Grand Rapids, MI",West Catholic
20,Larry Wright,WR,FR,6-4,220,"Apple Valley, MN",Eastview
