No,Name,Pos,Yr,Ht,Wt,Hometown,Last School
73,Eli Acker,OL,FR,6-5,290,"Columbus, MS",Heritage Academy
89,Ryder Anderson,DL,SR,6-6,275,"Katy, TX",Katy
30,Zikerrion Baker,LB,JR,6-1,235,"Mooringsport, LA",Minden
6,Miles Battle,DB,SO,6-3,195,"Houston, TX",Cy Creek
86,Drake Beck,WR,JR,5-11,190,"Columbus, GA",Brookstone
37,DJ Beckum,DB,FR,5-8,155,"Columbus, MS",McQueen
58,John Bergeron,LS,FR,6-0,210,"Covington, LA",St. Paul's School
15,Derek Bermudez,DB,FR,6-1,185,"Jacksonville, FL",Sandalwood
94,Quentin Bivens,DL,SO,6-2,300,"Waynesboro, MS",Wayne County
71,Tobias Braun,OL,FR,6-7,310,"Freiburg im Breisgau, Germany",Salisbury School
27,Marc Britt II,ATH,FR,6-0,190,"Carol City, FL",Dade Christian
42,Brooks Brock,DB,FR,6-1,175,"Meridian, MS",Lamar
64,Nick Broeker,OL,SO,6-4,305,"Springfield, IL",Sacred Heart-Griffin
55,Ben Brown,OL,JR,6-5,315,"Vicksburg, MS",St. Aloysius
12,Jakivuan Brown,LB,FR,6-2,240,"Horn Lake, MS",Horn Lake
96,Mac Brown,P,SR,6-3,205,"Eden Prairie, MN",Saint Thomas Academy
22,Kentrel Bullock,RB,FR,5-10,215,"Columbia, MS",Columbia
89,Jacob Carter,WR,JR,5-11,195,"Pontotoc, MS",Pontotoc/East Central CC
36,Ashanti Cistrunk,LB,SO,6-1,225,"Louisville, MS",Louisville
17,Demon Clowney,OLB,FR,6-3,230,"Baltimore, MD",St. Frances Academy
70,Carter Colquitt,OL,FR,6-3,310,"Buford, GA",Buford
24,Snoop Conner,RB,SO,5-10,215,"Hattiesburg, MS",Hattiesburg
2,Matt Corral,QB,SO,6-1,205,"Ventura, CA",Long Beach Poly
7,LeDarrius Cox,DL,FR,6-4,315,"Mobile, AL",McGill-Toolen
65,Peyton Cox,OL,JR,6-0,315,"Metairie, LA",Jesuit
53,Carter Craig,LB,FR,6-1,215,"Jackson, MS",University School of Jackson
50,Jalen Cunningham,OL,SO,6-4,340,"Odenville, AL",St. Clair County
29,Lakevias Daniel,DB,JR,6-0,170,"Louisville, MS",Louisville/Jones College
93,Sincere David,DT,JR,6-2,320,"Jacksonville, FL",Sandalwood
12,Kinkead Dent,QB,FR,6-5,205,"Yazoo City, MS",Jackson Academy
40,Jalen Denton,DB,FR,5-9,170,"Memphis, TN",Lausanne Collegiate
11,Dontario Drummond,WR,SR,6-0,215,"Laurel, MS",Laurel/East Mississippi CC
9,Jerrion Ealy,RB,SO,5-8,190,"Walnut Grove, MS",Jackson Prep
82,Jared Farlow,WR,SR,6-0,190,"Grantville, GA",Central Christian
21,A.J. Finley,DB,SO,6-2,200,"Mobile, AL",St. Paul's Episcopal School
97,Land Gebhart,K,FR,5-11,155,"Ridgeland, MS",Jackson Academy
14,Daylen Gill,LB,JR,5-11,220,"Louisville, MS",Louisville/Jones College
3,Demarcus Gregory,WR,SO,6-1,200,"Duncan, SC",Byrnes
48,Andrew Griffith,LB,SO,5-11,220,"Bentonville, AR",Bentonville
91,Casey Griffith,K,JR,6-0,195,"Vicksburg, MS",Vicksburg Catholic/Southwest CC
77,Hamilton Hall,OL,SO,6-4,295,"Atlanta, GA",Chamblee Charter
23,Jakorey Hawkins,DB,SO,5-11,195,"Montgomery, AL",Lee
5,Jon Haynes,DB,SR,5-11,205,"Benoit, MS",Ray Brooks School/Jones College
90,Nick Haynes,DL,SR,6-2,240,"Washington, PA",McGuffey/West Liberty University
0,Lakia Henry,LB,SR,5-11,235,"Vidalia, GA",Vidalia/Dodge City CC
80,Jonathan Hess,TE,SO,6-5,245,"Vestavia Hills, AL",Vestavia Hills
55,KD Hill,DT,SO,6-1,320,"Eufaula, AL",Eufaula
31,Seth Hunter,DB,FR,6-1,160,"New Orleans, LA",Lusher Charter
5,Dannis Jackson,WR,SO,5-11,165,"Sumrall, MS",Sumrall
17,Jadon Jackson,WR,SO,6-2,195,"Centerton, AR",Bentonville West
78,Jeremy James,OL,FR,6-5,330,"Cumming, GA",North Forsyth
16,Jordan Jernigan,WR,FR,6-0,210,"Tupelo, MS",Tupelo
45,Amani Johnson,DL,JR,6-0,235,"Abbeville, MS",Lafayette
19,Brice Johnson,WR,FR,6-0,190,"Greenville, MS",Saint Joseph Catholic
33,Cedric Johnson,OLB,FR,6-3,240,"Mobile, AL",Davidson
